539,Yu Bai,Salesforce Research,Chi Jin,Princeton University,Provable Self-Play Algorithms for Competitive Reinforcement Learning
540,Lingkai Kong,Georgia Institute of Technoloy,Chao Zhang,Georgia Institute of Technology,SDE-Net: Equipping Deep Neural Networks with Uncertainty Estimates
541,Karl Cobbe,OpenAI,John Schulman,OpenAI,Leveraging Procedural Generation to Benchmark Reinforcement Learning
542,Trevor Davis,University of Alberta,Michael Bowling,DeepMind,Low-Variance and Zero-Variance Baselines for Extensive-Form Games
543,Santiago Balseiro,Columbia University,Vahab Mirrokni,Google Research,Dual Mirror Descent for Online Allocation Problems
544,Esther Rolf,UC Berkeley,Joshua  Blumenstock,"University of California, Berkeley",Balancing Competing Objectives with Noisy Data: Score-Based Classifiers for Welfare-Aware Machine Learning
545,Robert Mattila,KTH Royal Institute of Technology,Bo Wahlberg,KTH Royal Institute of Technology,Fast and Consistent Learning of Hidden Markov Models by Incorporating Non-Consecutive Correlations
546,Olivier Gouvert,"CNRS, IRIT",Cedric Fevotte,CNRS,Ordinal Non-negative Matrix Factorization for Recommendation
547,Forest Yang,Google Brain,Sanmi Koyejo,Illinois / Google,On the consistency of top-k surrogate losses
548,Abhimanyu Dubey,Massachusetts Institute of Technology,Alex `Sandy' Pentland,MIT,Cooperative Multi-Agent Bandits with Heavy Tails
549,Kara Liu,UC Berkeley,Aviv Tamar,Technion,Hallucinative Topological Memory for Zero-Shot Visual Planning
550,Aidan Curtis,Rice University,Daniel Yamins,Stanford University,Flexible and Efficient Long-Range Planning Through Curious Exploration
551,Sofien Dhouib,CREATIS Laboratory INSA Lyon,Carole Lartizien,CREATIS,Margin-aware Adversarial Domain Adaptation with Optimal Transport
552,Pratyush Maini,IIT Delhi,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Adversarial Robustness Against the Union of Multiple Perturbation Models
553,Yonatan Dukler,UCLA,Guido Montufar,UCLA,Optimization Theory for ReLU Neural Networks Trained with Normalization Layers
554,Jafar Jafarov,University of Chicago,Yury Makarychev,Toyota Technological Institute at Chicago,Correlation Clustering with Asymmetric Classification Errors
555,Junfeng Wen,University of Alberta,Dale Schuurmans,University of Alberta,Batch Stationary Distribution Estimation
556,Luca Rendsburg,University of Tübingen,Ulrike von Luxburg,U Tübingen,NetGAN without GAN: From Random Walks to Low-Rank Approximations
557,Angelos Filos,University of Oxford,Yarin Gal,University of Oxford,"Can Autonomous Vehicles Identify, Recover From, and Adapt to Distribution Shifts?"
558,Yu Sun,UC Berkeley,University of California Moritz Hardt,"University of California, Berkeley",Test-Time Training with Self-Supervision for Generalization under Distribution Shifts
