559,Chao Li,RIKEN Center for Advanced Intelligence Project,Zhun Sun,RIKEN,Evolutionary Topology Search for Tensor Network Decomposition
560,Karthik Abinav Sankararaman,Facebook,Tom Goldstein,University of Maryland,The Impact of Neural Network Overparameterization on Gradient Confusion and Stochastic Gradient Descent
561,Tyler Johnson,Apple,Carlos Guestrin,Apple & Univesity of Washington,AdaScale SGD: A User-Friendly Algorithm for Distributed Training
562,Mert Pilanci,Stanford,Tolga Ergen,Stanford University,Neural Networks are Convex Regularizers: Exact Polynomial-time Convex Optimization Formulations for Two-layer Networks
563,Tianyi Zhou,University of Washington,Jeff Bilmes,UW,Time-Consistent Self-Supervision for Semi-Supervised Learning
564,Przemysław Spurek,Jagiellonian University,Tomasz Trzcinski,"Warsaw University of Technology, Tooploox",Hypernetwork approach to generating point clouds
565,Taylor Webb,UCLA Psychology Department,Jonathan Cohen,Princeton University,Learning Representations that Support Extrapolation
566,Nilesh Tripuraneni,UC Berkeley,Lester Mackey,Microsoft Research,Single Point Transductive Prediction
567,Michael Muehlebach,UC Berkeley,Michael Jordan,UC Berkeley,Continuous-time Lower Bounds for Gradient-based Algorithms
568,Eric Zhan,California Institute of Technology,Matthew Hausknecht,Microsoft Research,Learning Calibratable Policies using Programmatic Style-Consistency
569,Remi Munos,DeepMind,Karl Tuyls,DeepMind,Fast computation of Nash Equilibria in Imperfect Information Games
570,Agustinus Kristiadi,University of Tübingen,Philipp Hennig,University of Tuebingen,"Being Bayesian, Even Just a Bit, Fixes Overconfidence in ReLU Networks"
571,Yujia Jin,Stanford University,Aaron Sidford,Stanford,Efficiently Solving MDPs with Stochastic Mirror Descent
572,Hossein Taheri,UC Santa Barbara,Ramtin Pedarsani,"University of California, Santa Barbara",Quantized Decentralized Stochastic Learning over Directed Graphs
573,Aravind Rajeswaran,University of Washington,Vikash Kumar,Univ. Of Washington,A Game Theoretic Framework for Model Based Reinforcement Learning
574,Wenbo Ren,The Ohio State University,Ness Shroff,The Ohio State University,The Sample Complexity of Best-$k$ Items Selection from Pairwise Comparisons
575,Mike Dusenberry,Google Brain (AI Residency),Dustin Tran,Google,Efficient and Scalable Bayesian Neural Nets with Rank-1 Factors
576,Anne Gael Manegueu,Otto-von-Guerricke University,Michal Valko,DeepMind,Stochastic bandits with arm-dependent delays
577,Kai-Hung Chang,Autodesk Research,Chin-Yi Cheng,Autodesk Research,Learning to Simulate and Design for Structural Engineering
578,Changhee Lee,UCLA,Mihaela van der Schaar,University of Cambridge and UCLA,Temporal Phenotyping using Deep Predictive Clustering of Disease Progression
