579,Ashish Chiplunkar,IIT Delhi,Sivaramakrishnan Natarajan Ramamoorthy,University of Washington,How to Solve Fair k-Center in Massive Data Models
580,Cong Han Lim,Uber ATG,Ersin Yumer,Uber ATG,Hierarchical Verification for Adversarial Robustness
581,Hankook Lee,KAIST,Jinwoo Shin,KAIST,Self-supervised Label Augmentation via Input Transformations
582,Jinsung Yoon,Google,Tomas Pfister,Google,Data Valuation using Reinforcement Learning
583,Wu Lin,University of British Columbia,Emti Khan,RIKEN,Handling the Positive-Definite Constraint in the Bayesian Learning Rule
584,Sanjeev Arora,Princeton University and Institute for Advanced Study,Nikunj Saunshi,Princeton University,Provable Representation Learning for Imitation Learning via Bi-level Optimization
585,Liangyu Zhu,North Carolina State University,Rui Song,North Carolina State University,Causal Effect Estimation and Optimal Dose Suggestions in Mobile Health
586,Samrath Sinha,University of Toronto,Augustus Odena,Google Brain,Small-GAN: Speeding up GAN Training using Core-Sets 
587,Pan Xu,"University of California, Los Angeles",Quanquan Gu,"University of California, Los Angeles",A Finite-Time Analysis of  Q-Learning with Neural Network Function Approximation
588,Grigory Malinovsky,Moscow Institute of Physics and Technology,Peter Richtarik,KAUST,From Local SGD to Local Fixed-Point Methods for Federated Learning
589,Colin Wei,Stanford University,Tengyu Ma,Stanford,The Implicit and Explicit Regularization Effects of Dropout
590,Cheng Zheng,UCLA,Wei Wang,UCLA,Robust Graph Representation Learning via Neural Sparsification
591,Hadrien Hendrikx,INRIA,Laurent Massoulié,MSR-INRIA Joint Center,Statistically Preconditioned Accelerated Gradient Method for Distributed Optimization
592,Maya Gupta,Google,Sen Zhao,Google Research,Multidimensional Shape Constraints
593,Kristy Choi,Stanford University,JesseEngel Engel,Google Brain,Encoding Musical Style with Transformer Autoencoders
594,Stéphane d'Ascoli,ENS,Florent Krzakala,ENS,Double Trouble in Double Descent:  Bias and Variance(s) in the Lazy Regime
595,Vinayak Abrol,Mathematical Institute Oxford,Pulkit Sharma,University of Oxford,A Geometric Approach to Archetypal Analysis via Sparse Projections
596,Maarten Buyl,Ghent University,Tijl De Bie,Ghent University,DeBayes: a Bayesian Method for Debiasing Network Embeddings
597,Eran Malach,Hebrew University Jerusalem Israel,Ohad Shamir,Weizmann Institute of Science,Proving the Lottery Ticket Hypothesis: Pruning is All You Need
598,Andrea Zanette,Stanford University,Emma Brunskill,Stanford University,Learning Near Optimal Policies with Low Inherent Bellman Error
