599,Yura Malitsky,EPFL,Konstantin Mishchenko,King Abdullah University of Science & Technology (KAUST),Adaptive Gradient Descent without Descent
600,Charlie Nash,DeepMind,Peter Battaglia,DeepMind,PolyGen: An Autoregressive Generative Model of 3D Meshes
601,Ankit Goyal,Princeton University,Jia Deng,Princeton University,PackIt: A Virtual Environment for Geometric Planning
602,Rémy Degenne,Inria Paris,Michal Valko,DeepMind,Gamification of Pure Exploration for Linear Bandits
603,Mukund Sundararajan,Google Inc.,Ashish Agarwal,Google Brain,The Shapley Taylor Interaction Index
604,Markos Georgopoulos,Imperial College London,Yannis Panagakis,Imperial College London,Multilinear Latent Conditioning for Generating Unseen Attribute Combinations
605,Yutaro Yamada,Yale University,Yuval Kluger,Yale School of Medicine,Feature Selection using Stochastic Gates
606,Per Sidén,Linköping University,Fredrik Lindsten,Linköping University,Deep Gaussian Markov Random Fields
607,Christopher Anders,TU Berlin,Pan Kessel,TU Berlin,Fairwashing explanations with off-manifold detergent
608,Huan Xiong,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Ling Shao,Inception Institute of Artificial Intelligence,On the Number of Linear Regions of Convolutional Neural Networks
609,William Fedus,Google Brain/Mila,Will Dabney,DeepMind,Revisiting Fundamentals of Experience Replay
610,Amitay Bar,Technion - Israel Institute of Technology,Ron Meir,Technion Israeli Institute of Technology,Option Discovery in the Absence of Rewards with Manifold Analysis
611,Hengyuan Hu,Facebook AI Research,Jakob Foerster,Facebook AI Research,“Other-Play” for Zero-Shot Coordination
612,Robert Peharz,Eindhoven University of Technology,Zoubin Ghahramani,University of Cambridge & Uber,Einsum Networks: Fast and Scalable Learning of Tractable Probabilistic Circuits
613,Q. Wang,"AMLab, University of Amsterdam",Herke van Hoof,University of Amsterdam,Doubly Stochastic Variational Inference for Neural Processes with Hierarchical Latent Variables
614,Badr-Eddine Chérief-Abdellatif,CREST - ENSAE - Institut Polytechnique de Paris,Badr-Eddine Chérief-Abdellatif,CREST - ENSAE - Institut Polytechnique de Paris,Convergence Rates of Variational Inference in Sparse Deep Learning
615,Wendelin Boehmer,University of Oxford,Shimon Whiteson,University of Oxford,Deep Coordination Graphs
616,Alexey Drutsa,Yandex,Alexey Drutsa,Yandex,Reserve Pricing in Repeated Second-Price Auctions with Strategic Bidders
617,Leonard Hasenclever,DeepMind,Josh Merel,DeepMind,CoMic: Complementary Task Learning & Mimicry for Reusable Skills
618,Maria Gorinova,University of Edinburgh,Matt Hoffman,Google,Automatic Reparameterisation of Probabilistic Programs
