659,Federica Gerace,Institut de Physique Théorique,Lenka Zdeborova,CNRS,Generalisation error in learning with random features and the hidden manifold model
660,Nemanja Djuric,Uber ATG,Slobodan Vucetic,Temple University,Growing Adaptive Multi-hyperplane Machines
661,Samuel Smith,DeepMind,Soham De,DeepMind,On the Generalization Benefit of Noise in Stochastic Gradient Descent
662,Miles Lopes,"University of California, Davis",Jessie X.T. Chen,UC Davis,Estimating the Error of Randomized Newton Methods: A Bootstrap Approach
663,Srinivasan Arunachalam,IBM,Reevu Maity,Oxford University,Quantum Boosting
664,Nikola Konstantinov,IST Austria,Christoph H. Lampert,IST Austria,On the Sample Complexity of Adversarial Multi-Source PAC Learning
665,Cyrille W. Combettes,Georgia Institute of Technology,Sebastian Pokutta,ZIB,Boosting Frank-Wolfe by Chasing Gradients
666,Kirill Neklyudov,Samsung,Dmitry Vetrov,"Higher School of Economics, Samsung AI Center Moscow",Involutive MCMC: a Unifying Framework
667,Daniyar Chumbalov,EPFL,Matt Grossglauser,EPFL,Scalable and Efficient Comparison-based Search without Features
668,Pierre Ablin,CNRS and ENS,Thomas Moreau,Inria,Super-efficiency of automatic differentiation for functions defined as a minimum
669,Ramin Hasani,MIT,Radu Grosu,TU Wien,A Natural Lottery Ticket Winner: Reinforcement Learning with Ordinary Neural Circuits
670,Emmanuel Bengio,McGill University,Doina Precup,McGill University / DeepMind,Interference and Generalization in Temporal Difference Learning
671,Christos Matsoukas,KTH Royal Institute of Technology,Kevin Smith,KTH Royal Institute of Technology,Adding seemingly uninformative labels helps in low data regimes
672,Roberta Raileanu,NYU,Facebook Rob Fergus,"Facebook AI Research, NYU",Fast Adaptation to New Environments via Policy-Dynamics Value Functions
673,Amos Gropp,Weizmann Institute of Science,Yaron Lipman,Weizmann Institute of Science,Implicit Geometric Regularization for Learning Shapes
674,Markus Nagel,Qualcomm AI Research,Tijmen Blankevoort,Qualcomm,Up or Down? Adaptive Rounding for Post-Training Quantization
675,Rasheed El-Bouri,University of Oxford,David Clifton,University of Oxford,Student-Teacher Curriculum Learning via Reinforcement Learning: Predicting Hospital Inpatient Admission Location
676,Vien Van Mai,KTH Royal Institute of Technology,Mikael Johansson,KTH Royal Institute of Technology,Convergence of a Stochastic Gradient Method with Momentum for Non-Smooth Non-Convex Optimization
677,Joel Frank,Ruhr University Bochum,Thorsten Holz,Ruhr-Universität Bochum,Leveraging Frequency Analysis for Deep Fake Image Recognition
678,William Wilkinson,Aalto University,Arno Solin,Aalto University,State Space Expectation Propagation: Efficient Inference Schemes for Temporal Gaussian Processes
