699,Jin Xu,University of Oxford,Yee Whye Teh,Oxford and DeepMind,MetaFun: Meta-Learning with Iterative Functional Updates
700,Rixon Crane,The University of Queensland,Fred Roosta,University of Queensland,DINO: Distributed Newton-Type Optimization Method
701,Nathan Kallus,Cornell University,Masatoshi Uehara,Harvard University,Statistically Efficient Off-Policy Policy Gradients
702,Ioana Bica,University of Oxford,Mihaela van der Schaar,University of Cambridge and UCLA,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders
703,Akifumi Wachi,IBM Research AI,Yanan Sui,Tsinghua University,Safe Reinforcement Learning in Constrained Markov Decision Processes
704,Yuko Kuroki,The University of Tokyo /RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Online Dense Subgraph Discovery via Blurred-Graph Feedback
705,Michihiro Yasunaga,Stanford University,Percy Liang,Stanford University,"Graph-based, Self-Supervised Program Repair from Diagnostic Feedback"
706,Kangrui Wang,The Alan Turing Institute,Mark Steel,University of Warwick,Non-separable Non-stationary random fields
707,Wei Chen,Microsoft,Zhijie Zhang,"Institute of Computing Technology, Chinese Academy of Sciences",Optimization from Structured Samples for Coverage Functions
708,Wuyang Chen,Texas A&M University,Anima Anandkumar,Amazon AI & Caltech,Automated Synthetic-to-Real Generalization
709,Yi-Hsuan Wu,National Tsing Hua University,Shan-Hung (Brandon) Wu,National Tsing Hua University,Adversarial Robustness via Runtime Masking and Cleansing
710,Zhiyu Yao,Tsinghua University,Jianmin Wang,Tsinghua University,Unsupervised Transfer Learning for Spatiotemporal Predictive Networks
711,Yihan Wang,Tsinghua University,Cho-Jui Hsieh,UCLA,On Lp-norm Robustness of Ensemble Decision Stumps and Trees
712,Yuchao Cai,"AI Lab, Samsung Research China - Beijing",Zhouchen Lin,Peking University,Boosted Histogram Transform for Regression
713,Inseop Chung,Seoul National University,NOJUN KWAK,Seoul National University,Feature-map-level Online Adversarial Knowledge Distillation
714,Alexia Jolicoeur-Martineau,Mila,Alexia Jolicoeur-Martineau,Mila,On Relativistic f-Divergences
715,Sai Ganesh Nagarajan,SUTD,Georgios Piliouras,Singapore University of Technology and Design,From Chaos to Order: Symmetry and Conservation Laws in Game Dynamics
716,Mingtian Zhang,UCL,David Barber,University College London,Spread Divergence
717,Hang Lai,Shanghai Jiao Tong University,Yong Yu,Shanghai Jiao Tong University,Bidirectional Model-based Policy Optimization
718,Shali Jiang,Washington University in St. Louis,Roman Garnett,Washington University in St. Louis,"BINOCULARS for efficient, nonmyopic sequential experimental design"
