739,Jiaming Song,Stanford,Stefano Ermon,Stanford University,Bridging the Gap Between f-GANs and Wasserstein GANs
740,Tongzhou Wang,MIT,Phillip Isola,MIT,Understanding Contrastive Representation Learning through Alignment and Uniformity on the Hypersphere
741,Adam Ibrahim,"Mila, Université de Montréal",Ioannis Mitliagkas,"MILA, UdeM",Linear Lower Bounds and Conditioning of Differentiable Games
742,Michal Lukasik,Google Research,Sanjiv Kumar,"Google Research, NY",Does label smoothing mitigate label noise?
743,Evangelia Gergatsouli,UW-Madison,Christos Tzamos,UW-Madison,Black-Box Methods for Restoring Monotonicity
744,Jingyu Zhao,The University of Hong Kong,Guangjian Tian,Huawei Noah’s Ark Lab,Do RNN and LSTM have Long Memory?
745,Farzan Farnia,Massachusetts Institute of Technology,Asuman Ozdaglar,MIT,Do GANs always have Nash equilibria?
746,Thibaut Vidal,Pontifical Catholic University of Rio de Janeiro,Maximilian Schiffer,"TUM School of Management, Technical University of Munich",Born-again Tree Ensembles
747,Hoang NT,RIKEN AIP & Tokyo Tech,Takanori Maehara,RIKEN AIP,Graph Homomorphism Convolution
748,Yuji Roh,KAIST,Changho Suh,KAIST,FR-Train: A Mutual Information-Based Approach to Fair and Robust Training
749,Qinqing Zheng,University of Pennsylvania,Weijie Su,University of Pennsylvania,Sharp Composition Bounds for Gaussian Differential Privacy via Edgeworth Expansion
750,Bingcong Li,University of Minnesota,Georgios B. Giannakis,University of Minnesota,Almost Tune-Free Variance Reduction
751,Nina Balcan,Carnegie Mellon University,Ellen Vitercik,Carnegie Mellon University,Refined bounds for algorithm configuration: The knife-edge of dual class approximability
752,Corinna Cortes,Google Research,Ningshan Zhang,Hudson River Trading,Online Learning with Dependent Stochastic Feedback Graphs
753,Jaesik Yoon,SAP,Sungjin Ahn,Rutgers University,Robustifying Sequential Neural Processes
754,Peisong Wang,"Institute of Automation, Chinese Academy of Sciences",Jian Cheng,"""Chinese Academy of Sciences, China""",Towards Accurate Post-training Network Quantization via Bit-Split and Stitching
755,Kyriakos Axiotis,MIT,Maxim Sviridenko,Yahoo! Research,Sparse Convex Optimization via Adaptively Regularized Hard Thresholding
756,Juan Perdomo,"University of California, Berkeley",University of California Moritz Hardt,"University of California, Berkeley",Performative Prediction
757,Joey Bose,McGill/Mila,Will Hamilton,McGill University and Mila,Latent Variable Modelling with Hyperbolic Normalizing Flows
758,Hanrui Zhang,Duke University,Vincent Conitzer,Duke,Learning the Valuations of a $k$-demand Agent
