779,Sam Witty,"University of Massachusetts, Amherst",Vikash Mansinghka,Massachusetts Institute of Technology,Causal Inference using Gaussian Processes with Structured Latent Confounders
780,Yuda Song,"University of California, San Diego",Sicun Gao,"University of California, San Diego",Provably Efficient Model-based Policy Adaptation
781,Darren Lin,UC Berkeley,Michael Jordan,UC Berkeley,On Gradient Descent Ascent for Nonconvex-Concave Minimax Problems
782,Shaocong Ma,University of Utah,Yi Zhou,University of Utah,Understanding the Impact of Model Incoherence on Convergence of Incremental SGD with Random Reshuffle
783,Tianju Xue,Princeton University,Ryan P. Adams,Princeton University,Amortized Finite Element Analysis for Fast PDE-Constrained Optimization
784,Brian Brubach,Wellesley College,Leonidas Tsepenekas,"University of Maryland, College Park",A Pairwise Fair and Community-preserving Approach to k-Center Clustering
785,Qianli Shen,Peking University,Tuo Zhao,Georgia Tech,Deep Reinforcement Learning with Smooth Policy
786,Matt Hoffman,Google,Yian Ma,Google,Black-Box Variational Inference as a Parametric Approximation to Langevin Dynamics
787,Harsh Satija,McGill University,Joelle Pineau,McGill University / Facebook,Constrained Markov Decision Processes via Backward Value Functions
788,Yanzhi Chen,University of Edinburgh,Zhanxing Zhu,Peking University,On Breaking Deep Generative Model-based Defenses and Beyond
789,Lijun Wu,Microsoft Research; Sun Yat-sen University,Tie-Yan Liu,Microsoft Research Asia,Sequence Generation with Mixed Representations
790,Amit Dhurandhar,IBM Research,Ronny Luss,IBM Research,Enhancing Simple Models by Exploiting What They Already Know
791,Ankit Raj,University of Illinois at Urbana-Champaign,Bo Li,UIUC,Improving Robustness of Deep-Learning-Based Image Reconstruction
792,Dylan Peifer,Cornell University,Daniel Halpern-Leistner,Cornell University,Learning Selection Strategies in Buchberger’s Algorithm
793,Juntang Zhuang,Yale University,James Duncan,Yale University,Adaptive Checkpoint Adjoint Method for Gradient Estimation in Neural ODE
794,Dimitris Tsipras,MIT,Aleksander Madry,MIT,From ImageNet to Image Classification: Contextualizing Progress on Benchmarks
795,Blake Bordelon,Harvard University,Cengiz Pehlevan,Harvard University,Spectrum Dependent Learning Curves in Kernel Regression and Wide Neural Networks
796,Chris Finlay,McGill University,Adam Oberman,McGill University,How to Train Your Neural ODE: the World of Jacobian and Kinetic Regularization
797,Ali Siahkamari,Boston University,Venkatesh Saligrama,Boston University,Piecewise Linear Regression via a Difference of Convex Functions
798,Rakshit Trivedi,Georgia Institute of Technology,Hongyuan Zha,Georgia Institute of Technology,GraphOpt: Learning Optimization Models of Graph Formation
