819,Daoli Zhu,Shanghai Jiao Tong University,Lei Zhao,Shanghai Jiao Tong University,Linear Convergence of Randomized Primal-Dual Coordinate Method for Large-scale Linear Constrained Convex Programming
820,Brian Zhang,Carnegie Mellon University,Tuomas Sandholm,Carnegie Mellon University,Sparsified Linear Programming for Zero-Sum Equilibrium Finding
821,Quoc Tran-Dinh,The University of North Carolina at Chapel Hill,Lam Nguyen,"IBM Research, Thomas J. Watson Research Center",Stochastic Gauss-Newton Algorithms for Nonconvex Compositional Optimization
822,Vitchyr Pong,UC Berkeley,Sergey Levine,UC Berkeley,Skew-Fit: State-Covering Self-Supervised Reinforcement Learning
823,YUREN MAO,"School of Computer Science and Engineering, University of New South Wales",Xuemin Lin,University of New South Wales,Adaptive Adversarial Multi-task Representation Learning
824,Jiabao Lei,South China University of Technology,Kui Jia,South China University of Technology,Analytic Marching: An Analytic Meshing Solution from Deep Implicit Surface Networks
825,Yuchen Lu,Mila & University of Montreal,Olivier Pietquin,Google Brain,Countering Language Drift with Seeded Iterated Learning
826,Pengyu Cheng,Duke University,Lawrence Carin,Duke,CLUB: A Contrastive Log-ratio Upper Bound of Mutual Information
827,Chi Jin,Princeton University,Tiancheng Yu,MIT,Reward-Free Exploration for Reinforcement Learning
828,Guanyi Wang,Georgia Institute of Technology,Santanu  Dey,Georgia Institute of Technology,Upper bounds for Model-Free Row-Sparse Principal Component Analysis
829,Jingwei Zhuo,Alibaba Group,Kun Gai,Alibaba Group,Learning Optimal Tree Models under Beam Search
830,Deb Mahapatra,National University of Singapore,Vaibhav Rajan,National University of Singapore,Multi-Task Learning with User Preferences: Gradient Descent with Controlled Ascent in Pareto Optimization
831,Yuhao Zhang,University of Wisconsin-Madison,Loris D'Antoni,University of Wisconsin-Madison,Robustness to Programmable String Transformations via Augmented Abstract Training
832,Tianyu Wang,Duke University,Cynthia Rudin,Duke,Bandits for BMO Functions
833,Zhengyang Shen,Peking University,Jinwen Ma,Peking University,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions
834,Michael Zhu,Stanford University,Jun Zhu,Tsinghua University,Variance Reduction and Quasi-Newton for Particle-Based Variational Inference
835,Suraj Nair,Stanford University,Chelsea Finn,Stanford,Goal-Aware Prediction: Learning to Model What Matters
836,Xuezhou Zhang,UW-Madison,Jerry Zhu,University of Wisconsin-Madison,Adaptive Reward-Poisoning Attacks against Reinforcement Learning
837,Zijun Zhang,University of Calgary,Liam Paull,Université de Montréal,Perceptual Generative Autoencoders
838,Jinshuo Dong,University of Pennsylvania,Ryan Rogers,LinkedIn,Optimal Differential Privacy Composition for Exponential Mechanisms
