839,Zhongxiang Dai,National University of Singapore,Teck-Hua Ho,National University of Singapore,R2-B2: Recursive Reasoning-Based Bayesian Optimization for No-Regret Learning in Games
840,Zhizhong Han,"University of Maryland, College Park",Matthias Zwicker,University of Maryland,DRWR: A Differentiable Renderer without Rendering for Unsupervised 3D Structure Learning from Silhouette Images
841,Geon-Hyeong Kim,KAIST,Kee-Eung Kim,KAIST,Variational Inference for Sequential Data with Future Likelihood Estimates
842,Zehua Lai,University of Chicago,Lek-Heng Lim,University of Chicago, Recht-Re Noncommutative Arithmetic-Geometric Mean Conjecture is False
843,Sanghamitra Dutta,Carnegie Mellon University,Kush Varshney,IBM Research AI,Is There a Trade-Off Between Fairness and Accuracy? A Perspective Using Mismatched Hypothesis Testing
844,Denny Zhou,Google Brain,Dale Schuurmans,Google / University of Alberta,"Go Wide, Then Narrow: Efficient Training of Deep Thin Networks"
845,DiJia Su,Princeton University,Craig Boutilier,Google,ConQUR: Mitigating Delusional Bias in Deep Q-Learning 
846,Zhe Feng,Harvard University,Haifeng Xu,University of Virginia,The Intrinsic Robustness of Stochastic Bandits to Strategic Manipulation
847,Yang Yu,Purdue University,Guang Cheng,Purdue University,Simultaneous Inference for Massive Data: Distributed Bootstrap
848,Lin Chen,Yale University,Amin Karbasi,Yale,More Data Can Expand The Generalization Gap Between Adversarially Robust and Standard Models
849,Di Wang,State University of New York at Buffalo,Jinhui Xu,SUNY Buffalo,On Differentially Private Stochastic Convex Optimization  with Heavy-tailed Data
850,Tianxiao Shen,MIT,Tommi Jaakkola,MIT,Educating Text Autoencoders: Latent Representation Guidance via Denoising
851,Shengpu Tang,University of Michigan,Jenna Wiens,University of Michigan,Clinician-in-the-Loop Decision Making: Reinforcement Learning with Near-Optimal Set-Valued Policies
852,Miaoyun Zhao,Duke University,Lawrence Carin,Duke,On Leveraging Pretrained GANs for Generation with Limited Data
853,Heewoo Jun,OpenAI,Ilya Sutskever,OpenAI,Distribution Augmentation for Generative Modeling
854,Vasileios Lioutas,Carleton University,Yuhong Guo,Carleton University,Time-aware Large Kernel Convolutions
855,Jeffrey Negrea,University of Toronto,Daniel Roy,University of Toronto; Vector Institute,Generalization via Derandomization
856,Alexander Bogatskiy,University of Chicago,Risi Kondor,The University of Chicago,Lorentz Group Equivariant Neural Network for Particle Physics
857,Xiang Jiang,"Imagia, Dalhousie University",Mohammad Havaei,Imagia,Implicit Class-Conditioned Domain Alignment for Unsupervised Domain Adaptation
858,Lin Yang,UCLA,Mengdi Wang,Princeton University,"Reinforcement Learning in Feature Space: Matrix Bandit, Kernels, and Regret Bound"
