899,Chuan Guo,Cornell University,Laurens van der Maaten,Facebook,Certified Data Removal from Machine Learning Models
900,Junfeng Wen,University of Alberta,Dale Schuurmans,University of Alberta,Domain Aggregation Networks for Multi-Source Domain Adaptation
901,Xinyi Wang,Carnegie Mellon University,Graham Neubig,Carnegie Mellon University,Optimizing Data Usage via Differentiable Rewards
902,Hangbo Bao,Harbin Institute of Technology,Hsiao-Wuen Hon,Microsoft Research,UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training
903,Sina Ghiassian,University of Alberta,Martha White,University of Alberta,Gradient Temporal-Difference Learning with Regularized Corrections
904,Baharan Mirzasoleiman,Stanford University,Jure Leskovec,Stanford University,Coresets for Data-efficient Training of Machine Learning Models
905,Christopher Bender,The University of North Carolina Computer Science Department,Junier Oliva,UNC-Chapel Hill,Defense Through Diverse Directions
906,Yongchan Kwon,Stanford University,Myunghee Cho Paik,Seoul National University,Principled learning method for Wasserstein distributionally robust optimization with local perturbations
907,Fariborz Salehi,California Institute of Technology,Babak Hassibi,Caltech,The Performance Analysis of Generalized Margin Maximizers on Separable Data
908,Yi Tay,Google,Da-Cheng Juan,Google,Sparse Sinkhorn Attention
909,Sebastian Claici,MIT,Justin Solomon,MIT,Model Fusion with Kullback--Leibler Divergence
910,Ashok Cutkosky,Boston University,Ashok Cutkosky,Boston University,"Parameter-free, Dynamic, and Strongly-Adaptive Online Learning"
911,Vikas K Garg,Massachusetts Institute of Technology,Tommi Jaakkola,MIT,Generalization and Representational Limits of Graph Neural Networks
912,Wenlong Huang,UC Berkeley,Deepak Pathak,"CMU, FAIR",One Policy to Control Them All: Shared Modular Policies for Agent-Agnostic Control
913,Lu Jiang,Google Research,Weilong Yang,Google Inc. ,Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels
914,Zhe Dong,Google,Hung Bui,VinAI Research,Collapsed Amortized Variational Inference for Switching Nonlinear Dynamical Systems
915,Meng Qu,Mila,Jian Tang,HEC Montreal & MILA,Few-shot Relation Extraction via Bayesian Meta-learning on Relation Graphs
916,Wei Deng,Purdue University,Guang Lin,Purdue University,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC
917,Zhishuai Guo,The University of Iowa,Tianbao Yang,The University of Iowa,Communication-Efficient Distributed Stochastic AUC Maximization with Deep Neural Networks
918,Yue Sheng,University of Pennsylvania,Edgar Dobriban,University of Pennsylvania,One-shot Distributed Ridge Regression in High Dimensions
