939,Jincheng Mei,University of Alberta / Google Brain,Dale Schuurmans,University of Alberta,On the Global Convergence Rates of Softmax Policy Gradient Methods
940,Sankalp Garg,Indian Institute of Technology Delhi,Mausam ,IIT Delhi,Symbolic Network: Generalized Neural Policies for Relational MDPs
941,Marjan Ghazvininejad,Facebook AI Research (FAIR),Omer Levy,Facebook,Aligned Cross Entropy for Non-Autoregressive Machine Translation
942,Kinjal Basu,LinkedIn Corporation,Yao Pan,LinkedIn Corporation,ECLIPSE: An Extreme-Scale Linear Program Solver for Web-Applications
943,Kuno Kim,Stanford University,Daniel Yamins,Stanford University,Active World Model Learning in Agent-rich Environments with Progress Curiosity
944,Mengjiao Yang,Google Brain,Dale Schuurmans,Google / University of Alberta,Energy-Based Processes for Exchangeable Data
945,Mao Ye,UT Austin,Qiang Liu,UT Austin,Good Subnetworks Provably Exist: Pruning via Greedy Forward Selection
946,Tonghan Wang,Tsinghua University,Chongjie Zhang,Tsinghua University,ROMA: Multi-Agent Reinforcement Learning with Emergent Roles
947,Michael Chang,UC Berkeley,Sergey Levine,UC Berkeley,Decentralized Reinforcement Learning: Global Decision-Making via Local Economic Transactions
948,Pang Wei Koh,Stanford University,Percy Liang,Stanford University,Concept Bottleneck Models
949,Vaishaal Shankar,UC Berkeley,Ludwig Schmidt,"University of California, Berkeley",Evaluating Machine Accuracy on ImageNet
950,Aadirupa Saha,"Indian Institute of Science (IISc), Bangalore",Aditya Gopalan,Indian Institute of Science,From PAC to Instance-Optimal Sample Complexity in the Plackett-Luce Model
951,Yuning You,Texas A&M University,Yang Shen,Texas A&M University,When Does Self-Supervision Help Graph Convolutional Networks?
952,Haoran Sun,University of Minnesota,Mingyi Hong,University of Minnesota,Improving the Sample and Communication Complexity for Decentralized Non-Convex Optimization: Joint Gradient Estimation and Tracking
953,Andrey Voynov,Yandex,Artem Babenko,Yandex,Unsupervised Discovery of Interpretable Directions in the GAN Latent Space
954,Sivan Sabato,Ben-Gurion University of the Negev,Elad Yom-Tov,Microsoft Research,Bounding the fairness and accuracy of classifiers from population statistics
955,Michael Laskin,UC Berkeley,Pieter Abbeel,UC Berkeley & Covariant,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
956,Melika Emami,University of California Los Angeles,Alyson Fletcher,UCLA,Generalization Error of Generalized Linear Models in High Dimensions
957,Alnur Ali,Stanford University,Ryan Tibshirani,Carnegie Mellon University,The Implicit Regularization of Stochastic Gradient Flow for Least Squares
958,Florian Schaefer,Caltech,Anima Anandkumar,Amazon AI & Caltech,Implicit competitive regularization in GANs
