959,Adam Elmachtoub,Columbia University,Ryan McNellis,Amazon,Decision Trees for Decision-Making under the Predict-then-Optimize Framework
960,Tim Liang,NUS,Jiashi Feng,National University of Singapore,Do We Really Need to Access the Source Data? Source Hypothesis Transfer for Unsupervised Domain Adaptation
961,Eric Mazumdar,University of California Berkeley,Peter Bartlett,UC Berkeley,On Thompson Sampling with Langevin Algorithms
962,Yoel Drori,Google Research,Ohad Shamir,Weizmann Institute of Science,The Complexity of Finding Stationary Points with Stochastic Gradient Descent
963,Amélie Héliou,Criteo,Zhengyuan Zhou,Stanford University,Gradient-free Online Learning in Continuous Games with Delayed Rewards
964,Aristotelis Chrysakis,KU Leuven,Marie-Francine Moens,KU Leuven,Online Continual Learning from Imbalanced Data
965,Alexander Shevchenko,IST Austria,Marco Mondelli,IST Austria,Landscape Connectivity and Dropout Stability of SGD Solutions for Over-parameterized Neural Networks
966,Xuefei Zhang,University of Michigan,Ji Zhu,University of Michigan,A Flexible Latent Space Model for Multilayer Networks
967,Nutan Chen,Volkswagen AG,Patrick van der Smagt,Volkswagen Group,Learning Flat Latent Manifolds with VAEs
968,Henry Reeve,University of Birmingham,Ata Kaban,University of Birmingham,Optimistic Bounds for Multi-output Learning
969,Samy Jelassi,Princeton University,Joan Bruna,New York University,Extra-gradient with player sampling for faster convergence in n-player games
970,Christoph Hofer,University of Salzburg,Roland Kwitt,"""University of Salzburg, Austria""",Topologically Densified Distributions
971,Tim G. J. Rudner,University of Oxford,Yarin Gal,University of Oxford,Inter-domain Deep Gaussian Processes
972,Ronen Basri,Weizmann Institute of Science,Shira Kritchman,Weizmann Institute,Frequency Bias in Neural Networks for Input of Non-Uniform Density
973,Boris Muzellec,"ENSAE, Institut Polytechnique de Paris",Marco Cuturi,Google,Missing Data Imputation using Optimal Transport
974,Prabhu Teja Sivaprasad,Idiap Research Institute,François Fleuret,University of Geneva,Optimizer Benchmarking Needs to Account for Hyperparameter Tuning
975,Vaishaal Shankar,UC Berkeley,Benjamin Recht,Berkeley,Neural Kernels Without Tangents
976,Lorenzo Croissant,Criteo AI Lab,Clément Calauzènes,Criteo AI Lab,Real-Time Optimisation for Online Learning in Auctions
977,Jingqing Zhang,Imperial College London,Peter J. Liu,"Google Research, Brain team",PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization
978,Aleksandar Bojchevski,Technical University of Munich,Stephan Günnemann,Technical University of Munich,"Efficient Robustness Certificates for Discrete Data: Sparsity-Aware Randomized Smoothing for Graphs, Images and More"
