999,Marco Cuturi,Google,JP Vert,Google,Supervised Quantile Normalization for Low Rank Matrix Factorization
1000,Sheng Shen,"University of California, Berkeley",Kurt Keutzer,UC Berkeley,PowerNorm: Rethinking Batch Normalization in Transformers
1001,Tuan-Binh Nguyen,INRIA Saclay Ile-de-France,Sylvain Arlot,University Paris Sud,Aggregation of Multiple Knockoffs
1002,Sarthak  Mittal,Uber ATG,Yoshua Bengio,Montreal Institute for Learning Algorithms,Learning to Combine Top-Down and Bottom-Up Signals in Recurrent Neural Networks with Attention over Modules
1003,Johannes Fischer,Karlsruhe Institute of Technology (KIT),Sahin Tas,FZI Research Center for Information Technology,Information Particle Filter Tree: An Online Algorithm for POMDPs with Belief-Based Rewards on Continuous Domains
1004,Nir Rosenfeld,Harvard University,Yaron Singer,Harvard,Predicting Choice with Set-Dependent Aggregation
1005,Filippo Maria Bianchi,NORCE the Norwegian Research Centre,Cesare Alippi,Università della Svizzera Italiana,Spectral Clustering with Graph Neural Networks for Graph Pooling
1006,Viktor Bengs,University of Paderborn,Eyke Hüllermeier,Paderborn University,Preselection Bandits
1007,Joris Bierkens,Technische Universiteit Delft,Gareth Roberts,University of Warwick,The Boomerang Sampler
1008,Dan  Fisher,Technion,Shie Mannor,Technion, Topic Modeling via Full Dependence Mixtures
1009,Gregor Simm,University of Cambridge,Jose Miguel Hernandez-Lobato,University of Cambridge,A Generative Model for Molecular Distance Geometry
1010,Erik Bodin,University of Bristol,Carl Henrik Ek,University of Cambridge,Modulating Surrogates for Bayesian Optimization
1011,Ferdinando Cicalese,University of Verona,Marco Molinaro,PUC-RIO,Teaching with Limited Information on the Learner's Behaviour
1012,Kevin Wenliang,"Gatsby Unit, University College London",Maneesh Sahani,"Gatsby Unit, UCL",Amortised Learning by Wake-Sleep
1013,Filip Hanzely,KAUST,Peter Richtarik,KAUST,Stochastic Subspace Cubic Newton Method
1014,Daniel Greenfeld,Technion,Uri Shalit,Technion,Robust Learning with the Hilbert-Schmidt Independence Criterion
1015,David Salinas,NAVER LABS Europe,Valerio Perrone,Amazon,A quantile-based approach for hyperparameter transfer learning
1016,Pankaj Gupta,Siemens AG,Hinrich Schuetze,University of Munich (LMU),Neural Topic Modeling with Continual Lifelong Learning
1017,Christoph Zimmer,Bosch Center for Artificial Intelligence BCAI,Reza Yaesoubi,"Health Policy and Management, Yale School of Public Health",Influenza Forecasting Framework based on Gaussian Processes
1018,Chengyu Dong,UCSD,Jingbo Shang,"University of California, San Diego",Towards Adaptive Residual Network Training: A Neural-ODE Perspective
