1019,Fabian Latorre,EPFL,Volkan Cevher,EPFL,Efficient Proximal Mapping of the 1-path-norm of Shallow Networks
1020,Christoph Hofer,University of Salzburg,Roland Kwitt,"""University of Salzburg, Austria""",Graph Filtration Learning
1021,Fabian Hinder,"CITEC, Bielefeld University",CITEC Barbara Hammer,"CITEC, Bielefeld University",Towards non-parametric drift detection via Dynamic Adapting Window Independence Drift Detection (DAWIDD)
1022,Petrus Mikkola,Aalto University,Samuel Kaski,Aalto University and University of Manchester,Projective Preferential Bayesian Optimization
1023,Jiri Fajtl,Kingston University London,Paolo Remagnino,Kingston University,Latent Bernoulli Autoencoder
1024,Dexiong Chen,Inria,Julien Mairal,Inria,Convolutional Kernel Networks for Graph-Structured Data
1025,Vincent Cohen-Addad,CNRS & Sorbonne Université,Guillaume Lagarde,LaBRI,On Efficient Low Distortion Ultrametric Embedding
1026,Ayoub Belhadji,Ecole Centrale de Lille,Pierre Chainais,Centrale Lille / CRIStAL CNRS UMR 9189,Kernel interpolation with continuous volume sampling
1027,Jean-Yves Franceschi,Sorbonne Université,Patrick Gallinari,"Sorbonne Universite, Criteo AI Lab",Stochastic Latent Residual Video Prediction
1028,Pengsheng Guo,Apple,Daniel Ulbricht,Apple,Learning to Branch for Multi-Task Learning
1029,Adam Breuer,Harvard University,Yaron Singer,Harvard,The FAST Algorithm for Submodular Maximization
1030,Martin Jørgensen,Technical University of Denmark,Hugh Salimbeni,Imperial College London,Stochastic Differential Equations with Variational Wishart Diffusions
1031,Yaodong Yang,Huawei UK,Weinan Zhang,Shanghai Jiao Tong University,Multi-Agent Determinantal Q-Learning
1032,François-Pierre Paty,ENSAE Paris,Marco Cuturi,Google,Regularized Optimal Transport is Ground Cost Adversarial
1033,Omri Azencot,UCLA,Michael Mahoney,UC Berkeley,Forecasting Sequential Data Using Consistent Koopman Autoencoders
1034,Lior Shani,Technion,Shie Mannor,Technion,Optimistic Policy Optimization with Bandit Feedback
1035,Alex Chan,University of Cambridge,Mihaela van der Schaar,University of Cambridge and UCLA,Unlabelled Data Improves Bayesian Uncertainty Calibration under Covariate Shift  
1036,Claire Vernade,DeepMind,Michael Brueckner,Amazon Research Berlin,Linear bandits with Stochastic Delayed Feedback
1037,Elliott Gordon-Rodriguez,Columbia University,John Cunningham,Columbia,The continuous categorical: a novel simplex-valued exponential family
1038,Xiangming Meng,Riken,Emti Khan,RIKEN,Training Binary Neural Networks using the Bayesian Learning Rule
