1059,Ying Huang,"Guangzhou Huya Technology Co., Ltd.",Jinzhuo Wang,University of Oxford,More Information Supervised Probabilistic Deep Face Embedding Learning
1060,Yuanyu Wan,Nanjing University,Lijun Zhang,Nanjing University,Projection-free Distributed Online Convex Optimization with $O(\sqrt{T})$ Communication Complexity
1061,Jang-Hyun Kim,Seoul National University,Hyun Oh Song,Seoul National University,Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup
1062,Chengchun Shi,London School of Economics and Political Science,Ling Leng,Amazon,Does the Markov Decision Process Fit the Data: Testing for the Markov Property in Sequential Decision Making
1063,Zhaoqiang Liu,NUS,Jonathan Scarlett,National University of Singapore,Sample Complexity Bounds for 1-bit Compressive Sensing and Binary Stable Embeddings with Generative Priors
1064,Kefan Dong,Tsinghua University,Yuan Zhou,UIUC,Multinomial Logit Bandit with Low Switching Cost
1065,Chong Min John Tan,National University of Singapore,Mehul Motani,NUS,DropNet: Reducing Neural Network Complexity via Iterative Pruning
1066,Yonggang Zhang,University of Science and Technology of China,Xinmei Tian,USTC,Dual-Path Distillation: A Unified Framework to Improve Black-Box Attacks
1067,Naoto Ohsaka,NEC Corporation,Tatsuya Matsuoka,NEC Corporation,On the (In)tractability of Computing Normalizing Constants for the Product of Determinantal Point Processes
1068,Takashi Ishida,The University of Tokyo / RIKEN,Masashi Sugiyama,RIKEN / The University of Tokyo,Do We Need Zero Training Loss After Achieving Zero Training Error?
1069,Jianshu Zhang,University of Science and Technology of China,Lirong Dai,N/A,A Tree-Structured Decoder for Image-to-Markup Generation
1070,Simiao Zuo,Georgia Institute of Technology,Hongyuan Zha,Georgia Institute of Technology,Transformer Hawkes Process
1071,Masatoshi Uehara,Harvard University,Nan Jiang,University of Illinois at Urbana-Champaign,Minimax Weight and Q-Function Learning for Off-Policy Evaluation
1072,Hung Le,Deakin University,Svetha Venkatesh,Deakin University,Self-Attentive Associative Memory
1073,Hongteng Xu,"InfiniaML, Inc.",Lawrence Carin,Duke,Learning Autoencoders with Relational Regularization
1074,Anoop Cherian,MERL,Shuchin Aeron,Tufts University,Representation Learning via Adversarially-Contrastive Optimal Transport
1075,Chence Shi,Peking University,Jian Tang,HEC Montreal & MILA,A Graph to Graphs Framework for Retrosynthesis Prediction
1076,Tian-Zuo Wang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Cost-effectively Identifying Causal Effects When Only Response Variable is Observable
1077,Liang Bai,"Shanxi University, China",Jiye Liang,Shanxi University,Sparse Subspace Clustering with Entropy-Norm
1078,Jungo Kasai,University of Washington,Jiatao Gu,Facebook AI Research,Non-autoregressive Machine Translation with Disentangled Context Transformer
