,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Max Jaderberg,DeepMind,koray kavukcuoglu,DeepMind,Decoupled Neural Interfaces using Synthetic Gradients
1,Alexander Kolesnikov,IST Austria,Christoph H. Lampert,IST Austria,PixelCNN Models with Auxiliary Variables for Natural Image Modeling
2,Vahab Mirrokni,Google Research,Sam Wong,UC Berkeley,Tight Bounds for Approximate Carathéodory and Beyond
3,Lerrel Pinto,Carnegie Mellon University,Abhinav Gupta,Carnegie Mellon University,Robust Adversarial Reinforcement Learning
4,Yixin Wang,Columbia University,David Blei,Columbia University,Robust Probabilistic Modeling with Bayesian Data Reweighting
5,Robert Busa-Fekete,Yahoo! Research,Shie Mannor,Technion,Multi-objective Bandits: Optimizing the Generalized Gini Index
6,Dan Garber,TTIC,Nati Srebro,Toyota Technological Institute at Chicago,Communication-efficient Algorithms for Distributed Stochastic Principal Component Analysis
7,Salvatore Ruggieri,Università di Pisa,Salvatore Ruggieri,Università di Pisa,Enumerating Distinct Decision Trees
8,Wojciech Czarnecki,DeepMind,koray kavukcuoglu,DeepMind,Understanding Synthetic Gradients and Decoupled Neural Interfaces
9,Scott Reed,Google Deepmind,Nando de Freitas,DeepMind,Parallel Multiscale Autoregressive Density Estimation
10,Yossi Arjevani,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Oracle Complexity of Second-Order Methods for Finite-Sum Problems
11,Mohammad Gheshlaghi Azar,Deepmind,Remi Munos,DeepMind,Minimax Regret Bounds for Reinforcement Learning
12,Willie Neiswanger,CMU,Eric Xing,Carnegie Mellon University,Post-Inference Prior Swapping
13,Liran Szlak,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Online Learning with Local Permutations and Delayed Feedback
14,Jun-ichiro Hirayama,RIKEN AIP / ATR,Motoaki Kawanabe,ATR / RIKEN,SPLICE: Fully Tractable Hierarchical Extension of ICA with Pooling
15,Yacine Jernite,New York University,David Sontag,Massachusetts Institute of Technology,Simultaneous Learning of Trees and Representations for Extreme Classification and Density Estimation
16,Xu SUN,Peking University,Houfeng Wang,,meProp: Sparsified Back Propagation for Accelerated Deep Learning with Reduced Overfitting
17,Nal Kalchbrenner,DeepMind,koray kavukcuoglu,DeepMind,Video Pixel Networks
18,Cédric Malherbe,ENS Paris-Saclay,Nicolas Vayatis,ENS Cachan,Global optimization of Lipschitz functions
19,Shahin Jabbari,University of Pennsylvania,Aaron Roth,University of Pennsylvania,Fairness in Reinforcement Learning
20,Alp Kucukelbir,Columbia University,David Blei,Columbia University,Evaluating Bayesian Models with Posterior Dispersion Indices
21,Sharan Vaswani,University of British Columbia,Mark Schmidt,University of British Columbia,Model-Independent Online Learning for Influence Maximization
22,Ian Yen,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Latent Feature Lasso
23,Ashish Kumar,Microsoft Research,Manik Varma,Microsoft Research,Resource-efficient Machine Learning in 2 KB RAM for the Internet of Things
24,Avanti Shrikumar,Stanford University,Anshul Kundaje,Stanford University,Learning Important Features Through Propagating Activation Differences
25,Lars Mescheder,MPI Tübingen,Andreas Geiger,MPI Tübingen,Adversarial Variational Bayes: Unifying Variational Autoencoders and Generative Adversarial Networks
26,Yichen Chen,Princeton University,Hao Yin,Stanford University,Strong NP-Hardness for Sparse Optimization with Concave Penalty Functions
27,Samuele Tosatto,Politecnico di Milano,Marcello Restelli,Politecnico di Milano,Boosted Fitted Q-Iteration
28,Isabel Valera,University of Cambridge,Zoubin Ghahramani,University of Cambridge & Uber,Automatic Discovery of the Statistical Types of Variables in a Dataset
29,Masrour Zoghi,Independent Researcher,Zheng Wen,Adobe Research,Online Learning to Rank in Stochastic Click Models
30,Zhehui Chen,Georgia Institute of Technology,Tuo Zhao,Georgia Institute of Technology,Online Partial Least Square Optimization: Dropping Convexity for Better Efficiency and Scalability
31,Teng Zhang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Multi-Class Optimal Margin Distribution Machine
32,Seiya Tokui,Preferred Networks / The University of Tokyo,Issei Sato,University of Tokyo / RIKEN,Evaluating the Variance of Likelihood-Ratio Gradient Estimators
33,Urs M Bergmann,Zalando Research,Roland Vollgraf,Zalando Research,Learning Texture Manifolds with the Periodic Spatial GAN
34,Yi Xu,The University of Iowa,Tianbao Yang,The University of Iowa,Stochastic Convex Optimization: Faster Local Growth Implies Faster Global Convergence
35,Ian Osband,Deepmind,Benjamin Van Roy,Stanford University,Why is Posterior Sampling Better than Optimism for Reinforcement Learning?
36,Andres Masegosa,University of Almeria,Anders Madsen,Hugin Expert A/S,Bayesian Models of Data Streams with Hierarchical Power Priors
37,Reinhard Heckel,UC Berkeley,Kannan Ramchandran,UC Berkeley,The Sample Complexity of Online One-Class Collaborative Filtering
38,Lifang He,University of Illinios at Chicago/Shenzhen University,Ann Ragin,Northwestern University,Kernelized Support Tensor Machines
39,Siamak Ravanbakhsh,Carnegie Mellon University,Barnabás Póczos,CMU,Equivariance Through Parameter-Sharing
40,Sanjeev Arora,Princeton University,Yi Zhang,Princeton University,Generalization and Equilibrium in Generative Adversarial Nets (GANs)
41,Li Shen,"School of Mathematics, South China University of Technology",Shiqian Ma,The Chinese University of Hong Kong,GSOS: Gauss-Seidel Operator Splitting Algorithm for Multi-Term Nonsmooth Convex Composite Optimization
42,Joshua Achiam,UC Berkeley,Pieter Abbeel,OpenAI / UC Berkeley,Constrained Policy Optimization
43,Arun SUGGALA,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Ordinal Graphical Models: A Tale of Two Approaches
44,Elad Hazan,Princeton University,Cyril Zhang,Princeton University,Efficient Regret Minimization in Non-Convex Games
45,Dan Feldman,The University of Haifa,Daniela Rus,MIT CSAIL,Coresets for Vector Summarization with Applications to Network Graphs
46,Kai Zhong,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Recovery Guarantees for One-hidden-layer Neural Networks
47,Yingce Xia,University of Science and Technology of China,Tie-Yan Liu,Microsoft,Dual Supervised Learning
48,Joao Henriques,University of Oxford,Andrea Vedaldi,University of Oxford,Warped Convolutions: Efficient Invariance to Spatial Transformations
49,Youssef Mroueh,IBM T.J Watson Research Center,Vaibhava Goel,IBM,McGan: Mean and Covariance Feature Matching GAN
50,Stephen Tu,UC Berkeley,Benjamin Recht,Berkeley,Breaking Locality Accelerates Block Gauss-Seidel
51,Tuomas Haarnoja,UC Berkeley,Sergey Levine,Berkeley,Reinforcement Learning with Deep Energy-Based Policies
52,Hongyu Yang,Massachusetts Institute of Technology,Margo Seltzer,Harvard University,Scalable Bayesian Rule Lists
53,Yichi Zhou,Tsinghua University,Jun Zhu,Tsinghua University,Identify the Nash Equilibrium in Static Games with Random Payoffs
54,Zilong Tan,Duke University,Sayan Mukherjee,Duke University,Partitioned Tensor Factorizations for Learning Mixed Membership Models
55,Shaked Shammah,"Hebrew University, Jerusalem",Ohad Shamir,Weizmann Institute of Science,Failures of Gradient-Based Deep Learning
56,ROI Livni,Princeton,Amir Globerson,Tel Aviv University,Learning Infinite Layer Networks without the Kernel Trick
