,first-author-affiliation,last-author-affiliation,title
0," D.R.C School of Computer Science, University of Waterloo"," D.R.C School of Computer Science, University of Waterloo",Discerning linkage-based algorithms among hierarchical clustering methods
1," Institut de Robòtica i Informàtica Industrial, CSIC, UPC, Barcelona, Spain"," Institut de Robòtica i Informàtica Industrial, CSIC, UPC, Barcelona, Spain",A competitive strategy for function approximation in Q-learning
2," Knowledge Dicovery, Fraunhofer IAIS, Germany"," Statistical ML Group, NICTA & ANU, Canberra, Australia","Multi-evidence lifted message passing, with application to PageRank and the Kalman filter"
3," Intelligent Systems Program, University of Pittsburgh"," Department of Computer Science, University of Pittsburgh",An efficient framework for constructing generalized locally-induced text metrics
4," Institute of New Imaging Technologies, Universitat Jaume I, Spain"," Department of Languages and Computer Systems, Universitat Jaume I, Spain",Semi-supervised learning from a translation model between data distributions
5, Lawrence Livermore National Laboratory, University of Wisconsin-Madison,A framework for incorporating general domain knowledge into latent Dirichlet allocation using first-order logic
6," Palo Alto Research Center, Palo Alto, CA"," Palo Alto Research Center, Palo Alto, CA",Improving performance of topic models by variable grouping
7," Centre for Quantum Computation and Intelligence Systems, University of Technology, Sydney, NSW, Australia"," Centre for Quantum Computation and Intelligence Systems, University of Technology, Sydney, NSW, Australia",Learning a distance metric by empirical loss minimization
8," Computer Science, George Mason University"," Computer Science, George Mason University",A hidden Markov model variant for sequence classification
9," Max-Planck-Institut für Informatik, Saarbrücken, Germany"," School of Computer Science, University of Adelaide, Adelaide, SA, Australia",Approximation-guided evolutionary multi-objective optimization
10," HKUST, Hong Kong"," HKUST, Hong Kong",Distance metric learning under covariate shift
11," Electrical Engineering Dept., Technological Institute of Aeronautics, São José dos Campos, Brazil"," Electrical Engineering Dept., Centro Universitário da FEI, São Bernardo do Campo, Brazil",Using cases as heuristics in reinforcement learning: a transfer learning application
12," Digital Enterprise Research Institute, NUI Galway, Ireland"," Digital Enterprise Research Institute, NUI Galway, Ireland",Increasing the scalability of the fitting of generalised block models for social networks
13," IBM T.J. Watson Research Center, Yorktown Heights, NY"," IBM T.J. Watson Research Center, Yorktown Heights, NY",Concept labeling: building text classifiers with minimal supervision
14," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand"," School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand",Unsupervised learning of patterns in data streams using compression and edit distance
15," IDSIA, USI and SUPSI, Manno-Lugano, Switzerland"," IDSIA, USI and SUPSI, Manno-Lugano, Switzerland","Flexible, high performance convolutional neural networks for image classification"
16," College of Engineering, Georgia Tech., Atlanta, GA"," College of Engineering, Georgia Tech., Atlanta, GA",Automatic state abstraction from demonstration
17," LIFO, Université d'Orléans, Orléans, France"," LIP6, Université Pierre et Marie Curie, Paris, France",Generative structure learning for Markov logic networks based on graph of predicates
18," LIAAD, INESC Porto L.A., Portugal and Faculty of Economics, University of Porto, Portugal"," LIAAD, INESC Porto L.A., Portugal and Fac. of Informatics, Masaryk University, Brno",Learning decision rules from data streams
19," School of Computer Science, Bangor University, Bangor, Wales"," School of Computer Science, Bangor University, Bangor, Wales",Constituent grammatical evolution
20," University of Dundee, Dundee, UK"," University of Waterloo, Waterloo, Canada",Continuous correlated beta processes
21," State Key Laboratory on Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China"," State Key Laboratory on Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China",A fast dual projected Newton method for l1-regularized least squares
22," Department of Pure and Applied Matematics, University of Padova"," Department of Pure and Applied Matematics, University of Padova",Kernel-based selective ensemble learning for streams of trees
23," Department of Computer Science, University of Illinois at Urbana-Champaign"," Department of Computer Science, University of Illinois at Urbana-Champaign",On trivial solution and scale transfer problems in graph regularized NMF
24," Department of Computer Science, University of Illinois at Urbana-Champaign"," Department of Computer Science, University of Illinois at Urbana-Champaign",Joint feature selection and subspace learning
25," Department of Computer and Information Sciences, Temple University, Philadelphia, PA"," Department of Computer and Information Sciences, Temple University, Philadelphia, PA",Multi-label classification using conditional dependency networks
26," OUEST, Rennes Cedex, France"," INRIA, Centre de Rennes-Bretagne Atlantique, Rennes Cedex, France",Extracting temporal patterns from interval-based sequences
27," Department of Computing Science, University of Alberta"," Department of Computing Science, University of Alberta",Fast approximate nearest-neighbor search with k-nearest neighbor graph
28," Universidad Autónoma de Madrid, Madrid, Spain"," Universidad Autónoma de Madrid, Madrid, Spain",Gaussianity measures for detecting the direction of causal time series
