,first-author-affiliation,last-author-affiliation,title
0," Computer Science Department, University of Central Oklahoma"," Computer Science Department, University of Texas at Dallas",Simple and fast strong cyclic planning for fully-observable nondeterministic planning problems
1," Ulm University, Institute of Artificial Intelligence, Ulm, Germany"," Ulm University, Institute of Artificial Intelligence, Ulm, Germany",On the decidability of HTN planning with task insertion
2," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong",Transfer learning for activity recognition via sensor mapping
3," Department of Computer Science, KAIST, Korea"," School of Computer Science, University of Waterloo, Canada",Point-based value iteration for constrained POMDPs
4," Dept. of Computer Science, University of Toronto, Toronto, Canada"," Dept. of Mechanical & Industrial Engineering, University of Toronto, Toronto, Canada",Monitoring the execution of partial-order plans via regression
5," Ben-Gurion University, Beer-Sheva, Israel"," University of Freiburg, Freiburg, Germany",Computing perfect heuristics in polynomial time: on bisimulation and merge-and-shrink abstraction in optimal planning
6," Institute of Cognitive Science and Technology, CNR, Rome, Italy"," Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",Iterative flattening search for the flexible job shop scheduling problem
7, IT-University of Copenhagen, Brown University,Large neighborhood search and adaptive randomized decompositions for flexible jobshop scheduling
8," Imperial College London, London, UK"," ICREA & UPF, Barcelona, Spain",Computing infinite plans for LTL goals using a classical planner
9," Universitat Pompeu Fabra, Barcelona, Spain"," ICREA & Universitat Pompeu Fabra, Barcleona. Spain",Goal recognition over POMDPs: inferring the intention of a POMDP agent
10," The Australian National University, Canberra, Australia"," The Australian National University, Canberra, Australia","Planning with SAT, admissible heuristics and A*"
11," Department of Information Systems Engineering, Ben-Gurion University of the Negev"," Department of Computer Science, Ben Ben-Gurion University of the Negev",Replanning in domains with partial information and sensing actions
12," Inst. for Systems and Robotics, Instituto Superior Técnico, Lisbon, Portugal"," Aptima, Inc., Woburn, MA",Scaling up optimal heuristic search in Dec-POMDPs via incremental expansion
13," New Mexico State University, Department of Computer Science"," New Mexico State University, Department of Computer Science",On the effectiveness of CNF and DNF representations in contingent planning
14," Computer Science Division, University of California, Berkeley"," Computer Science Division, University of California, Berkeley",Bounded intention planning
15," Department of Mechanical Engineering, National University of Singapore, Singapore"," Department of Electrical Engineering, Technion, Israel",Probabilistic goal Markov decision processes
16," Department of Computer Science and Engineering, University of Minnesota"," Department of Computer Science and Engineering, University of Minnesota",Capturing an evader in a polygonal environment with obstacles
17," Center for Data Engineering, International Institute of Information Technology, Hyderabad, India"," Center for Data Engineering, International Institute of Information Technology, Hyderabad, India",Aesthetic guideline driven photography by robots
18," Naval Research Laboratory, Washington, DC"," Naval Research Laboratory, Washington, DC",Accommodating human variability in human-robot teams through theory of mind
19," School of Electrical and Computer Engineering, Cornell University"," School of Electrical and Computer Engineering, Cornell University",Robotic object detection: learning to improve the classifiers using sparse graphs for path planning
20," UJF-Grenoble 1, CNRS, TIMC-IMAG, UMR, Grenoble, France"," UJF-Grenoble 1, CNRS, TIMC-IMAG, UMR, Grenoble, France",Conics with a common axis of symmetry: properties and applications to camera calibration
21," Hong Kong University of Science and Technology, Kowloon, Hong Kong"," Hong Kong University of Science and Technology, Kowloon, Hong Kong",User-dependent aspect model for collaborative activity recognition
22," Computer Science Department, University of Illinois at Urbana-Champaign, Urbana, IL"," Computer Science Department, University of Illinois at Urbana-Champaign, Urbana, IL",Lifted relational Kalman filtering
23," Dalle Molle Institute for Artificial Intelligence, Manno-Lugano, Switzerland"," Dalle Molle Institute for Artificial Intelligence, Manno-Lugano, Switzerland",New complexity results for MAP in Bayesian networks
24," Dalle Molle Institute for Artificial Intelligence, Manno-Lugano, Switzerland"," Dalle Molle Institute for Artificial Intelligence, Manno-Lugano, Switzerland",Inference with multinomial data: why to weaken the prior strength
25," University of Palermo, Computer Science Engineering, Palermo, Italy"," Consiglio Nazionale delle Ricerche, ILC-CNR and ISTC-CNR, Roma, Italy",Motor simulation via coupled internal models using sequential Monte Carlo
26," IRIT-CNRS, UMR, Université Paul Sabatier, Toulouse, France"," LIP6-CNRS, UMR, UPMC, Paris, France",Resolute choice in sequential decision problems with multiple priors
27," INRA,, Castanet Tolosan, France"," INRA,, Castanet Tolosan, France",Pairwise decomposition for combinatorial optimization in graphical models
28," ETH Zürich and Caltech, Zürich, Switzerland"," Caltech, Pasadena, CA",Randomized sensing in adversarial environments
29," Dept. of Computer Science, Univ. of Massachusetts Amherst"," Dept. of Mathematics and Computer Science, FU Berlin",Scalable multiagent planning using probabilistic inference
