,first-author-affiliation,last-author-affiliation,title
0," Universitat Politècnica de Catalunya, Spain and Universidad Politécnica de Madrid, Spain", SDL Language Weaver,Identifying useful human correction feedback from an on-line machine translation service
1," The University of Tokyo, Tokyo, Japan"," Japan Science and Technology Agency, ERATO",Mining for analogous tuples from an entity-relation graph
2, University of Illinois at Chicago, HP Labs,Leveraging multi-domain prior knowledge in topic models
3," School of Computer Science, Fudan University, Shanghai, P.R. China"," School of Computer Science, Fudan University, Shanghai, P.R. China",Learning topical translation model for microblog hashtag suggestion
4," Soochow University, China and Institute for Infocomm Research, Singapore"," Soochow University, China and Institute for Infocomm Research, Singapore",Smoothing for bracketing induction
5," Tsinghua University, China"," Tsinghua University, China",Crowdsourcing-assisted query structure interpretation
6," Institute of Computer Science and Technology, The MOE Key Laboratory of Computational Linguistics, Peking University, Beijing, China"," Institute of Computer Science and Technology, The MOE Key Laboratory of Computational Linguistics, Peking University, Beijing, China",PPSGen: learning to generate presentation slides for academic papers
7, University of Illinois at Urbana-Champaign, University of Illinois at Urbana-Champaign,End-to-end coreference resolution for clinical narratives
8," School of Computer Science and Technology, Soochow University, China and Department of Computer Science, National University of Singapore, Singapore"," School of Computer Science and Technology, Soochow University, China",A clause-level hybrid approach to Chinese empty element recovery
9," School of Computer Science & Technology, Soochow University, Suzhou, China"," School of Computer Science & Technology, Soochow University, Suzhou, China",Joint modeling of argument identification and role determination in Chinese event extraction with discourse-level information
10," Natural Language Processing Lab, School of Computer Science and Technology, Soochow University, Suzhou, China"," Natural Language Processing Lab, School of Computer Science and Technology, Soochow University, Suzhou, China",Active learning for cross-domain sentiment classification
11," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences"," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",Opinion target extraction using partially-supervised word alignment model
12," Interactive Digital Media Technology Research Center, Institute of Automation, Chinese Academy of Sciences, Beijing, China"," Interactive Digital Media Technology Research Center, Institute of Automation, Chinese Academy of Sciences, Beijing, China",Joint and coupled bilingual topic model based sentence representations for language model adaptation
13," Dipartimento di Informatica, Sapienza Università di Roma, Roma, Italy"," Dipartimento di Informatica, Sapienza Università di Roma, Roma, Italy",Integrating syntactic and semantic analysis into the open information extraction paradigm
14," Department of Chinese, Translation and Linguistics, City University of Hong Kong, Kowloon, HKSAR, China"," Department of Chinese, Translation and Linguistics, City University of Hong Kong, Kowloon, HKSAR, China",Combine constituent and dependency parsing via reranking
15," University of Trento, DISI, Povo, TN, Italy"," University of Trento, DISI, Povo, TN, Italy and Qatar Computing Research Institute, Doha, Qatar",Fast linearization of tree kernels over large-scale data
16," Tianjin University, Tianjin, China"," Microsoft Research Asia, Beijing, China",Answer extraction from passage graph for question answering
17," Department of Computer Science, Nanjing University of Science and Technology, China"," National Laboratory of Pattern Recognition, Institute of Automation, CAS",Instance selection and instance weighting for cross-domain sentiment classification via PU learning
18," School of Computer Science and Technology, Soochow University, Suzhou, China and Institute for Infocomm Research, Connexis, Singapore"," Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, China and Centre for Next Generation Localisation, School of Computing, Dublin City University, Ireland",Modeling lexical cohesion for document-level machine translation
19," Nanjing University of Posts and Telecommunications, China"," Key Lab of Intelligent Information processing, Chinese Academy of Sciences, China",A text scanning mechanism simulating human reading process
20," Dept. of Computer Science and Information Engineering, National Taiwan University, Taiwan and Dept. of Computer Science, Peking University, China"," Dept. of Computer Science, Peking University, China","i, poet: automatic Chinese poetry composition through a generative summarization framework under constrained optimization"
21," School of Computer Science and Technology, Harbin Institute of Technology, China"," School of Computer Science and Technology, Harbin Institute of Technology, China",Fusion of word and letter based metrics for automatic MT evaluation
22," Microsoft Key Laboratory of Intelligent Computing and Intelligent System and Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"," Microsoft Key Laboratory of Intelligent Computing and Intelligent System and Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",Improving function word alignment with frequency and syntactic information
23," Institute of Automation, Chinese Academy of Sciences, Beijing, China"," Institute of Automation, Chinese Academy of Sciences, Beijing, China",Cross lingual entity linking with bilingual topic model
24," Department of Computer Sci. and Tech., Tsinghua University, Beijing, China"," Department of Computer Sci. and Tech., Tsinghua University, Beijing, China",Integrating semantic relatedness and words' intrinsic features for keyword extraction
25," Singapore University of Technology and Design, Singapore"," Singapore University of Technology and Design, Singapore",Partial-tree linearization: generalized word ordering for text synthesis
26," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China"," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China",Improving question retrieval in community question answering using world knowledge
27," School of Computer Science and Technology, Nanjing Normal University, China and Jiangsu Research Center of Information Security & Privacy Technology, China"," School of Computer Science and Technology, Nanjing Normal University, China and Jiangsu Research Center of Information Security & Privacy Technology, China and State Key Lab. for Novel Software Technology, Nanjing University, China",Efficient latent structural perceptron with hybrid trees for semantic parsing
