,first-author-affiliation,last-author-affiliation,title
0," University of the Basque Country, UPV, EHU, Donostia-San Sebastián"," University of the Basque Country, UPV, EHU, Donostia-San Sebastián",Robust multilingual named entity recognition with shallow semi-supervised features: extended abstract
1, University of Trento, University of Groningen,"Automatic description generation from images: a survey of models, datasets, and evaluation measures"
2, Università degli studi di Napoli Federico II, Università degli studi di Napoli Federico II,A new semantics for overriding in description logics
3," Department of Theoretical Computer Science and Mathematical Logic, Charles University in Prague, Faculty of Mathematics and Physics, Czech Republic"," Department of Theoretical Computer Science and Mathematical Logic, Charles University in Prague, Faculty of Mathematics and Physics, Czech Republic",On minimum representations of matched formulas
4," AMSS, Chinese Academy of Sciences", Tsinghua University,Efficient mechanism design for online scheduling
5," University of York, United Kingdom"," University of York, United Kingdom","Bayesian network structure learning with integer programming: polytopes, facets and complexity"
6," IDLab, Ghent University, Belgium"," Department of Statistics, Federal University of São Carlos, Brazil",Coherent predictive inference under exchangeability with imprecise probabilities
7, University of Liverpool, ENS Rennes,The ceteris paribus structure of logics of game forms
8, Universitat Politècnica de València," Monash University, Australia",Computer models solving intelligence test problems: progress and implications
9," College of Computer Science and Technology, Jilin University, China"," Department of Computer Science, Northeast Normal University, China",New canonical representations by augmenting OBDDs with conjunctive decomposition
10," Department of Mathematics and Applied Mathematics, Virginia Commonwealth University, Richmond, VA"," Department of Applied Mathematics, Computer Science and Statistics, Ghent University, Ghent, Belgium",Automated conjecturing I: Fajtlowicz's Dalmatian heuristic revisited
11," Centre for Quantum Software & Information, FEIT, University of Technology Sydney, Australia and UTS-AMSS Joint Research Laboratory, AMSS, Chinese Academy of Sciences, China"," School of Science, RMIT University, Australia",On redundant topological constraints
12, University of Freiburg," University of Potsdam, INRIA Rennes",AutoFolio: an automatically configured algorithm selector
13," Institute of Computing Technology, Chinese Academy of Sciences, China"," Department of Material Science and Engineering, Massachusetts Institute of Technology",CCEHC: an efficient local search algorithm for weighted partial maximum satisfiability
14," DeepMind, London, UK"," McGill University, Montreal, Canada",Approximate value iteration with temporally extended actions
15," Otto-von-Guericke-University of Magdeburg, Germany", University of Maine,Relations between spatial calculi about directions and orientations
16, Universidade da Madeira and Centro de Investigação em Matemática e Aplicações," University of Patras and QCIS, Faculty of Engineering and IT, University of Technology Sydney",Construction of system of spheres-based transitively relational partial meet multiple contractions: an impossibility result
17," Artificial Intelligence Laboratory, Jozef Stefan Institute, Ljubljana, Slovenia"," Artificial Intelligence Laboratory, Jozef Stefan Institute, Ljubljana, Slovenia",News across languages: cross-lingual document similarity and event tracking
18," Institute of Computer Science, The Czech Academy of Sciences, Czech Republic"," Department of Theoretical Computer Science and Mathematical Logic, Faculty of Mathematics and Physics, Charles University, Czech Republic",Generating models of a matched formula with a polynomial delay
19," State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China"," Institut für Informationssysteme, Technische Universität Wien, Vienna, Austria",Evaluating epistemic negation in answer set programming
20," Dept. of Computer Science, Ben-Gurion University of the Negev"," Dept. of Computer Science, Ben-Gurion University of the Negev",Some properties of batch value of information in the selection problem
21," University of Koblenz-Landau, Germany"," University of Koblenz-Landau, Germany",On the expressivity of inconsistency measures
22," Knexus Research Corporation, National Harbor, MD"," Department of Computer Science, New Mexico State University",A generic approach to planning in the presence of incomplete information: theory and implementation
23," University of Toronto, Toronto, Ontario, Canada"," University of Toronto, Toronto, Ontario, Canada",Robots in retirement homes: applying off-the-shelf planning and scheduling to a team of assistive robots
24," The University of Texas at Austin, Austin, Texas, United States"," The University of Edinburgh, Edinburgh, United Kingdom",Exploiting causality for selective belief filtering in dynamic Bayesian networks
25," School of Computer Science and Information Technology, Northeast Normal University, China"," School of Computer Science and Information Technology, Northeast Normal University, China and Journal of Artificial Intelligence Research",Local search for minimum weight dominating set with two-level configuration checking and frequency based scoring function
26," Institute for Language, Cognition and Computation School of Informatics, University of Edinburgh, Edinburgh"," Institute for Language, Cognition and Computation School of Informatics, University of Edinburgh, Edinburgh",Text rewriting improves semantic role labeling
27," Swinburne University of Technology, Melbourne, Australia"," Swinburne University of Technology, Melbourne, Australia and University of Isfahan, Isfahan, Iran","POPPONENT: highly accurate, individually and socially efficient opponent preference model in bilateral multi issue negotiations"
