,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2017,Silvio Amir,Universidade de Lisboa,Byron C. Wallace,Northeastern University,MLHC,Quantifying Mental Health from Social Media with Neural User Embeddings.,5,http://proceedings.mlr.press/v68/amir17a.html,https://dblp.org/rec/conf/mlhc/AmirCCSW17
1,2017,Yujia Bao,University of Wisconsin-Madison,Rebecca Willett,University of Wisconsin-Madison,MLHC,Hawkes Process Modeling of Adverse Drug Reactions with Longitudinal Observational Data.,5,http://proceedings.mlr.press/v68/bao17a.html,https://dblp.org/rec/conf/mlhc/BaoKPPW17
2,2017,Savannah L. Bergquist,Harvard Medical School,Sherri Rose,Harvard Medical School,MLHC,Classifying Lung Cancer Severity with Ensemble Machine Learning in Health Care Claims Data.,5,http://proceedings.mlr.press/v68/bergquist17a.html,https://dblp.org/rec/conf/mlhc/BergquistBKLR17
3,2017,Edward Choi,Georgia Institute of Technology,Jimeng Sun,Georgia Institute of Technology,MLHC,Generating Multi-label Discrete Patient Records using Generative Adversarial Networks.,6,http://proceedings.mlr.press/v68/choi17a.html,https://dblp.org/rec/conf/mlhc/ChoiBMDSS17
4,2017,Bryan Conroy,Philips Research North America,Asif Rahman,Philips Research North America,MLHC,Patient Similarity Using Population Statistics and Multiple Kernel Learning.,3,http://proceedings.mlr.press/v68/conroy17a.html,https://dblp.org/rec/conf/mlhc/ConroyXR17
5,2017,Amirreza Farnoosh,Northeastern University,Mehrdad Nourani,University of Texas at Dallas,MLHC,Spatially-Continuous Plantar Pressure Reconstruction Using Compressive Sensing.,3,http://proceedings.mlr.press/v68/farnoosh17a.html,https://dblp.org/rec/conf/mlhc/FarnooshON17
6,2017,Samuele Fiorini,Universit`a degli Studi di Genova,Giampaolo Brichetto,Italian Multiple Sclerosis Foundation,MLHC,Temporal prediction of multiple sclerosis evolution from patient-centered outcomes.,5,http://proceedings.mlr.press/v68/fiorini17a.html,https://dblp.org/rec/conf/mlhc/FioriniVBTB17
7,2017,Madalina Fiterau,Stanford University,Scott L. Delp,Stanford University,MLHC,ShortFuse - Biomedical Time Series Representations in the Presence of Structured Information.,8,http://proceedings.mlr.press/v68/fiterau17a.html,https://dblp.org/rec/conf/mlhc/FiterauBFBHHRD17
8,2017,Jose Castela Forte,University of Groningen,Anne H. Epema,University of Groningen,MLHC,Predicting long-term mortality with first week post-operative data after Coronary Artery Bypass Grafting using Machine Learning models.,5,http://proceedings.mlr.press/v68/forte17a.html,https://dblp.org/rec/conf/mlhc/ForteWBGE17
9,2017,Joseph Futoma 0001,Duke University,Cara O'Brien,Duke University,MLHC,An Improved Multi-Output Gaussian Process RNN with Real-Time Validation for Early Sepsis Detection.,8,http://proceedings.mlr.press/v68/futoma17a.html,https://dblp.org/rec/conf/mlhc/FutomaHHSBCBO17
10,2017,Albert Haque,Stanford University,Li Fei-Fei 0001,Stanford University,MLHC,Towards Vision-Based Smart Hospitals - A System for Tracking and Monitoring Hand Hygiene Compliance.,13,http://proceedings.mlr.press/v68/haque17a.html,https://dblp.org/rec/conf/mlhc/HaqueGAYLRJDBSP17
11,2017,Kazi T. Islam,University of California,Randall C. Wetzel,Childrens Hospital,MLHC,Marked Point Process for Severity of Illness Assessment.,4,http://proceedings.mlr.press/v68/islam17a.html,https://dblp.org/rec/conf/mlhc/IslamSCW17
12,2017,Maria Jahja,North Carolina State University,Daniel J. Lizotte,University of Western Ontario,MLHC,Visualizing Clinical Significance with Prediction and Tolerance Regions.,2,http://proceedings.mlr.press/v68/jahja17a.html,https://dblp.org/rec/conf/mlhc/JahjaL17
13,2017,Ronnachai Jaroensri,"Massachusetts Institute of Technology, Cambridge, USA",John V. Guttag,Massachusetts Institute of Technology,MLHC,A Video-Based Method for Automatically Rating Ataxia.,7,http://proceedings.mlr.press/v68/jaroensri17a.html,https://dblp.org/rec/conf/mlhc/JaroensriZBLSDG17
14,2017,Alistair E. W. Johnson,Massachussetts Institute of Technology,Roger G. Mark,Massachussetts Institute of Technology,MLHC,Reproducibility in critical care - a mortality prediction case study.,3,http://proceedings.mlr.press/v68/johnson17a.html,https://dblp.org/rec/conf/mlhc/JohnsonPM17
15,2017,Hei Law,University of Michigan,Jia Deng 0001,University of Michigan,MLHC,Surgeon Technical Skill Assessment using Computer Vision based Analysis.,3,http://proceedings.mlr.press/v68/law17a.html,https://dblp.org/rec/conf/mlhc/LawGD17
16,2017,Yuan Ling,Philips Research North America,Oladimeji Farri,Philips Research North America,MLHC,Diagnostic Inferencing via Improving Clinical Concept Extraction with Deep Reinforcement Learning - A Preliminary Study.,7,http://proceedings.mlr.press/v68/ling17a.html,https://dblp.org/rec/conf/mlhc/LingHDQLLF17
17,2017,Elizabeth C. Lorenzi,Duke University,Katherine A. Heller,Duke University,MLHC,Predictive Hierarchical Clustering - Learning clusters of CPT codes for improving surgical outcomes.,4,http://proceedings.mlr.press/v68/lorenzi17a.html,https://dblp.org/rec/conf/mlhc/LorenziBSH17
18,2017,Nathan H. Ng,University of California,Zachary C. Lipton,University of California,MLHC,Predicting Surgery Duration with Neural Heteroscedastic Regression.,5,http://proceedings.mlr.press/v68/ng17a.html,https://dblp.org/rec/conf/mlhc/NgGMEL17
