,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
79,2020,Shems Saleh,Vector Institute,Tristan Naumann,Microsoft Research,MLHC,Clinical Collabsheets - 53 Questions to Guide a Clinical Collaboration.,4,http://proceedings.mlr.press/v126/saleh20a.html,https://dblp.org/rec/conf/mlhc/SalehBEN20
80,2020,Benjamin Schloss,"Abridge AI, Inc.",Sandeep Konam,"Abridge AI, Inc.",MLHC,Towards an Automated SOAP Note - Classifying Utterances from Medical Conversations.,2,http://proceedings.mlr.press/v126/schloss20a.html,https://dblp.org/rec/conf/mlhc/SchlossK20
81,2020,Kristen A. Severson,IBM Research,Soumya Ghosh,IBM Research,MLHC,Personalized Input-Output Hidden Markov Models for Disease Progression Modeling.,6,http://proceedings.mlr.press/v126/severson20a.html,https://dblp.org/rec/conf/mlhc/SeversonCSNHG20
82,2020,Uri Shaham,Yale University,Harlan M. Krumholz,Yale University,MLHC,Learning to Ask Medical Questions using Reinforcement Learning.,6,http://proceedings.mlr.press/v126/shaham20a.html,https://dblp.org/rec/conf/mlhc/ShahamZCMMK20
83,2020,Shijing Si,Duke University,Lawrence Carin,Duke University,MLHC,Students Need More Attention - BERT-based Attention Model for Small Data with Application to Automatic Patient Message Triage.,7,http://proceedings.mlr.press/v126/si20a.html,https://dblp.org/rec/conf/mlhc/SiWWZD0C20
84,2020,Yifeng Tao,Carnegie Mellon University,Xinghua Lu,University of Pittsburgh,MLHC,Predicting Drug Sensitivity of Cancer Cell Lines via Collaborative Filtering with Contextual Attention.,5,http://proceedings.mlr.press/v126/tao20a.html,https://dblp.org/rec/conf/mlhc/TaoRDSL20
85,2020,Lida Zhang,Texas A&M University,Bobak Jack Mortazavi,Texas A&M University,MLHC,Developing Personalized Models of Blood Pressure Estimation from Wearable Sensors Data Using Minimally-trained Domain Adversarial Neural Networks.,7,http://proceedings.mlr.press/v126/zhang20a.html,https://dblp.org/rec/conf/mlhc/ZhangHISKJM20
86,2020,Dongyu Zhang,Worcester Polytechnic Institute,Elke A. Rundensteiner,Worcester Polytechnic Institute,MLHC,Time-Aware Transformer-based Network for Clinical Notes Series Prediction.,4,http://proceedings.mlr.press/v126/zhang20c.html,https://dblp.org/rec/conf/mlhc/ZhangTSR20
87,2020,Renyu Zhang,University of Chicago,Aly A. Khan,University of Chicago,MLHC,Evaluating and interpreting caption prediction for histopathology images.,4,http://proceedings.mlr.press/v126/zhang20b.html,https://dblp.org/rec/conf/mlhc/ZhangWGK20
88,2020,Finale Doshi-Velez,nan,Jenna Wiens,nan,MLHC,"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2020, 7-8 August 2020, Virtual Event, Durham, NC, USA.",7,http://proceedings.mlr.press/v126/,https://dblp.org/rec/conf/mlhc/2020
89,2018,Alexis Bellot,University of Oxford,Mihaela van der Schaar,University of Oxford,MLHC,Boosted Trees for Risk Prognosis.,2,http://proceedings.mlr.press/v85/bellot18a.html,https://dblp.org/rec/conf/mlhc/BellotS18
90,2018,Willie Boag,Massachusetts Institute of Technology,Marzyeh Ghassemi,University of Toronto,MLHC,Racial Disparities and Mistrust in End-of-Life Care.,5,http://proceedings.mlr.press/v85/boag18a.html,https://dblp.org/rec/conf/mlhc/BoagSCSG18
91,2018,Scott Buffett,National Research Council Canada,Di Jiang,National Research Council Canada,MLHC,Pattern-Based Behavioural Analysis on Neurosurgical Simulation Data.,3,http://proceedings.mlr.press/v85/buffett18a.html,https://dblp.org/rec/conf/mlhc/BuffettPJ18
92,2018,Vanessa D'Amario,Universit`a degli Studi di Genova,Lino Nobili,Ospedale CaÕ Granda Niguarda,MLHC,Multi-task multiple kernel learning reveals relevant frequency bands for critical areas localization in focal epilepsy.,6,http://proceedings.mlr.press/v85/d-amario18a.html,https://dblp.org/rec/conf/mlhc/DAmarioTTABN18
93,2018,Audrey Durand,McGill University,Joelle Pineau,McGill University,MLHC,Contextual Bandits for Adapting Treatment in a Mouse Model of de Novo Carcinogenesis.,6,http://proceedings.mlr.press/v85/durand18a.html,https://dblp.org/rec/conf/mlhc/DurandAISMP18
94,2018,Matthew Engelhard,Duke University School of Medicine,F. Joseph McClernon,Duke University School of Medicine,MLHC,Predicting Smoking Events with a Time-Varying Semi-Parametric Hawkes Process Model.,6,http://proceedings.mlr.press/v85/engelhard18a.html,https://dblp.org/rec/conf/mlhc/EngelhardXCOHM18
95,2018,Jacob Fauber,University of California,Christian R. Shelton,University of California,MLHC,"Modeling ""Presentness"" of Electronic Health Record Data to Improve Patient State Estimation.",2,http://proceedings.mlr.press/v85/fauber18a.html,https://dblp.org/rec/conf/mlhc/FauberS18
96,2018,Jen J. Gong,Massachusetts Institute of Technology,John V. Guttag,Massachusetts Institute of Technology,MLHC,Learning to Summarize Electronic Health Records Using Cross-Modality Correspondences.,2,http://proceedings.mlr.press/v85/gong18a.html,https://dblp.org/rec/conf/mlhc/GongG18
97,2018,Sebastian D. Goodfellow,The Hospital for Sick Children,Danny Eytan,The Hospital for Sick Children,MLHC,Towards Understanding ECG Rhythm Classification Using Convolutional Neural Networks and Attention Mappings.,6,http://proceedings.mlr.press/v85/goodfellow18a.html,https://dblp.org/rec/conf/mlhc/GoodfellowGGLME18
98,2018,Stefan Hegselmann,University of M _unster,Martin Dugas,University of M _unster,MLHC,Reproducible Survival Prediction with SEER Cancer Data.,4,http://proceedings.mlr.press/v85/hegselmann18a.html,https://dblp.org/rec/conf/mlhc/HegselmannGVD18
