,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
99,2018,Disi Ji,University of California,Padhraic Smyth,University of California,MLHC,Bayesian Trees for Automated Cytometry Data Analysis.,5,http://proceedings.mlr.press/v85/ji18a.html,https://dblp.org/rec/conf/mlhc/JiNQSS18
100,2018,Eric P. Lehman,Northeastern University,Li-Wei H. Lehman,Massachusetts Institute of Technology,MLHC,Representation Learning Approaches to Detect False Arrhythmia Alarms from ECG Dynamics.,5,http://proceedings.mlr.press/v85/lehman18a.html,https://dblp.org/rec/conf/mlhc/LehmanKZML18
101,2018,Bryan Lim,University of Oxford,Mihaela van der Schaar,University of Oxford,MLHC,Disease-Atlas - Navigating Disease Trajectories using Deep Learning.,2,http://proceedings.mlr.press/v85/lim18a.html,https://dblp.org/rec/conf/mlhc/LimS18
102,2018,Bingbin Liu,Stanford University,Li Fei-Fei 0001,Stanford University,MLHC,3D Point Cloud-Based Visual Prediction of ICU Mobility Care Activities.,13,http://proceedings.mlr.press/v85/liu18a.html,https://dblp.org/rec/conf/mlhc/LiuGCMYDSJCDBMF18
103,2018,Jingshu Liu,New York University,Narges Razavian,New York University,MLHC,Deep EHR - Chronic Disease Prediction Using Medical Notes.,3,http://proceedings.mlr.press/v85/liu18b.html,https://dblp.org/rec/conf/mlhc/LiuZR18
104,2018,Jen-Tang Lu,MGH & BWH Center for Clinical Data Science,Stuart R. Pomerantz,Massachusetts General Hospital,MLHC,"Deep Spine - Automated Lumbar Vertebral Segmentation, Disc-Level Designation, and Spinal Stenosis Grading using Deep Learning.",8,http://proceedings.mlr.press/v85/lu18a.html,https://dblp.org/rec/conf/mlhc/LuPBDAMGP18
105,2018,Yuan Luo 0004,nan,Sanjiv J. Shah,nan,MLHC,Integrating Hypertension Phenotype and Genotype with Hybrid Non-negative Matrix Factorization.,8,http://proceedings.mlr.press/v85/luo18a.html,https://dblp.org/rec/conf/mlhc/LuoMYWAAIS18
106,2018,Rafid Mahmood,University of Toronto,Timothy C. Y. Chan,University of Toronto,MLHC,Automated Treatment Planning in Radiation Therapy using Generative Adversarial Networks.,5,http://proceedings.mlr.press/v85/mahmood18a.html,https://dblp.org/rec/conf/mlhc/MahmoodBMDC18
107,2018,Selin Merdan,University of Michigan,Brian Denton,University of Michigan,MLHC,Integrating Machine Learning and Optimization Methods for Imaging of Patients with Prostate Cancer.,3,http://proceedings.mlr.press/v85/merdan18a.html,https://dblp.org/rec/conf/mlhc/MerdanGD18
108,2018,Xenia Miscouridou,University of Oxford,Rajesh Ranganath,New York University,MLHC,Deep Survival Analysis - Nonparametrics and Missingness.,4,http://proceedings.mlr.press/v85/miscouridou18a.html,https://dblp.org/rec/conf/mlhc/MiscouridouPER18
109,2018,Jeeheh Oh,University of Michigan,Jenna Wiens,University of Michigan,MLHC,Learning to Exploit Invariances in Clinical Time-Series Data using Sequence Transformer Networks.,3,http://proceedings.mlr.press/v85/oh18a.html,https://dblp.org/rec/conf/mlhc/OhWW18
110,2018,Murali Ravuri,nan,Xavier Amatriain,nan,MLHC,Learning from the experts - From expert systems to machine-learned diagnosis models.,4,http://proceedings.mlr.press/v85/ravuri18a.html,https://dblp.org/rec/conf/mlhc/RavuriKTA18
111,2018,Devendra Singh Sachan,Petuum Inc,Eric P. Xing,Petuum Inc,MLHC,Effective Use of Bidirectional Language Modeling for Transfer Learning in Biomedical Named Entity Recognition.,4,http://proceedings.mlr.press/v85/sachan18a.html,https://dblp.org/rec/conf/mlhc/SachanXSX18
112,2018,Pascal Sturmfels,University of Michigan,Jenna Wiens,University of Michigan,MLHC,A Domain Guided CNN Architecture for Predicting Age from Structural Brain Images.,6,http://proceedings.mlr.press/v85/sturmfels18a.html,https://dblp.org/rec/conf/mlhc/SturmfelsRAPSW18
113,2018,Sana Tonekaboni,University of Toronto,Anna Goldenberg,University of Toronto,MLHC,Prediction of Cardiac Arrest from Physiological Signals in the Pediatric ICU.,9,http://proceedings.mlr.press/v85/tonekaboni18a.html,https://dblp.org/rec/conf/mlhc/TonekaboniMLEGG18
114,2018,Bryce Woodworth,University of California San Diego,Laurel D. Riek,University of California San Diego,MLHC,Preference Learning in Assistive Robotics - Observational Repeated Inverse Reinforcement Learning.,4,http://proceedings.mlr.press/v85/woodworth18a.html,https://dblp.org/rec/conf/mlhc/WoodworthFZR18
115,2018,Gregory Yauney,Massachusetts Institute of Technology,Pratik Shah,Massachusetts Institute of Technology,MLHC,Reinforcement Learning with Action-Derived Rewards for Chemotherapy and Clinical Trial Dosing Regimen Selection.,2,http://proceedings.mlr.press/v85/yauney18a.html,https://dblp.org/rec/conf/mlhc/YauneyS18
116,2018,Xinyuan Zhang 0001,Duke University,Lawrence Carin,Duke University,MLHC,Multi-Label Learning from Medical Plain Text with Convolutional Residual Models.,5,http://proceedings.mlr.press/v85/zhang18a.html,https://dblp.org/rec/conf/mlhc/ZhangHGLC18
117,2018,Finale Doshi-Velez,nan,Jenna Wiens,nan,MLHC,"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2018, 17-18 August 2018, Palo Alto, California",7,http://proceedings.mlr.press/v85/,https://dblp.org/rec/conf/mlhc/2018
118,2019,Mohammad Akbari,New York University,Rumi Chunara,New York University,MLHC,Using Contextual Information to Improve Blood Glucose Prediction.,2,http://proceedings.mlr.press/v106/akbar19a.html,https://dblp.org/rec/conf/mlhc/AkbariC19
