,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
119,2019,Irfan Al-Hussaini,Georgia Institute of Technology,Jimeng Sun,Georgia Institute of Technology,MLHC,SLEEPER - interpretable Sleep staging via Prototypes from Expert Rules.,4,http://proceedings.mlr.press/v106/al-hussaini19a.html,https://dblp.org/rec/conf/mlhc/Al-HussainiXWS19
120,2019,Siddharth Biswal,Georgia Institute of Technology,Jimeng Sun,Georgia Institute of Technology,MLHC,EEGtoText - Learning to Write Medical Reports from EEG Recordings.,4,http://proceedings.mlr.press/v106/biswal19a.html,https://dblp.org/rec/conf/mlhc/BiswalXWS19
121,2019,Ian C. Covert,University of Washington,Ming Jack Po,Google AI Healthcare,MLHC,Temporal Graph Convolutional Networks for Automatic Seizure Detection.,7,http://proceedings.mlr.press/v106/covert19a.html,https://dblp.org/rec/conf/mlhc/CovertKNZSHP19
122,2019,Surya Teja Devarakonda,University of Massachusetts,Madalina Fiterau,University of Massachusetts,MLHC,FLARe - Forecasting by Learning Anticipated Representations.,4,http://proceedings.mlr.press/v106/devarakonda19a.html,https://dblp.org/rec/conf/mlhc/DevarakondaWFF19
123,2019,David Dov,Duke University,Lawrence Carin,Duke University,MLHC,Thyroid Cancer Malignancy Prediction From Whole Slide Cytopathology Images.,6,http://proceedings.mlr.press/v106/dov19a.html,https://dblp.org/rec/conf/mlhc/DovKCRHC19
124,2019,Grace Guan,Princeton University,Barbara E. Engelhardt,Princeton University,MLHC,Predicting Sick Patient Volume in a Pediatric Outpatient Setting using Time Series Analysis.,2,http://proceedings.mlr.press/v106/guan19a.html,https://dblp.org/rec/conf/mlhc/GuanE19
125,2019,Charles Hamesse,KTH Royal Institute of Technology,Cheng Zhang 0005,Microsoft Research,MLHC,Simultaneous Measurement Imputation and Outcome Prediction for Achilles Tendon Rupture Rehabilitation.,5,http://proceedings.mlr.press/v106/hamesse19a.html,https://dblp.org/rec/conf/mlhc/HamesseTAKZ19
126,2019,Shiva Kaul,nan,Karianne Anthes,CrossFit Morristown,MLHC,Measuring the Sympathetic Response to Intense Exercise in a Practical Setting.,3,http://proceedings.mlr.press/v106/kaul19a.html,https://dblp.org/rec/conf/mlhc/KaulFA19
127,2019,Weirui Kong,University of British Columbia,Thalia Shoshana Field,University of British Columbia,MLHC,A Neural Model for Predicting Dementia from Language.,4,http://proceedings.mlr.press/v106/kong19a.html,https://dblp.org/rec/conf/mlhc/KongJCF19
128,2019,Trent Kyono,University of California,Mihaela van der Schaar,University of California,MLHC,Multi-view Multi-task Learning for Improving Autonomous Mammogram Diagnosis.,3,http://proceedings.mlr.press/v106/kyono19a.html,https://dblp.org/rec/conf/mlhc/KyonoGS19
