39,39,Joscha T Schmiedt,Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max Planck Society,Klaus R Pawelzik,Universität Bremen,Spike timing-dependent plasticity as dynamic filter.
40,40,Sridhar Mahadevan,UMass Amherst,Bo Liu,Auburn University,Basis Construction from Power Series Expansions of Value Functions.
41,41,David A McAllester,TTI-Chicago,Joseph Keshet,Bar-Ilan University,Direct Loss Minimization for Structured Prediction.
42,42,Christoph Sawade,University of Potsdam,Tobias Scheffer,Universität Potsdam,Active Estimation of F-Measures.
43,43,Gilbert Leung,self,Kostas Tsioutsiouliklis,Yahoo! Labs,Optimal Web-Scale Tiering as a Flow Problem.
44,44,James Petterson,NICTA,Tiberio Caetano,NICTA Canberra,Reverse Multi-Label Learning.
45,45,Konrad C Rawlik,University of Edinburgh,Sethu Vijayakumar,University of Edinburgh,An Approximate Inference Approach to Temporal Optimization in Optimal Control.
46,46,Sarah Filippi,Imperial College London,Csaba Szepesvari,DeepMind / University of Alberta,Parametric Bandits: The Generalized Linear Case.
47,47,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,Scrambled Objects for Least-Squares Regression.
48,48,Shay Cohen,Columbia University,Noah A Smith,Carnegie Mellon University,Empirical Risk Minimization with Approximations of Probabilistic Grammars.
49,49,Danny Bickson,Carnegie Mellon University,Carlos Guestrin,University of Washington,Inference with Multivariate Heavy-Tails in Linear Models.
50,50,Achintya Kundu,Indian Institute of Science,Aharon Ben-Tal,None,Efficient algorithms for learning kernels from multiple similarity matrices with general convex loss functions.
51,51,Fabian L Wauthier,Amazon,Michael Jordan,UC Berkeley,Heavy-Tailed Process Priors for Selective Shrinkage.
52,52,Ernesto De Vito,Universita' di Genova,Alessandro Toigo,Politecnico di Milano,Spectral Regularization  for  Support Estimation.
53,53,Ni Lao,Carnegie Mellon University,William Cohen,Google AI,Efficient Relational Learning with Hidden Variable Detection.
54,54,Vladimir Kolmogorov,University College London,Vladimir Kolmogorov,University College London,Generalized roof duality and bisubmodular functions.
55,55,Aurelie C Lozano,IBM Research,Vikas Sindhwani,Google,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.
56,56,Roger Luo,Snap Inc.,Francesco Orabona,Boston University,Learning from Candidate Labeling Sets.
57,57,Tian Lan,Simon Fraser University,Greg Mori,Borealis AI,Beyond Actions: Discriminative Models for Contextual Group Activities.
58,58,Wei Chen,Chinese Academy of Sciences,Zhi-Ming Ma,,Two-Layer Generalization Analysis for Ranking Using Rademacher Average.
