,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
119,119,America Chambers,"Univ. of California, Irvine",Mark Steyvers,UC Irvine,Learning concept graphs from text with stick-breaking priors.
120,120,Oliver Williams,Microsoft Research,Frank McSherry,Microsoft Research,Probabilistic Inference and Differential Privacy.
121,121,Amin Sayedi,Carnegie Mellon University,Avrim Blum,CMU,Trading off Mistakes and Don't-Know Predictions.
122,122,Indraneel Mukherjee,Princeton University,Robert E Schapire,MIcrosoft Research,A Theory of Multiclass Boosting.
123,123,Sasha Rakhlin,University of Pennsylvania,Ambuj Tewari,University of Michigan,"Online Learning: Random Averages, Combinatorial Parameters, and Learnability."
124,124,Liefeng Bo,Intel Labs,Dieter Fox,University of Washington,Kernel Descriptors for Visual Recognition.
125,125,Sylvain Chevallier,LISV,Michele Sebag,"Universite Paris-Sud, CNRS","SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system."
126,126,Alexandre Bouchard-Côté,UBC,Michael Jordan,UC Berkeley,Variational Inference over Combinatorial Spaces.
127,127,Alekh Agarwal,Microsoft Research,Martin J Wainwright,UC Berkeley,Fast global convergence rates of gradient methods for high-dimensional   statistical recovery.
128,128,Rina Foygel,Stanford University,Mathias Drton,University of Washington,Extended Bayesian Information Criteria for Gaussian Graphical Models.
129,129,Christos Boutsidis,IBM T.J. Watson Research,Petros Drineas,Rensselaer Polytechnic Institute,Random Projections for $k$-means Clustering.
130,130,Kaushik Mitra,"University of Maryland, College Park",Rama Chellappa,University of Maryland College Park,Large-Scale Matrix Factorization with Missing Data under Additional Constraints.
131,131,Mathieu Salzmann,TTI Chicago,Raquel Urtasun,University of Toronto,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.
132,132,Ronny Luss,Tel Aviv University,Moni Shahar,Tel Aviv University,Decomposing Isotonic Regression for Efficiently Solving Large Problems.
133,133,Yu Zhang,Hong Kong Baptist University,Qian Xu,Hong Kong University of Science and Technology,Probabilistic Multi-Task Feature Selection.
134,134,Tamir Hazan,Technion,Raquel Urtasun,University of Toronto,A Primal-Dual Message-Passing Algorithm for Approximated Large Scale Structured Prediction.
135,135,S.V.N. Vishwanathan,UCSC,Manik Varma,Microsoft Research India,Multiple Kernel Learning and the SMO Algorithm.
136,136,Eric X Wang,Duke University,Lawrence Carin,Duke University,Joint Analysis of Time-Evolving Binary Matrices and Associated Documents.
137,137,Peter G Stobbe,California Institute of Technology,Andreas Krause,ETH Zurich,Efficient Minimization of Decomposable Submodular Functions.
138,138,Meritxell Vinyals,IIIA-CSIC,Juan A Rodríguez-Aguilar,IIIA-CSIC,Worst-case bounds on the quality of max-product fixed-points.
