,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
139,139,Ning Chen,Tsinghua University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach.
140,140,Lauren A Hannah,Duke University,David Blei,Columbia University,Nonparametric Density Estimation for Stochastic Optimization with an Observable State Variable.
141,141,Abhay Jha,University of Washington,Dan Suciu,University of Washington,Lifted Inference Seen from the Other Side : The Tractable Features.
142,142,Quoc V. Le,Google,Andrew Y Ng,DeepLearning.AI,Tiled convolutional neural networks.
143,143,Chiuso Alessandro c/o Dip. I Informazione,University of Padova,Gianluigi Pillonetto,University of Padova,Learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors.
144,144,Ralf Haefner,"Brain & Cognitive Sciences, University of Rochester",Matthias Bethge,University Tübingen,Evaluating neuronal codes for inference using Fisher information.
145,145,Gilles Blanchard,University Paris-Saclay,Nicole Krämer,Weierstrass Institute Berlin,Optimal learning rates for Kernel Conjugate Gradient regression.
146,146,Prateek Jain,Microsoft Research,Inderjit Dhillon,UT Austin & Amazon,Inductive Regularized Learning of Kernel Functions.
147,147,Andrew Wilson,University of Cambridge,Zoubin Ghahramani,Uber and University of Cambridge,Copula Processes.
148,148,Umar Syed,University of Pennsylvania,Ben Taskar,University of Washington,Semi-Supervised Learning with Adversarially  Missing Label Information.
149,149,Felipe Gerhard,Brain Mind Institute,Wulfram Gerstner,EPFL,"Rescaling, thinning or complementing? On goodness-of-fit procedures for point process models and Generalized Linear Models."
150,150,Wei Wang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Multi-View Active Learning in the Non-Realizable Case.
151,151,Dirk Husmeier,Biomathematics & Statistics Scotland,Sophie Lebre,"LSIIT - UMR 7005, University of Strasbourg",Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks.
152,152,Meihong Wang,University of Southern California,Michael Jordan,UC Berkeley,Unsupervised Kernel Dimension Reduction.
153,153,Daniel Lowd,University of Oregon,Pedro Domingos,University of Washington,Approximate Inference by Compilation to Arithmetic Circuits.
154,154,Kritika Muralidharan,"Statistical Visual Computing Lab, UC San Diego",Nuno Vasconcelos,UC San Diego,A biologically plausible network for the computation of orientation dominance.
155,155,Kanaka Rajan,Princeton University,Haim Sompolinsky,Hebrew University and Harvard University,Inferring Stimulus Selectivity from the Spatial Structure of Neural Network Dynamics.
156,156,Silvia Chiappa,University of Cambridge,Jan Peters,TU Darmstadt & MPI Intelligent Systems,Movement extraction by detecting dynamics switches and repetitions.
157,157,Nim Arora,Facebook,Erik Sudderth,Brown University,Global seismic monitoring as probabilistic inference.
158,158,Mike Mozer,Google Research and U. Colorado Boulder,Michael Jones,Indiana University,Improving Human Judgments by Decontaminating Sequential Dependencies.
