,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
199,199,Andrew E Gelfand,"University of California, Irvine",Max Welling,University of Amsterdam / Qualcomm AI Research,On Herding and the Perceptron Cycling Theorem.
200,200,David Sontag,MIT,Amir Globerson,"Tel Aviv University, Google",More data means less inference: A pseudo-max approach to structured learning.
201,201,Iain Murray,University of Edinburgh,Ryan Adams,Princeton University,Slice sampling covariance hyperparameters of latent Gaussian models.
202,202,Vibhav Gogate,UT Dallas,Pedro Domingos,University of Washington,Learning Efficient Markov Networks.
203,203,Mauricio A Araya,LORIA --- Université de Nancy,François Charpillet,LORIA,A POMDP Extension with Belief-dependent Rewards.
204,204,Paolo Viappiani,CNRS,Craig E Boutilier,University of Toronto,Optimal Bayesian Recommendation Sets and Myopically Optimal Choice Query Sets.
205,205,Han Liu,Carnegie Mellon University,Larry Wasserman,Carnegie Mellon University,Graph-Valued Regression.
206,206,Uri Shalit,Technion,Gal Chechik,"NVIDIA, BIU",Online Learning in The Manifold of Low-Rank Matrices.
207,207,Hariharan Narayanan,Tata Institute of Fundamental Research,Sasha Rakhlin,University of Pennsylvania,Random Walk Approach to Regret Minimization.
208,208,Shinichi Nakajima,Technische Universität Berlin,Ryota Tomioka,Microsoft Research Cambridge,Global Analytic Solution for Variational Bayesian Matrix Factorization.
209,209,Armand Joulin,stanford university,Jean A Ponce,University of Illinois at Urbana-Champaign,Efficient Optimization for Discriminative Latent Class Models.
210,210,James Petterson,NICTA,Shravan M Narayanamurthy,Yahoo,Word Features for Latent Dirichlet Allocation.
211,211,Arvind Agarwal,University of Maryland,Samuel Gerber,University of Utah,Learning Multiple Tasks using Manifold Regularization.
212,212,Mauricio A Alvarez,University of Manchester,Neil D Lawrence,Amazon,Switched Latent Force Models for Movement Segmentation.
213,213,Hariharan Narayanan,Tata Institute of Fundamental Research,Sanjoy K Mitter,Massachusetts Institute of Technology,Sample Complexity of Testing the Manifold Hypothesis.
214,214,Deep Ganguli,New York University,Eero Simoncelli,FlatIron Institute / New York University,Implicit encoding of prior probabilities in optimal neural populations.
215,215,Atsushi Miyamae,Tokyo Institute of Technology,Shigenobu Kobayashi,Tokyo Institute of Technology,Natural Policy Gradient Methods with Parameter-based Exploration for Control Tasks.
216,216,Andreas Christmann,University of Bayreuth,Ingo Steinwart,University of Stuttgart,Universal Kernels on Non-Standard Input Spaces.
217,217,Anton Chechetka,Carnegie Mellon University,Carlos Guestrin,University of Washington,Evidence-Specific Structures for Rich Tractable CRFs.
218,218,Adrien Wohrer,Ecole Normale Superieure,Christian K Machens,Ecole Normale Superieure,Linear readout from a neural population with partial correlation data.
