219,219,Umar Syed,University of Pennsylvania,Robert E Schapire,MIcrosoft Research,A Reduction from Apprenticeship Learning to Classification.
220,220,José Bento,Boston College,Andrea Montanari,Stanford,Learning Networks of Stochastic Differential Equations.
221,221,Seth A Myers,Stanford University,Jure Leskovec,Stanford University/Pinterest,On the Convexity of Latent Social Network Inference.
222,222,Bryan R Gibson,University of Wisconsin-Madison,Joseph Harrison,None,"Humans Learn Using Manifolds, Reluctantly."
223,223,Xinhua Zhang,University of Illinois at Chicago (UIC),S.V.N. Vishwanathan,UCSC,Lower Bounds on Rate of Convergence of Cutting Plane Methods.
224,224,Emtiyaz Khan,RIKEN,Kevin P Murphy,Google,Variational bounds for mixed-data factor analysis.
225,225,Manfred Opper,Technische Universitaet Berlin,Guido Sanguinetti,University of Edinburgh,Approximate inference in continuous time Gaussian-Jump processes.
226,226,Jim C Huang,Microsoft Research,Christopher Meek,Microsoft Research,Exact inference and learning for cumulative distribution functions on loopy graphs.
227,227,Francesco Orabona,Boston University,Yacov Crammer,Technion,New Adaptive Algorithms for Online Classification.
228,228,Feiping Nie,University of Texas Arlington,Chris Ding,University of Texas at Arlington,"Efficient and Robust Feature Selection via Joint ℓ2,1-Norms Minimization."
229,229,Joris M Mooij,Radboud University Nijmegen,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Probabilistic latent variable models for distinguishing between cause and effect.
230,230,Gaël Varoquaux,INRIA,Bertrand Thirion,INRIA,Brain covariance selection: better individual functional connectivity models using population prior.
231,231,Ali Shojaie,University of Washington,George Michailidis,University of Michigan,Penalized Principal Component Regression on Graphs for Analysis of Subnetworks.
232,232,Ryan C Kelly,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Accounting for network effects in neuronal responses using L1 regularized point process models.
233,233,Samy Bengio,Apple,David Grangier,NEC Labs America,Label Embedding Trees for Large Multi-Class Tasks.
234,234,Peter Welinder,Caltech,Pietro Perona,California Institute of Technology,The Multidimensional Wisdom of Crowds.
235,235,Marc'Aurelio Ranzato,Facebook AI Research,Geoffrey E Hinton,Google & University of Toronto,Generating more realistic images using gated MRF's.
236,236,Tobias Glasmachers,USI/SUPSI,Tobias Glasmachers,USI/SUPSI,Universal Consistency of Multi-Class Support Vector Classiﬁcation.
237,237,Georg Langs,Medical University of Vienna,Polina Golland,Massachusetts Institute of Technology,Functional Geometry Alignment and Localization of Brain Areas.
238,238,Dahua Lin,Massachusetts Institute of Technology,John Fisher III,MIT,Construction of Dependent Dirichlet Processes based on Poisson Processes.
