279,279,Hairong Liu,Baidu AI Lab,shuicheng yan,National University of Singapore,Robust Clustering as Ensembles of Affinity Relations.
280,280,James L Sharpnack,UC San Diego,Aarti Singh,CMU,Identifying graph-structured activation patterns in networks.
281,281,Matthias Hein,University of Tübingen,Thomas Bühler,Saarland University,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA.
282,282,Charles A Micchelli,City Univ. of Hong Kong,Massimiliano Pontil,IIT & UCL,A Family of Penalty Functions for Structured Sparsity.
283,283,Yi-Da Wu,National Tsing Hua University,Hsin Chen,National Tsing Hua University,A Log-Domain Implementation of the Diffusion Network in Very Large Scale Integration.
284,284,Matthew B Blaschko,KU Leuven,Andrew Zisserman,DeepMind & University of Oxford,Simultaneous Object Detection and Ranking with Weak Supervision.
285,285,Prateek Jain,Microsoft Research,Inderjit Dhillon,UT Austin & Amazon,Guaranteed Rank Minimization via Singular Value Projection.
286,286,Sheng-Jun Huang,Nanjing University,Zhi-Hua Zhou,Nanjing University,Active Learning by Querying Informative and Representative Examples.
287,287,Alexander L Strehl,Facebook,Sham M Kakade,Microsoft Research,Learning from Logged Implicit Exploration Data.
288,288,David Grangier,NEC Labs America,Iain Melvin,NEC Laboratories America,Feature Set Embedding for Incomplete Data.
289,289,Guy D Isely,UC Berkeley,Fritz Sommer,UC Berkeley,Deciphering subsampled data: adaptive compressive sampling as a principle of brain communication.
290,290,Sohan Seth,University of Florida,Jose C Principe,University of Florida at Gainesville,A novel family of non-parametric cumulative based divergences for point processes.
291,291,Fabian Triefenbach,Universiteit Gent,Jean-Pierre Martens,UGent,Phoneme Recognition with Large Hierarchical Reservoirs.
