first-author,first-author-affiliation,Gender
Surya Ganguli,Stanford,male
Hal Daumé III,Univ of Maryland / Microsoft Research,male
Akshat Kumar,"University of Massachusetts, Amherst",male
Alan Fern,Oregon State University,male
Deqing Sun,Brown University,inconclusive
J. Zico Kolter,Carnegie Mellon University / Bosch Center for AI,inconclusive
Ling Huang,Intel,female
Martin A Zinkevich,Yahoo! Inc.,male
Abdeslam Boularias,Max Planck Institute for Intelligent Systems,male
Amir-massoud Farahmand,Vector Institute,male
Paul L Ruvolo,UC San Diego,male
Peter B Jones,Massachusetts Institute of Technology,inconclusive
Ulrike von Luxburg,University of Tübingen,inconclusive
HongJing Lu,UCLA,inconclusive
Novi Quadrianto,University of Sussex and HSE,inconclusive
Issei Sato,University of Tokyo,inconclusive
Jose G Puertas,FIAS,inconclusive
David Silver,DeepMind,male
Mohammad J Saberian,UC San Diego,male
