,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title,Author Links
0,0,Surya Ganguli,Stanford,Haim Sompolinsky,Hebrew University and Harvard University,Short-term memory in neuronal networks through dynamical compressed sensing.,"['https://ganguli-gang.stanford.edu/', 'https://ganguli-gang.stanford.edu/people.html', 'https://ganguli-gang.stanford.edu/pubs.html', 'https://ganguli-gang.stanford.edu/teaching.html', 'https://ganguli-gang.stanford.edu/surya.html', 'https://profiles.stanford.edu/surya-ganguli', 'https://en.wikipedia.org/wiki/Surya_Ganguli', 'https://www.simonsfoundation.org/people/surya-ganguli/']"
1,1,Hal Daumé III,Univ of Maryland / Microsoft Research,Avishek Saha,Yahoo Labs,Co-regularization Based Semi-supervised Domain Adaptation.,"['http://www.umiacs.umd.edu/~hal/', 'https://www.cs.umd.edu/people/hal3']"
2,2,Akshat Kumar,"University of Massachusetts, Amherst",Shlomo Zilberstein,Univ of Mass,MAP Estimation for Graphical Models by Likelihood Maximization.,"['https://scholarworks.umass.edu/open_access_dissertations/734/', 'https://www.cics.umass.edu/news/akshat-kumar-wins-icaps-2014-best-dissertation-award', 'http://www.mysmu.edu/faculty/akshatkumar/', 'https://www.aaai.org/ocs/index.php/ICAPS/ICAPS16/rt/bio/13124/0', 'https://www.eurekalert.org/pub_releases/2018-06/smu-spr061418.php']"
3,3,Alan Fern,Oregon State University,Prasad Tadepalli,Oregon State University,A Computational Decision Theory for Interactive Assistants.,"['https://eecs.oregonstate.edu/people/fern-alan', 'https://web.engr.oregonstate.edu/~afern/', 'https://eecs.oregonstate.edu/people/ferna-profile', 'http://web.engr.oregonstate.edu/~afern/coris-postdoc-scientist.html']"
4,4,Deqing Sun,Brown University,Michael J Black,Max Planck Institute for Intelligent Systems,"Layered image motion with explicit occlusions, temporal consistency, and depth ordering.","['http://cs.brown.edu/~dqsun/research/', 'http://cs.brown.edu/~dqsun/research/software.html', 'http://cs.brown.edu/~dqsun/research/links.html', 'http://cs.brown.edu/~dqsun/research/projects.html', 'http://cs.brown.edu/people/dqsun/courses.html', 'http://cs.brown.edu/~dqsun/research/cvpr2010-results.html', 'https://brown.academia.edu/DeqingSun']"
5,5,J. Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Andrew Y Ng,DeepLearning.AI,Energy Disaggregation via Discriminative Sparse Coding.,['https://ieeexplore.ieee.org/author/37546513600']
6,6,Ling Huang,Intel,Mayur Naik,Intel,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression.,"['http://www.linghuang.org/', 'http://www.linghuang.org/rad/', 'https://ieeexplore.ieee.org/author/38559976700', 'https://ieeexplore.ieee.org/author/37085432082', 'https://www.usenix.org/conference/slaml10/speaker-or-organizer/ling-huang-intel-labs-berkeley', 'https://dl.acm.org/doi/10.1145/2046684.2046692']"
7,7,Martin A Zinkevich,Yahoo! Inc.,Lihong Li,Amazon,Parallelized Stochastic Gradient Descent.,"['http://martin.zinkevich.org/publications/resume.html', 'https://dl.acm.org/profile/81100579912']"
8,8,Abdeslam Boularias,Max Planck Institute for Intelligent Systems,Brahim Chaib-draa,Laval University,Bootstrapping Apprenticeship Learning.,[]
9,9,Amir-massoud Farahmand,Vector Institute,Csaba Szepesvari,DeepMind / University of Alberta,Error Propagation for Approximate Policy and Value Iteration.,[]
10,10,Paul L Ruvolo,UC San Diego,javier r movellan,university of california san diego,An Alternative to Low-level-Sychrony-Based Methods for Speech Detection.,"['https://neurotree.org/beta/publications.php?pid=114062', 'https://www.olin.edu/faculty/profile/paul-ruvolo/', 'https://loop.frontiersin.org/people/465519/overview']"
11,11,Peter B Jones,Massachusetts Institute of Technology,Sanjoy K Mitter,Massachusetts Institute of Technology,Probabilistic Belief Revision with Structural Constraints.,"['https://www.csail.mit.edu/person/peter-jones', 'https://eng.auburn.edu/directory/jonesp1', 'https://www.keystonesymposia.org/KS/Online/Events/Past/Details.aspx?EventKey=2009X1&Tabs=2']"
12,12,Ulrike von Luxburg,University of Tübingen,Matthias Hein,University of Tübingen,Getting lost in space: Large sample analysis of the resistance distance.,['https://www.academia-net.org/profil/prof-dr-ulrike-von-luxburg/1134095']
13,13,HongJing Lu,UCLA,Alan L Yuille,UCLA,Functional form of motion priors in human motion perception.,"['http://cvl.psych.ucla.edu/', 'https://www.psych.ucla.edu/faculty/page/hongjing', 'http://cvl.psych.ucla.edu/people.htm', 'https://journals.plos.org/ploscompbiol/article/authors?id=10.1371/journal.pcbi.1006613', 'https://www.pnas.org/content/116/10/4176.abstract']"
14,14,Novi Quadrianto,University of Sussex and HSE,James Petterson,NICTA,Multitask Learning without Label Correspondences.,[]
15,15,Issei Sato,University of Tokyo,Hiroshi Nakagawa,The University of Tokyo,Deterministic Single-Pass Algorithm for LDA.,"['https://deepai.org/profile/issei-sato', 'https://biography.omicsonline.org/japan/university-of-tokyo/sato-issei-208235']"
16,16,Jose G Puertas,FIAS,Jörg Lücke,TU Berlin,The Maximal Causes of Natural Scenes are Edge Filters.,"['https://ui.adsabs.harvard.edu/abs/2021ER....201k1574D/abstract', 'https://directsourcenews.org/2021/03/17/millions-in-funds-allocated-for-the-national-guard-to-complete-permanent-work/']"
17,17,David Silver,DeepMind,Joel Veness,DeepMind,Monte-Carlo Planning in Large POMDPs.,['https://en.wikipedia.org/wiki/David_Silver_(computer_scientist)']
18,18,Mohammad J Saberian,UC San Diego,Nuno Vasconcelos,UC San Diego,Boosting Classifier Cascades.,"['http://www.svcl.ucsd.edu/people/ehsan/', 'http://www.svcl.ucsd.edu/projects/Rapid/', 'https://dl.acm.org/profile/81447603095']"
