159,159,Emile Richard,Amazon,Nicolas Vayatis,Ecole Normale Supérieure de Cachan,Link Discovery using Graph Feature Tracking.
160,160,Anand Singh,University of Zurich,Bruno Weber,University of Zurich,Sodium entry efficiency during action potentials: A novel single-parameter family of Hodgkin-Huxley models.
161,161,Kiyohito Nagano,University of Tokyo,Satoru Iwata,Kyoto University,Minimum Average Cost Clustering.
162,162,Pradeep Shenoy,"University of California, San Diego",Angela Yu,UC San Diego,A rational decision making framework for inhibitory control.
163,163,Vicky Froyen,Rutgers University,Manish Singh,Rutgers University,A Bayesian Framework for Figure-Ground Interpretation.
164,164,George Konidaris,Duke University,Roderic A Grupen,UMass Amherst,Constructing Skill Trees for Reinforcement Learning Agents from Demonstration Trajectories.
165,165,Matthew J Urry,King's College London,Peter Sollich,King's College London,Exact learning curves for Gaussian process regression on large random graphs.
166,166,Ali Jalali,University of Texas at Austin,Chao Ruan,University of Texas at Austin,A Dirty Model for Multi-task Learning.
167,167,David Pfau,DeepMind,Frank Wood,University of British Columbia,Probabilistic Deterministic Infinite Automata.
168,168,Alessandro Bergamo,Dartmouth College,Lorenzo Torresani,Dartmouth College,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach.
169,169,Daniel Navarro,University of Adelaide,Daniel Navarro,University of Adelaide,Learning the context of a category.
170,170,Dan F Goodman,Ecole Normale Superieure,Romain Brette,Ecole Normale Supérieure,Learning to localise sounds with spiking neural networks.
171,171,Nadia C Payet,Oregon State University,Sinisa Todorovic,Oregon State University,(RF)^2 -- Random Forest Random Field.
172,172,Victor Lempitsky,Yandex,Andrew Zisserman,DeepMind & University of Oxford,Learning To Count Objects in Images.
173,173,Yi Sun,IDSIA,Jürgen Schmidhuber,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Improving the Asymptotic Performance of Markov Chain Monte-Carlo by Inserting Vortices.
174,174,Sashank Jakkam Reddi,IIT Bombay,Sundar Vishwanathan,IIT Bombay,MAP estimation in Binary MRFs via Bipartite Multi-cuts.
175,175,Hamed Masnadi-Shirazi,"University of California, San Diego",Nuno Vasconcelos,UC San Diego,Variable margin losses for classifier design.
176,176,C. C. Alan Fung,The Hong Kong University of Science and Technology,Si Wu,Beijing Normal University,Attractor Dynamics with Synaptic Depression.
177,177,Shibin Parameswaran,"University of California, San Diego",Kilian Q Weinberger,Washington University in St. Louis,Large Margin Multi-Task Metric Learning.
178,178,Danial Lashkari,Massachusetts Institute of Technology,Polina Golland,Massachusetts Institute of Technology,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations.
