,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,0,Balazs B Ujfalussy,University of Cambridge,Mate Lengyel,University of Cambridge,Active dendrites: adaptation to spike-based communication.
1,1,Andrew E Waters,Rice University,Richard Baraniuk,Rice University,SpaRCS: Recovering low-rank and sparse matrices from compressive measurements.
2,2,David Duvenaud,University of Toronto,Carl Edward Rasmussen,University of Cambridge,Additive Gaussian Processes.
3,3,Nitesh Shroff,University of Maryland,Rama Chellappa,University of Maryland College Park,Manifold Precis: An Annealing Technique for Diverse Sampling of Manifolds.
4,4,Trung T Pham,The University of Adelaide,David Suter,The University of Adelaide,Simultaneous Sampling and Multi-Structure Fitting with Adaptive Reversible Jump MCMC.
5,5,Tingting Zhao,Tokyo Institute of Technology,Masashi Sugiyama,RIKEN / University of Tokyo,Analysis and Improvement of Policy Gradient Estimation.
6,6,Francis Bach,INRIA - Ecole Normale Superieure,Francis Bach,INRIA - Ecole Normale Superieure,Shaping Level Sets with Submodular Functions.
7,7,David Adametz,University of Basel,Volker Roth,University of Basel,Bayesian Partitioning of Large-Scale Distance Data.
8,8,Charles Dubout,IDIAP,François Fleuret,University of Geneva,Boosting with Maximum Adaptive Sampling.
9,9,Adam Coates,Baidu Research,Andrew Y Ng,DeepLearning.AI,Selecting Receptive Fields in Deep Networks.
10,10,Joris M Mooij,Radboud University Nijmegen,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Causal Discovery with Cyclic Additive Noise Models.
11,11,Daniel Hernández-lobato,Universidad Autonoma de Madrid,Pierre Dupont,Louvain University,Robust Multi-Class Gaussian Process Classification.
12,12,Scott Niekum,University of Massachusetts Amherst,Andrew G Barto,University of Massachusetts,Clustering via Dirichlet Process Mixture Models for Portable Skill Discovery.
13,13,Minmin Chen,Amazon Inc.,John Blitzer,Google Research,Co-Training for Domain Adaptation.
14,14,Loc X Bui,Technion,Shie Mannor,Technion,Committing Bandits.
15,15,Patrick O Perry,NYU,Michael W Mahoney,UC Berkeley,Regularized Laplacian Estimation and Fast Eigenvector Approximation.
16,16,David S Choi,Carnegie Mellon University,Edo M Airoldi,Harvard University,Confidence Sets for Network Structure.
17,17,Vikas C Raykar,IBM Research,Shipeng Yu,Siemens Medical Solutions,Ranking annotators for crowdsourced labeling tasks.
18,18,Yichuan Zhang,University of Edinburgh,Charles Sutton,Google,Quasi-Newton Methods for Markov Chain Monte Carlo.
