,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
79,79,Ryota Tomioka,Microsoft Research Cambridge,Hisashi Kashima,None,Statistical Performance of Convex Tensor Decomposition.
80,80,XianXing Zhang,Duke University,Lawrence Carin,Duke University,Hierarchical Topic Modeling for Analysis of Time-Evolving Personal Choices.
81,81,Mohammad J Saberian,UC San Diego,Nuno Vasconcelos,UC San Diego,Multiclass Boosting: Theory and Algorithms.
82,82,Kenan Y Yılmaz,Boğaziçi University,Umut Simsekli,Institut Polytechnique de Paris/ University of Oxford,Generalised Coupled Tensor Factorisation.
83,83,Dan Sheldon,University of Massachusetts Amherst,Tom Dietterich,Oregon State University,Collective Graphical Models.
84,84,Pablo M Olmos,Universidad de Sevilla,Fernando Perez-Cruz,Swiss Data Science Center (ETH Zurich and EPFL),An Application of Tree-Structured Expectation Propagation for Channel Decoding.
85,85,Inderjit Dhillon,UT Austin & Amazon,Ambuj Tewari,University of Michigan,Nearest Neighbor based Greedy Coordinate Descent.
86,86,Gautam Kunapuli,University of Wisconsin-Madison,Jude W Shavlik,University of Wisconsin at Madison,Advice Refinement in Knowledge-Based SVMs.
87,87,Abhishek Kumar,"University of Maryland, College Park",Hal Daumé III,Univ of Maryland / Microsoft Research,Co-regularized Multi-view Spectral Clustering.
88,88,Skander Mensi,Brain-Mind Institute,Wulfram Gerstner,EPFL,From Stochastic Nonlinear Integrate-and-Fire to Generalized Linear Models.
89,89,Kevin G Jamieson,University of Wisconsin,Rob Nowak,Wisconsin,Active Ranking using Pairwise Comparisons.
90,90,Yair Wiener,Technion,Ran El-Yaniv,Technion & Google,Agnostic Selective Classification.
91,91,Elad Hazan,Technion,Satyen Kale,Google,Newtron: an Efficient Bandit algorithm for Online Multiclass Prediction.
92,92,Joel Leibo,Google DeepMind,Tomaso Poggio,Massachusetts Institute of Technology,Why The Brain Separates Face Recognition From Object Recognition.
93,93,Paul Wagner,Aalto University,Paul Wagner,Aalto University,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration.
94,94,Biljana Petreska,UCL,Maneesh Sahani,"Gatsby Unit, UCL",Dynamical segmentation of single trials from population neural data.
95,95,Matthias S Keil,University of Barcelona,Matthias S Keil,University of Barcelona,"Emergence of Multiplication in a Biophysical Model of a Wide-Field Visual Neuron for Computing Object Approaches: Dynamics, Peaks, & Fits."
96,96,Shahed Sorower,Capital One Labs,Xiaoli Fern,Oregon State University,Inverting Grice's Maxims to Learn Rules from Natural Language Extractions.
97,97,Hua Wang,Univ. of Texas at Arlington,Chris Ding,University of Texas at Arlington,A Maximum Margin Multi-Instance Learning Framework for Image Categorization.
98,98,Jun Zhu,Tsinghua University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Infinite Latent SVM for Classification and Multi-task Learning.
