,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
39,39,Yao-Liang Yu,University of Waterloo,Dale Schuurmans,Google Brain & University of Alberta,A Polynomial-time Form of Robust Regression.
40,40,Zhihua Zhang,Shanghai Jiao Tong University,Bojun Tu,Zhejiang University,"Nonconvex Penalization, Levy Processes and Concave Conjugates."
41,41,Han Liu,Tencent AI Lab,Larry Wasserman,Carnegie Mellon University,Exponential Concentration for Mutual Information Estimation with Application to Forests.
42,42,Ben Calderhead,University College London,Matyas A Sustik,University of Texas at Austin,Sparse Approximate Manifolds for Differential Geometric MCMC.
43,43,Morteza Ibrahimi,Google,Benjamin Van Roy,Stanford University,Efficient Reinforcement Learning for High Dimensional Linear Quadratic Systems.
44,44,Xue-Xin Wei,University of Pennsylvania,Alan A Stocker,University of Pennsylvania,Efficient coding connects prior and likelihood function in perceptual Bayesian inference.
45,45,Marius Pachitariu,"Gatsby Unit, UCL",Maneesh Sahani,"Gatsby Unit, UCL",Learning visual motion in recurrent neural networks.
46,46,Argyris Kalogeratos,"CMLA - ENS Cachan, Paris Saclay",Aristidis Likas,University of Ioannina,Dip-means: an incremental clustering method for estimating the number of clusters.
47,47,Lloyd T Elliott,University of Oxford,Yee Whye Teh,"University of Oxford, DeepMind",Scalable imputation of genetic data with a discrete fragmentation-coagulation process.
48,48,Lei Shi,Baidu,Lei Shi,Baidu,Bayesian Probabilistic Co-Subspace Addition.
49,49,Jake Bouvrie,Massachusetts Institute of Technology,Jean-Jacques Slotine,Massachusetts Institute of Technology,Synchronization can Control Regularization in Neural Systems via Correlated Noise Processes.
50,50,Ognjen Arandjelovic,Deakin University,Ognjen Arandjelovic,Deakin University,Assessing Blinding in Clinical Trials.
51,51,Rishabh K Iyer,"University of Washington, Seattle",Jeff A Bilmes,"University of Washington, Seattle",Submodular Bregman Divergences with Applications.
52,52,Jasper Snoek,Google Brain,Ryan Adams,Princeton University,Practical Bayesian Optimization of Machine Learning Algorithms.
53,53,Alex Flint,Oxford University,Matthew B Blaschko,KU Leuven,Perceptron Learning of SAT.
54,54,Weixin Li,"University of California, San Diego",Nuno Vasconcelos,UC San Diego,Recognizing Activities by Attribute Dynamics.
55,55,Pedro Ortega,DeepMind,Daniel A Braun,University of Cambridge,A Nonparametric Conjugate Prior Distribution for the Maximizing Argument of a Noisy Function.
56,56,Madalina Fiterau,UMass Amherst,Artur Dubrawski,Carnegie Mellon University,Projection Retrieval for Classification.
57,57,Ping Li,Baidu Research USA,Cun-Hui Zhang,Rutgers University,One Permutation Hashing.
58,58,Ulugbek S Kamilov,EPFL,MIchael Unser,EPFL,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning.
