,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
159,159,Mijung Park,University of Texas,Jonathan W Pillow,UT Austin,Bayesian active learning with localized priors for fast receptive field characterization.
160,160,Kei Wakabayashi,University of Tsukuba,Takao Miura,Hosei University,Forward-Backward Activation Algorithm for Hierarchical Hidden Markov Models.
161,161,Feng Cao,Case Western Reserve University,Soumya Ray,Case Western Reserve University,Bayesian Hierarchical Reinforcement Learning.
162,162,Ali Eslami,Microsoft Research,Chris Williams,University of Edinburgh,A Generative Model for Parts-based Object Segmentation.
163,163,Martha White,University of Alberta,Dale Schuurmans,Google Brain & University of Alberta,Convex Multi-view Subspace Learning.
164,164,Assaf Glazer,Technion,Shaul Markovitch,Technion,Learning High-Density Regions for a Generalized Kolmogorov-Smirnov Test in High-Dimensional Data.
165,165,Hyunsin Park,KAIST,Chang D. D Yoo,KAIST,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System.
166,166,Rina Foygel,Stanford University,Russ Salakhutdinov,Carnegie Mellon University,Matrix reconstruction with the local max norm.
167,167,Thanh Ngo,University of Minnesota,Yousef Saad,University of Minnesota,Scaled Gradients on Grassmann Manifolds for Matrix Completion.
168,168,Jason Pacheco,Brown University,Erik Sudderth,Brown University,Minimization of Continuous Bethe Approximations: A Positive Variation.
169,169,Lucas Theis,Twitter,Matthias Bethge,University Tübingen,Training sparse natural image models with a fast Gibbs sampler of an extended state space.
170,170,John Duchi,UC Berkeley,Andre Wibisono,Georgia Tech,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods.
171,171,nikete Della Penna,Massachuset Institute of Technology,Rafael Frongillo,University of Colorado Boulder,Interpreting prediction markets: a stochastic approach.
172,172,Deepak Venugopal,The University of Texas at Dallas (UT Dallas),Vibhav Gogate,UT Dallas,On Lifting the Gibbs Sampling Algorithm.
173,173,Tivadar Papai,University of Rochester,Daniel Stefankovic,University of Rochester,Slice Normalized Dynamic Markov Logic Networks.
174,174,Amir Sani,"Centre d'Economie de la Sorbonne, CNRS",Remi Munos,Google DeepMind,Risk-Aversion in Multi-armed Bandits.
175,175,Michael A Osborne,U Oxford,Zoubin Ghahramani,Uber and University of Cambridge,Active Learning of Model Evidence Using Bayesian Quadrature.
176,176,Søren Hauberg,Max Planck Institute,Michael J Black,Max Planck Institute for Intelligent Systems,A Geometric take on Metric Learning.
177,177,Zuoguan Wang,Rensselaer Polytechnic Institute,Qiang Ji,Rensselaer Polytechnic Institute,Learning with Target Prior.
178,178,Russ Salakhutdinov,Carnegie Mellon University,Geoffrey E Hinton,Google & University of Toronto,A Better Way to Pre-Train Deep Boltzmann Machines.
