,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
279,279,Daniel Zoran,Hebrew University of Jerusalem,Yair Weiss,Hebrew University,"Natural Images, Gaussian Mixtures and Dead Leaves."
280,280,Julian J McAuley,Stanford,Jure Leskovec,Stanford University/Pinterest,Learning to Discover Social Circles in Ego Networks.
281,281,Bruno Scherrer,INRIA,Boris Lesner,INRIA,On the Use of Non-Stationary Policies for Stationary Infinite-Horizon Markov Decision Processes.
282,282,Denny Zhou,Microsoft Research  Redmond,Yi Mao,Microsoft,Learning from the Wisdom of Crowds by Minimax Entropy.
283,283,Dor Kedem,Washington University in St. Louis,Gert Lanckriet,U.C. San Diego,Non-linear Metric Learning.
284,284,Xaq S Pitkow,University of Rochester,Xaq S Pitkow,University of Rochester,"Compressive neural representation of sparse, high-dimensional probabilities."
285,285,Ping Li,Baidu Research USA,Cun-Hui Zhang,Rutgers University,Entropy Estimations Using Correlated Symmetric Stable Random Projections.
286,286,Matt F Der,UC San Diego,Lawrence Saul,UC San Diego,Latent Coincidence Analysis: A Hidden Variable Model for Distance Metric Learning.
287,287,Felipe Trevizan,Carnegie Mellon University,Manuela Veloso,JPMorgan and Carnegie Mellon University,Trajectory-Based Short-Sighted Probabilistic Planning.
288,288,Dahua Lin,Massachusetts Institute of Technology,John Fisher III,MIT,Coupling Nonparametric Mixtures via Latent Dirichlet Processes.
289,289,Firdaus Janoos,Squarepoint Capital,William Wells,Harvard Medical School,Identification of Recurrent Patterns in the Activation of Brain Networks.
290,290,Emily Fox,"University of Washington, Apple",David B Dunson,Duke University,Multiresolution Gaussian Processes.
291,291,Ralph Bourdoukan,Ecole Normale Superieure - Inserm,Sophie Denève,"GNT, Ecole Normale Superieure",Learning optimal spike-based representations.
292,292,Benjamin Recht,UW-Madison,Victor Bittorf,UW-Madison,Factoring nonnegative matrices with linear programs.
293,293,He He,Stanford,Jason Eisner,Johns Hopkins + Microsoft,Imitation Learning by Coaching.
294,294,Francois Caron,University of Oxford,Francois Caron,University of Oxford,Bayesian nonparametric models for bipartite graphs.
295,295,Quanquan Gu,University of Virginia,Jiawei Han,University of Illinois at Urbana-Champaign,Selective Labeling via Error Bound Minimization.
296,296,Kevin Swersky,Google,Brendan J Frey,"Deep Genomics, Vector Institute, Univ. Toronto",Bayesian n-Choose-k Models for Classification and Ranking.
297,297,David P Wipf,AWS,David P Wipf,AWS,Dual-Space Analysis of the Sparse Linear Model.
298,298,Rina Foygel,Stanford University,John Lafferty,Yale University,Nonparametric Reduced Rank Regression.
