,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
299,299,Neil Houlsby,Cambridge,Zoubin Ghahramani,Uber and University of Cambridge,Collaborative Gaussian Processes for Preference Learning.
300,300,Takayuki Osogami,IBM Research - Tokyo,Takayuki Osogami,IBM Research - Tokyo,Robustness and risk-sensitivity in Markov decision processes.
301,301,S. Derin Babacan,Google Research,Minh Do,University of Illinois,Probabilistic Low-Rank Subspace Clustering.
302,302,Richard Socher,MetaMind,Andrew Y Ng,DeepLearning.AI,Recursive Deep Learning on 3D Point Clouds.
303,303,Pietro Di Lena,UCI,Ken Nagata,"University of California, Irvine",Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction.
304,304,Jenna Wiens,Massachusetts Institute of Technology,Eric Horvitz,Microsoft Research,Patient Risk Stratification for Hospital-Associated C. Diff as a Time-Series Classification Task.
305,305,Edouard Klein,Supélec,Olivier Pietquin,Université de Lille 1,Inverse Reinforcement Learning through Structured Classification.
306,306,XianXing Zhang,Duke University,Lawrence Carin,Duke University,Joint Modeling of a Matrix with Associated Text via Latent Binary Features.
307,307,Yanping Huang,University of Washington,Rajesh PN Rao,University of Washington,How Prior Probability Influences Decision Making: A Unifying Probabilistic Model.
308,308,Jingrui He,Stevens Institute of Technology,Bolek K Szymanski,RPI,GenDeR: A Generic Diversified Ranking Algorithm.
309,309,Andriy Mnih,DeepMind,Yee Whye Teh,"University of Oxford, DeepMind",Learning Label Trees for Probabilistic Modelling of Implicit Feedback.
310,310,Andreas Argyriou,Ecole Centrale de Paris,Nati Srebro,TTI-Chicago,Sparse Prediction with the $k$-Support Norm.
311,311,Alex Krizhevsky,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,ImageNet Classification with Deep Convolutional Neural Networks.
312,312,Will Y Zou,Stanford University,Kai Yu,Baidu,Deep Learning of invariant features via tracked video sequences.
313,313,Francisco J. R. Ruiz,Columbia University,Fernando Perez-Cruz,Swiss Data Science Center (ETH Zurich and EPFL),Bayesian Nonparametric Modeling of Suicide Attempts.
314,314,Jun Wang,University of Geneva,Adam Woznica,University of Geneva,Parametric Local Metric Learning for Nearest Neighbor Classification.
315,315,Dmitri B Chklovskii,HHMI,Dmitri B Chklovskii,HHMI,"Neuronal spike generation mechanism as an oversampling, noise-shaping A-to-D converter."
316,316,Samory Kpotufe,Princeton University,Abdeslam Boularias,Max Planck Institute for Intelligent Systems,Gradient Weights help Nonparametric Regressors.
317,317,Mohammad Norouzi,Google Brain,David Fleet,University of Toronto,Hamming Distance Metric Learning.
318,318,Kevin G Jamieson,University of Wisconsin,Benjamin Recht,UW-Madison,Query Complexity of Derivative-Free Optimization.
