,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
339,339,Guille D Canas,Massachusetts Institute of Technology,Lorenzo Rosasco,University of Genova- MIT - IIT,Learning Manifolds with K-Means and K-Flats.
340,340,Bogdan Alexe,ETH ZURICH,Vittorio Ferrari,University of Edinburgh,Searching for objects driven by context.
341,341,Manuel Lopes,INRIA,Pierre-Yves Oudeyer,INRIA,Exploration in Model-based Reinforcement Learning by Empirically Estimating Learning Progress.
342,342,Tomasz Trzcinski,EPFL,Pascal Fua,Ecole Polytechnique Federal de Lausanne,Learning Image Descriptors with the Boosting-Trick.
343,343,Henrik Ohlsson,Linköping university,Shankar Sastry,"Department of EECS, UC Berkeley",CPRL -- An Extension of Compressive Sensing to the Phase Retrieval Problem.
344,344,Konstantinos Tsianos,Amazon,Michael Rabbat,University of Wisconsin-Madison,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.
345,345,Miguel Lazaro-Gredilla,Universidad Carlos III de Madrid,Miguel Lazaro-Gredilla,Universidad Carlos III de Madrid,Bayesian Warped Gaussian Processes.
346,346,Brett Vintch,iheartradio,Eero Simoncelli,FlatIron Institute / New York University,Efficient and direct estimation of a neural subunit model for sensory coding.
347,347,Krik Muandet,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Learning from Distributions via Support Measure Machines.
348,348,Sahand N Negahban,"University of California, Berkeley",Devavrat Shah,Massachusetts Institute of Technology,Iterative ranking from pair-wise comparisons.
349,349,Oriol Vinyals,Google DeepMind,Trevor Darrell,UC Berkeley,Learning with Recursive Perceptual Representations.
350,350,Peder A Olsen,IBM,Steven J Rennie,IBM Research,Newton-Like Methods for Sparse Inverse Covariance Estimation.
351,351,Kevin Tang,Stanford University,Daphne Koller,insitro,Shifting Weights: Adapting Object Detectors from Image to Video.
352,352,Qixia Jiang,Tsinghua University,Eric Xing,Petuum Inc. /  Carnegie Mellon University,Monte Carlo Methods for Maximum Margin Supervised Topic Models.
353,353,Demba Ba,MIT/Harvard,Emery Brown,MIT/Harvard,Exact and Stable Recovery of Sequences of Signals with Sparse Increments via Differential ℓ1-Minimization.
354,354,Peter Krafft,Massachusetts Institute of Technology,Bruce Desmarais,University of Massachusetts Amherst,Topic-Partitioned Multinetwork Embeddings.
355,355,Pradeep Shenoy,"University of California, San Diego",Angela Yu,UC San Diego,Strategic Impatience in Go/NoGo versus Forced-Choice Decision-Making.
356,356,Maksims Volkovs,University of Toronto,Richard Zemel,Vector Institute/University of Toronto,Collaborative Ranking With 17 Parameters.
357,357,Pinghua Gong,Tsinghua University,Changshui Zhang,Tsinghua University,Multi-Stage Multi-Task Feature Learning.
358,358,Abhimanyu Das,Yahoo!,Ravi Kumar,Yahoo!,Selecting Diverse Features via Spectral Regularization.
