199,199,Po-Ling Loh,University of Wisconsin - Madison,Martin J Wainwright,UC Berkeley,No voodoo here! Learning discrete graphical models via inverse covariance estimation.
200,200,Amit Daniely,Hebrew University and Google Research,Shai Shalev-Shwartz,Mobileye & HUJI,Multiclass Learning Approaches: A Theoretical Comparison with Implications.
201,201,Yi Zhen,Duke University,Dit-Yan Yeung,Hong Kong University of Science and Technology,Co-Regularized Hashing for Multimodal Data.
202,202,Qirong Ho,"Petuum, Inc.",Eric Xing,Petuum Inc. /  Carnegie Mellon University,On Triangular versus Edge Representations --- Towards Scalable Modeling of Networks.
203,203,Nicolò Cesa-Bianchi,"Università degli Studi di Milano, Italy",Gilles Stoltz,HEC Paris,Mirror Descent Meets Fixed Share (and feels no regret).
204,204,Amadou Ba,IBM Research,Pascal Pompey,IBM Research,Adaptive Learning of Smoothing Functions: Application to Electricity Load Forecasting.
205,205,Marc Bellemare,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Sketch-Based Linear Value Function Approximation.
206,206,Robert Gens,University of Washington,Pedro Domingos,University of Washington,Discriminative Learning of Sum-Product Networks.
207,207,Yanyan Lan,Tsinghua University,Tie-Yan Liu,Microsoft Research Asia,Statistical Consistency of Ranking Methods in A Rank-Differentiable Probability Space.
208,208,Ashwini Shukla,Ecole Polytechnique Fédérale de Lausanne (EPFL),Aude Billard,Ecole Polytechnique Fédérale de Lausanne,Augmented-SVM: Automatic space partitioning for combining multiple non-linear dynamics.
209,209,Varun Kanade,UC Berkeley,Bozidar Radunovic,Microsoft Research,Distributed Non-Stochastic Experts.
210,210,Emanuele Coviello,Amazon Music,Gert Lanckriet,U.C. San Diego,The variational hierarchical EM algorithm for clustering hidden Markov models..
211,211,John Duchi,UC Berkeley,Martin J Wainwright,UC Berkeley,Privacy Aware Learning.
212,212,Sejong Yoon,The College of New Jersey,Vladimir Pavlovic,Samsung AI Center,Distributed Probabilistic Learning for Camera Networks with Missing Data.
213,213,Sasha Rakhlin,University of Pennsylvania,Karthik Sridharan,University of Pennsylvania,Relax and Randomize : From Value to Algorithms.
214,214,Marcelo Fiori,"Universidad de la República, Uruguay",Guillermo Sapiro,Duke University,Topology Constraints in Graphical Models.
215,215,Chong Wang,ByteDance Inc.,David Blei,Columbia University,Truncation-free Online Variational Inference for Bayesian Nonparametric Models.
216,216,Jesus Cid-Sueiro,Univ. Carlos III de Madrid,Jesus Cid-Sueiro,Univ. Carlos III de Madrid,Proper losses for learning from partial labels.
217,217,Binbin Lin,Zhejiang University,Xiaofei He,Zhejiang University,Multi-task Vector Field Learning.
218,218,yan karklin,Knewton,Eero Simoncelli,FlatIron Institute / New York University,Hierarchical spike coding of sound.
