,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
19,19,Jinwoo Shin,KAIST,Misha Chertkov,Los Alamos National Laboratory,A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles.
20,20,Andreas Ruttor,TU Berlin,Manfred Opper,TU Berlin,Approximate Gaussian process inference for the drift function in stochastic differential equations.
21,21,Stefano Ermon,Stanford University,Bart Selman,Cornell University,Embed and Project: Discrete Sampling with Universal Hashing.
22,22,Jianfei Chen,Tsinghua University,Bo Zhang,Tsinghua University,Scalable Inference for Logistic-Normal Topic Models.
23,23,Martin Azizyan,CMU,Larry Wasserman,CMU,Minimax Theory for High-dimensional Gaussian Mixtures with Sparse Mean Separation.
24,24,Tim Roughgarden,Stanford University,Michael Kearns,University of Pennsylvania,Marginals-to-Models Reducibility.
25,25,Rie Johnson,RJ Research Consuulting,Tong Zhang,Tencent,Accelerating Stochastic Gradient Descent using Predictive Variance Reduction.
26,26,Xinhua Zhang,University of Illinois at Chicago (UIC),Dale Schuurmans,Google Brain & University of Alberta,Polar Operators for Structured Sparse Estimation.
27,27,Behnam Neyshabur,TTI Chicago,Payman Yadollahpour,TTI Chicago,The Power of Asymmetry in Binary Hashing.
28,28,Adel Javanmard,Stanford University,Andrea Montanari,Stanford,Confidence Intervals and Hypothesis Testing for High-Dimensional Statistical Models.
29,29,Justin Domke,NICTA,Xianghang Liu,NICTA/UNSW,Projecting Ising Model Parameters for Fast Mixing.
30,30,Alexander Zimin,Amazon,Gergely Neu,Universitat Pompeu Fabra,Online learning in episodic Markovian decision processes by relative entropy policy search.
31,31,Ali Borji,University of Southern California (USC),Laurent Itti,University of Southern California (USC),Bayesian optimization explains human active search.
32,32,Tamara Broderick,MIT,Michael Jordan,UC Berkeley,Streaming Variational Bayes.
33,33,Crystal Maung,UT Dallas,Haim Schweitzer,UT Dallas,Pass-efficient unsupervised feature selection.
34,34,Soravit Changpinyo,University of Southern California (USC),Fei Sha,University of Southern California (USC),Similarity Component Analysis.
35,35,Masayuki Karasuyama,Kyoto University,Hiroshi Mamitsuka,Kyoto University / Aalto University,Manifold-based Similarity Adaptation for Label Propagation.
36,36,Dahua Lin,TTI Chicago,Dahua Lin,TTI Chicago,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation.
37,37,Yifei Ma,Amazon,Jeff Schneider,CMU,Σ-Optimality for Active Learning on Gaussian Random Fields.
38,38,Fabian H Sinz,Universität Tübingen,Jan Benda,Universität Tübingen,Least Informative Dimensions.
