,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
39,39,Leo Boytsov,Bosch Center for AI,Bilegsaikhan Naidan,Norwegian University of Science and Technology (NTNU),Learning to Prune in Metric and Non-Metric Spaces.
40,40,John Duchi,UC Berkeley,Michael Jordan,UC Berkeley,Local Privacy and Minimax Bounds: Sharp Rates for Probability Estimation.
41,41,Khaled Refaat,Waymo,Adnan Darwiche,UCLA,EDML for Learning Parameters in Directed and Undirected Graphical Models.
42,42,Nguyen Viet Cuong,National University of Singapore,Hai Leong Chieu,DSO National Laboratories,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion.
43,43,Christina Lee,Microsoft Research,Devavrat Shah,Massachusetts Institute of Technology,Computing the Stationary Distribution Locally.
44,44,Jukka Corander,University of Helsinki,Johan Pensar,Åbo Akademi,Learning Chordal Markov Networks by Constraint Satisfaction.
45,45,Stefanie Jegelka,MIT,Suvrit Sra,MIT,Reflection methods for user-friendly submodular optimization.
46,46,Ryota Tomioka,Microsoft Research Cambridge,Taiji Suzuki,The University of Tokyo/RIKEN-AIP,Convex Tensor Decomposition via Structured Schatten Norm Regularization.
47,47,Alessandro Rudi,Istituto Italiano di Tecnologia,Lorenzo Rosasco,University of Genova- MIT - IIT,On the Sample Complexity of Subspace Learning.
48,48,Eftychios Pnevmatikakis,Flatiron Institute,Liam Paninski,Columbia University,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions.
49,49,Jie Liu,UW-Madison,David Page,UW-Madison,Bayesian Estimation of Latently-grouped Parameters in Undirected Graphical Models.
50,50,Prem Gopalan,The Voleon Group,David Blei,Columbia University,Modeling Overlapping Communities with Node Popularities.
51,51,Kareem Amin,University of Pennsylvania,Umar Syed,Google Research,Learning Prices for Repeated Auctions with Strategic Buyers.
52,52,Mehrdad Mahdavi,Michigan State University (MSU),Rong Jin,Michigan State University (MSU),Stochastic Convex Optimization with Multiple  Objectives.
53,53,James Y Zou,Microsoft Research,Ryan Adams,Princeton University,Contrastive Learning Using Spectral Methods.
54,54,Srikrishna Sridhar,UW-Madison,Ce Zhang,Wisconsin,"An Approximate, Efficient LP Solver for LP Rounding."
55,55,Fajwel Fogel,École Polytechnique,Alexandre d'Aspremont,CNRS - ENS,Convex Relaxations for Permutation Problems.
56,56,Hristo S Paskov,Stanford University,Trevor Hastie,Stanford University,Compressive Feature Learning.
57,57,Byungkon Kang,Samsung Electronics,Byungkon Kang,Samsung Electronics,Fast Determinantal Point Process Sampling with Application to Clustering.
58,58,Lijun Zhang,Nanjing University (NJU),Rong Jin,Michigan State University (MSU),Linear Convergence with Condition Number Independent Access of Full Gradients.
