,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
199,199,Tuan A Nguyen,Arizona State University,Minh Do,NASA,Synthesizing Robust Plans under Incomplete Domain Models.
200,200,Brenden M Lake,MIT,Josh Tenenbaum,MIT,One-shot learning by inverting a compositional causal process.
201,201,Michel Besserve,MPI for Intelligent Systems,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators..
202,202,Ping Li,Baidu Research USA,John Hopcroft,Cornell University,Sign Cauchy Projections and Chi-Square Kernel.
203,203,Mark Rogers,UC Berkeley,Stuart J Russell,UC Berkeley,Multilinear Dynamical Systems for Tensor Time Series.
204,204,Vince Vu,Ohio State University,Karl Rohe,UW-Madison,Fantope Projection and Selection: A near-optimal convex relaxation of sparse PCA.
205,205,Assaf Glazer,Technion,Shaul Markovitch,Technion,q-OCSVM: A q-Quantile Estimator for High-Dimensional Distributions.
206,206,Grani Adiwena Hanasusanto,Imperial College London,Daniel Kuhn,EPFL,Robust Data-Driven Dynamic Programming.
207,207,Jacob D Abernethy,University of Michigan,Satyen Kale,Google,Adaptive Market Making via Online Learning.
208,208,Liming Wang,Duke University,Lawrence Carin,Duke University,Designed Measurements for Vector Count Data.
209,209,Qirong Ho,"Petuum, Inc.",Eric Xing,Petuum Inc. /  Carnegie Mellon University,More Effective Distributed ML via a Stale Synchronous Parallel Parameter Server.
210,210,Qichao Que,The Ohio State University,Mikhail Belkin,Ohio State University,Inverse Density as an Inverse Problem: the Fredholm Equation Approach.
211,211,Miaomiao Zhang,MIT,Tom Fletcher,University of Utah,Probabilistic Principal Geodesic Analysis.
212,212,Ilya Tolstikhin,"Google, Brain Team, Zurich",Yevgeny Seldin,University of Copenhagen,PAC-Bayes-Empirical-Bernstein Inequality.
213,213,Nikhil Rao,UW-Madison,Timothy T Rogers,University of Wisconsin-Madison,Sparse Overlapping Sets Lasso for Multitask Learning and its Application to fMRI Analysis.
214,214,Yuhong Guo,Carleton University,Yuhong Guo,Carleton University,Robust Transfer Principal Component Analysis with Rank Constraints.
215,215,Mohammad Gheshlaghi azar,CMU,Emma Brunskill,CMU,Sequential Transfer in Multi-armed Bandit with Finite Set of Models.
216,216,Jason D Lee,Stanford,Rich Caruana,Microsoft,Using multiple samples to learn mixture models.
217,217,Paramveer Dhillon,University of Pennsylvania,Lyle Ungar,University of Pennsylvania,New Subsampling Algorithms for Fast Least Squares Regression.
218,218,Jiashi Feng,UC Berkeley,Shuicheng Yan,National University of Singapore,Online Robust PCA via Stochastic Optimization.
