,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
219,219,Trevor Campbell,UBC,Lawrence Carin,Duke University,Dynamic Clustering via Asymptotics of the Dependent Dirichlet Process Mixture.
220,220,Mahito Sugiyama,MPI Tübingen,Karsten Borgwardt,ETH Zurich,Rapid Distance-Based Outlier Detection via Sampling.
221,221,Eunho Yang,IBM Research,Pradeep Ravikumar,Carnegie Mellon University,Dirty Statistical Models.
222,222,Tianbao Yang,NEC Labs America,Tianbao Yang,NEC Labs America,Trading Computation for Communication: Distributed Stochastic Dual Coordinate Ascent.
223,223,Sebastien Bubeck,MSR,Che-Yu Liu,Princeton University,Prior-free and prior-dependent regret bounds for Thompson Sampling.
224,224,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Which Space Partitioning Tree to Use for Search?.
225,225,Nils E Napp,Harvard University,Ryan Adams,Princeton University,Message Passing Inference with Chemical Reaction Networks.
226,226,Francis Bach,INRIA - Ecole Normale Superieure,Eric Moulines,Telecom ParisTech,Non-strongly-convex smooth stochastic approximation with convergence rate O(1/n).
227,227,Jiashi Feng,UC Berkeley,Shuicheng Yan,National University of Singapore,Online PCA for Contaminated Data.
228,228,Daniel Russo,Columbia University,Benjamin Van Roy,Stanford University,Eluder Dimension and the Sample Complexity of Optimistic Exploration.
229,229,Jacob D Abernethy,University of Michigan,Andre Wibisono,Georgia Tech,How to Hedge an Option Against an Adversary: Black-Scholes Pricing is Minimax Optimal.
230,230,Franz J Kiraly,TU Berlin,Louis Theran,Freie Universität Berlin,Error-Minimizing Estimates and Universal Entry-Wise Error Bounds for Low-Rank Matrix Completion.
231,231,Haim Avron,Tel Aviv University,David Woodruff,IBM Research,Sketching Structured Matrices for Faster Nonlinear Regression.
232,232,George H Chen,Massachusetts Institute of Technology,Devavrat Shah,Massachusetts Institute of Technology,A Latent Source Model for Nonparametric Time Series Classification.
233,233,Dino Sejdinovic,University of Oxford,Wicher Bergsma,LSE,A Kernel Test for Three-Variable Interactions.
234,234,Po-Ling Loh,University of Wisconsin - Madison,Martin J Wainwright,UC Berkeley,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima.
235,235,Maria-Florina F Balcan,Georgia Tech,Vitaly Feldman,Apple,Statistical Active Learning Algorithms.
236,236,Yuchen Zhang,UC Berkeley,Martin J Wainwright,UC Berkeley,Information-theoretic lower bounds for distributed statistical estimation with communication constraints.
237,237,Julien Mairal,Inria,Julien Mairal,Inria,Stochastic Majorization-Minimization Algorithms for Large-Scale Optimization.
238,238,Jie Wang,Arizona State University,Jieping Ye,Arizona State University,Lasso Screening Rules via Dual Polytope Projection.
