,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
319,319,James L Sharpnack,CMU,Aarti Singh,CMU,Near-optimal Anomaly Detection in Graphs using Lovasz Extended Scan Statistic.
320,320,Kohei Hayashi,Preferred Networks,Ryohei Fujimaki,NEC Data Science Research Laboratories,Factorized Asymptotic Bayesian Inference for Latent Feature Models.
321,321,Aasa Feragen,MPI Tübingen & University of Copenhagen,Karsten Borgwardt,ETH Zurich,Scalable kernels for graphs with continuous attributes.
322,322,Chris Hinrichs,UW-Madison,Vikas Singh,UW-Madison,Speeding up Permutation Testing in Neuroimaging.
323,323,Paul Wagner,Aalto University,Paul Wagner,Aalto University,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result.
324,324,Victor Gabillon,INRIA,Bruno Scherrer,INRIA,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris.
325,325,Andrea Frome,Google Research,Tomas Mikolov,Google Research,DeViSE: A Deep Visual-Semantic Embedding Model.
326,326,Viliam Lisy,CTU in Prague,Branislav Bosansky,CTU in Prague,Convergence of Monte Carlo Tree Search in Simultaneous Move Games.
327,327,Marius Pachitariu,"Gatsby Unit, UCL",Maneesh Sahani,"Gatsby Unit, UCL",Extracting regions of interest from biological images with convolutional sparse block coding.
328,328,Alessandro Perina,Microsoft Research,Andrzej Truski,Microsoft Research,Documents as multiple overlapping windows into grids of counts.
329,329,Boqing Gong,University of Southern California (USC),Fei Sha,University of Southern California (USC),Reshaping Visual Datasets for Domain Adaptation.
330,330,Matteo Pirotta,Politecnico di Milano,Luca Bascetta,Politecnico di Milano,Adaptive Step-Size for Policy Gradient Methods.
331,331,Sheeraz Ahmad,UC San Diego,Angela Yu,UC San Diego,Context-sensitive active sensing in humans.
332,332,Mahdi Milani Fard,McGill University,Doina Precup,McGill University / Mila / DeepMind Montreal,Bellman Error Based Feature Generation using Random Projections on Sparse Spaces.
333,333,Mohammad Amin Sadeghi,University of Illinois at Urbana-Champaign,David Forsyth,University of Illinois at Urbana-Champaign,Fast Template Evaluation with Vector Quantization.
334,334,Stefan Mathe,University of Toronto,Cristian Sminchisescu,Google Research,Action from Still Image Dataset and Inverse Optimal Control to Learn Task Specific Visual Scanpaths.
335,335,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Point Based Value Iteration with Optimal Belief Compression for Dec-POMDPs.
336,336,Karen Simonyan,Google DeepMind,Andrew Zisserman,DeepMind & University of Oxford,Deep Fisher Networks for Large-Scale Image Classification.
337,337,Marcelo Fiori,"Universidad de la República, Uruguay",Guillermo Sapiro,Duke University,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching.
338,338,Sergey Levine,UC Berkeley,Vladlen Koltun,Adobe Research,Variational Policy Search via Trajectory Optimization.
