259,259,Ben Shababo,Columbia University,Liam Paninski,Columbia University,Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits.
260,260,Hu Ding,SUNY at Buffalo,Jinhui Xu,SUNY at Buffalo,k-Prototype Learning for 3D Rigid Structures.
261,261,Nathaniel Korda,INRIA,Remi Munos,Google DeepMind,Thompson Sampling for 1-Dimensional Exponential Family Bandits.
262,262,Barbara Rakitsch,MPI Tübingen,Oliver Stegle,German Cancer Research Center,It is all in the noise: Efficient multi-task Gaussian process inference with structured residuals.
263,263,Lee H Dicker,Rutgers University/Amazon,Dean P Foster,University of Pennsylvania,One-shot learning and big data with n=2.
264,264,Isik B Fidaner,Boğaziçi University,A. Taylan Cemgil,Boğaziçi University,Summary Statistics for Partitionings and Feature Allocations.
265,265,Cosma Shalizi,CMU,Aryeh Kontorovich,Ben Gurion University,Predictive PAC Learning and Process Decompositions.
266,266,Aijun Bai,University of Science and Technology of China (USTC),Xiaoping Chen,University of Science and Technology of China (USTC),Bayesian Mixture Modelling and Inference based Thompson Sampling in Monte-Carlo Tree Search.
267,267,Samory Kpotufe,Princeton University,Francesco Orabona,Boston University,Regression-tree Tuning in a Streaming Setting.
268,268,Qiang Liu,UC Irvine,Mark Steyvers,UC Irvine,Scoring Workers in Crowdsourcing: How Many Control Questions are Enough?.
269,269,Amit Daniely,Hebrew University and Google Research,Shai Shalev-Shwartz,Mobileye & HUJI,More data speeds up training time in learning halfspaces over sparse vectors.
270,270,Andriy Mnih,DeepMind,koray kavukcuoglu,Google Deepmind,Learning word embeddings efficiently with noise-contrastive estimation.
271,271,Daniel Hernández-lobato,Universidad Autonoma de Madrid,José Miguel Hernández-Lobato,University of Cambridge,Learning Feature Selection Dependencies in Multi-task Learning.
272,272,Tuo Zhao,Johns Hopkins University       Princeton University,Han Liu,Tencent AI Lab,Sparse Inverse Covariance Estimation with Calibration.
273,273,Naiyan Wang,Hong Kong University of Science and Technology,Dit-Yan Yeung,Hong Kong University of Science and Technology,Learning a Deep Compact Image Representation for Visual Tracking.
274,274,Eunho Yang,IBM Research,Zhandong Liu,Baylor College of Medicine,Conditional Random Fields via Univariate Exponential Families.
275,275,Cho-Jui Hsieh,UCLA,Russell Poldrack,University of Texas,BIG & QUIC: Sparse Inverse Covariance Estimation for a Million Variables.
276,276,Shaodan Zhai,Wright State University,Shaojun Wang,Wright State University,Direct 0-1 Loss Minimization and Margin Maximization with Boosting.
277,277,Wouter M Koolen,Centrum Wiskunde & Informatica,Wouter M Koolen,Centrum Wiskunde & Informatica,The Pareto Regret Frontier.
278,278,Eshcar Hillel,Yahoo! Labs,Oren Somekh,Yahoo! Labs,Distributed Exploration in Multi-Armed Bandits.
