,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
59,59,Mingyuan Zhou,University of Texas at Austin,Mingyuan Zhou,University of Texas at Austin,Beta-Negative Binomial Process and Exchangeable ￼Random Partitions for Mixed-Membership Modeling.
60,60,Romain Paulus,MetaMind,Chris Manning,Stanford University,Global Belief Recursive Neural Networks.
61,61,Trapit Bansal,University of Massachusetts Amherst,Ravindran Kannan,Indian Institute of Science,A provable SVD-based algorithm for learning topics in dominant admixture corpus.
62,62,Krik Muandet,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen",Kernel Mean Estimation via Spectral Filtering.
63,63,Tapani Raiko,Apple Inc.,Yoshua Bengio,University of Montreal,Iterative Neural Autoregressive Distribution Estimator NADE-k.
64,64,Jun Zhu,"University of California, Los Angeles",Alan L Yuille,UCLA,Learning From Weakly Supervised Data by The Expectation Loss SVM (e-SVM) algorithm.
65,65,Been Kim,Google Brain,Julie A Shah,MIT,The Bayesian Case Model: A Generative Approach for Case-Based Reasoning and Prototype Classification.
66,66,Takayuki Osogami,IBM Research - Tokyo,Makoto Otsuka,IBM Research - Tokyo,Restricted Boltzmann machines modeling human choice.
67,67,Daniele Calandriello,LCSL IIT/MIT,Marcello Restelli,Politecnico di Milano,Sparse Multi-Task Reinforcement Learning.
68,68,Scott Linderman,Columbia University,Ryan Adams,Princeton University,A framework for studying synaptic plasticity with neural spike train data.
69,69,Wouter M Koolen,Centrum Wiskunde & Informatica,Peter Bartlett,UC Berkeley,Efficient Minimax Strategies for Square Loss Games.
70,70,Xianjie Chen,Facebook,Alan L Yuille,UCLA,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations.
71,71,Aaron Defazio,Ambiata,Simon Lacoste-Julien,Université de Montréal,SAGA: A Fast Incremental Gradient Method With Support for Non-Strongly Convex Composite Objectives.
72,72,Jie Wang,Arizona State University,Jieping Ye,Arizona State University,A Safe Screening Rule for Sparse Logistic Regression.
73,73,Fajwel Fogel,École Polytechnique,Milan Vojnovic,Microsoft Research,SerialRank: Spectral Ranking using Seriation.
74,74,Huahua Wang,"University of Minnesota, Twin Cites",Zhi-Quan Luo,"University of Minnesota, Twin Cites",Parallel Direction Method of Multipliers.
75,75,Sewoong Oh,UIUC,Devavrat Shah,Massachusetts Institute of Technology,Learning Mixed Multinomial Logit Model from Ordinal Data.
76,76,Arun Rajkumar,Indian Institute of Technology Madras,Shivani Agarwal,University of Pennsylvania,Online Decision-Making in General Combinatorial Spaces.
77,77,Yanping Huang,University of Washington,Rajesh PN Rao,University of Washington,Neurons as Monte Carlo Samplers: Bayesian ￼Inference and Learning in Spiking Networks.
78,78,Guillaume Hennequin,University of Cambridge,Mate Lengyel,University of Cambridge,Fast Sampling-Based Inference in Balanced Neuronal Networks.
