99,99,Stefan Wager,Stanford University,Amir Najmi,Google,Feedback Detection for Live Predictors.
100,100,Ohad Shamir,Weizmann Institute of Science,Ohad Shamir,Weizmann Institute of Science,Fundamental Limits of Online and Distributed Algorithms for Statistical Learning and Estimation.
101,101,Yue Wu,Cambridge,Zoubin Ghahramani,Uber and University of Cambridge,Gaussian Process Volatility Model.
102,102,Puru Kar,Indian Institute of Technology Kanpur,Prateek Jain,Microsoft Research,Online and Stochastic Gradient Methods for Non-decomposable Loss Functions.
103,103,Katerina Fragkiadaki,"University of California, Berkeley",Jitendra Malik,UC Berkeley,Grouping-Based Low-Rank Trajectory Completion and 3D Reconstruction.
104,104,Sanjoy Dasgupta,UC San Diego,Samory Kpotufe,Princeton University,Optimal rates for k-NN density and mode estimation.
105,105,Jean Lafond,Télécom ParisTech,Joseph Salmon,Télécom ParisTech,Probabilistic low-rank matrix completion on finite alphabets.
106,106,Cristina Savin,University of Cambridge,Sophie Denève,"GNT, Ecole Normale Superieure",Spatio-temporal Representations of Uncertainty in Spiking Neural Networks.
107,107,Nan Du,Georgia Tech,Le Song,Georgia Institute of Technology,Learning Time-Varying Coverage Functions.
108,108,Rakesh Shivanna,Google Inc.,Chiranjib Bhattacharyya,Indian Institute of Science,Learning on graphs using Orthonormal Representation is Statistically Consistent.
109,109,Remi Lemonnier,"CMLA - ENS Cachan / 1000mercis, Paris",Nicolas Vayatis,Ecole Normale Supérieure de Cachan,Tight Bounds for Influence in Diffusion Networks and Application to Bond Percolation and Epidemiology.
110,110,Daniel Hernández-lobato,Universidad Autonoma de Madrid,Novi Quadrianto,University of Sussex and HSE,Mind the Nuisance: Gaussian Process Classification using Privileged Noise.
111,111,Rémi Lajugie,Inria/ENS,Sylvain Arlot,University Paris-Saclay and Inria,Metric Learning for Temporal Sequence Alignment.
112,112,Mario Marchand,Université Laval,John Shawe-Taylor,UCL,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks.
113,113,William R Vega-Brown,Massachusetts Institute of Technology,Nicholas Roy,Massachusetts Institute of Technology,Nonparametric Bayesian inference on multivariate exponential families.
114,114,Guido F Montufar,UCLA,Yoshua Bengio,University of Montreal,On the Number of Linear Regions of Deep Neural Networks.
115,115,Jie Shen,Stevens Institute of Technology,Ping Li,Baidu Research USA,Online Optimization for Max-Norm Regularization.
116,116,Agnieszka Grabska-Barwinska,Google DeepMind,Jonathan W Pillow,UT Austin,Optimal prior-dependent neural population codes under shared input noise.
117,117,Alex K Susemihl,Berlin Institute of Technology,Manfred Opper,TU Berlin,Optimal Neural Codes for Control and Estimation.
118,118,Ian Goodfellow,Google,Yoshua Bengio,University of Montreal,Generative Adversarial Nets.
