159,159,Mateusz Malinowski,DeepMind,Mario Fritz,CISPA Helmholtz Center i.G.,A Multi-World Approach to Question Answering about Real-World Scenes based on Uncertain Input.
160,160,Charles Kervrann,Inria,Charles Kervrann,Inria,PEWA: Patch-based Exponentially Weighted Aggregation for image denoising.
161,161,Renato Negrinho,Carnegie Mellon University,Andre Martins,CMU,Orbit Regularization.
162,162,Anshumali Shrivastava,Rice University,Ping Li,Baidu Research USA,Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS).
163,163,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Scott Yang,D. E. Shaw & Co.,Conditional Swap Regret and Conditional Correlated Equilibrium.
164,164,Yu Xin,Massachusetts Institute of Technology,Tommi Jaakkola,MIT,Controlling privacy in recommender systems.
165,165,Daniel Bartz,TU Berlin,Klaus-Robert Müller,TU Berlin,Covariance shrinkage for autocorrelated data.
166,166,Yash Deshpande,Massachusetts Institute of Technology,Andrea Montanari,Stanford,Sparse PCA via Covariance Thresholding.
167,167,Waleed Ammar,CMU,Noah A Smith,Carnegie Mellon University,Conditional Random Field Autoencoders for Unsupervised Structured Prediction.
168,168,Bolei Zhou,Massachusetts Institute of Technology,Aude Oliva,MIT,Learning Deep Features for Scene Recognition using Places Database.
169,169,Matthew Lawlor,Yale University,Steven W Zucker,Yale University,Feedforward Learning of Mixture Models.
170,170,Peter Sadowski,University of Hawai‘i,Pierre Baldi,UC Irvine,Searching for Higgs Boson Decay Modes with Deep Learning.
171,171,Ferran Diego Andilla,Telefonica R&D,Fred Hamprecht,Heidelberg University,Sparse Space-Time Deconvolution for Calcium Image Analysis.
172,172,Shubhendu Trivedi,Toyota Technological Institute at Chicago,Greg Shakhnarovich,TTI-Chicago,Discriminative Metric Learning by Neighborhood Gerrymandering.
173,173,Gergely Neu,Universitat Pompeu Fabra,Michal Valko,DeepMind Paris and Inria Lille - Nord Europe,Online combinatorial optimization with stochastic decision sets and adversarial losses.
174,174,Cem Tekin,UCLA,Mihaela van der Schaar,"University of California, Los Angeles","Discovering, Learning and Exploiting Relevance."
175,175,Bruno Conejo,Ecole des Ponts ParisTech,Jean Philippe Avouac,Caltech,Inference by Learning: Speeding-up Graphical Model Optimization via a Coarse-to-Fine Cascade of Pruning Classifiers.
176,176,Allie Fletcher,UCLA,Sundeep Rangan,NYU,Scalable Inference for Neuronal Connectivity from Calcium Imaging.
177,177,Austin Benson,Cornell University,David F Gleich,Purdue University,Scalable Methods for Nonnegative Matrix Factorizations of Near-separable Tall-and-skinny Matrices.
178,178,Diederik Kingma,Google,Max Welling,University of Amsterdam / Qualcomm AI Research,Semi-supervised Learning with Deep Generative Models.
