319,319,Po-Ling Loh,University of Wisconsin - Madison,Andre Wibisono,Georgia Tech,Concavity of reweighted Kikuchi approximation.
320,320,Guy Rosman,Massachusetts Institute of Technology,Daniela Rus,Massachusetts Institute of Technology,Coresets for k-Segmentation of Streaming Data.
321,321,Baotian Hu,Harbin Institute of Technology Shenzhen Graduate School(HITSZ),Qingcai Chen,Harbin Institute of Technology Shenzhen Graduate School,Convolutional Neural Network Architectures for Matching Natural Language Sentences.
322,322,Emtiyaz Khan,RIKEN,Emtiyaz Khan,RIKEN,Decoupled Variational Gaussian Inference.
323,323,Ozan Irsoy,Cornell University,Claire Cardie,Cornell University,Deep Recursive Neural Networks for Compositionality in Language.
324,324,Greg Ver Steeg,USC Information Sciences Institute,Aram Galstyan,USC Information Sciences Institute,Discovering Structure in High-Dimensional Data Through Correlation Explanation.
325,325,Minjie Xu,Bloomberg LP,Bo Zhang,Tsinghua University,Distributed Bayesian Posterior Sampling via Moment Sharing.
326,326,Jennifer A Gillenwater,University of Pennsylvania,Ben Taskar,University of Washington,Expectation-Maximization for Learning Determinantal Point Processes.
327,327,Joao Semedo,Carnegie Mellon University,Byron M Yu,Carnegie Mellon University,Extracting Latent Structure From Multiple Interacting Neural Populations.
328,328,Tianbao Yang,University of Iowa,Rong Jin,Michigan State University (MSU),Extracting Certainty from Uncertainty: Transductive Pairwise Classification from Pairwise Similarities.
329,329,Margareta Ackerman,Florida State University,Sanjoy Dasgupta,UC San Diego,Incremental Clustering: The Case for Extra Clusters.
330,330,Vincent Michalski,Goethe University Frankfurt,Kishore Konda,Goethe University Frankfurt,"Modeling Deep Temporal Dependencies with Recurrent ""Grammar Cells""."
331,331,Han Liu,Tencent AI Lab,Tuo Zhao,Johns Hopkins University       Princeton University,Multivariate Regression with Calibration.
332,332,Sanmi Koyejo,Illinois / Google,Russell Poldrack,University of Texas,On Prior Distributions and Approximate Inference for Structured Variables.
333,333,Sang-Yun Oh,Lawrence Berkeley Lab,Bala Rajaratnam,Stanford University,Optimization Methods for Sparse Pseudo-Likelihood Graphical Model Selection.
334,334,Christopher Meek,Microsoft Research,Marina Meila,University of Washington,Recursive Inversion Models for Permutations.
335,335,Stephan Mandt,"University of California, Irvine",David Blei,Columbia University,Smoothed Gradients for Stochastic Variational Inference.
336,336,Nick Foti,Apple & University of Washington,Emily Fox,"University of Washington, Apple",Stochastic variational inference for hidden Markov models.
337,337,Alexey Dosovitskiy,University of Freiburg,Thomas Brox,University of Freiburg,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks.
338,338,Assaf Glazer,Technion,Shaul Markovitch,Technion,Approximating Hierarchical MV-sets for Hierarchical Clustering.
