359,359,Hossein Azari Soufiani,Harvard University,Lirong Xia,RPI,A Statistical Decision-Theoretic Framework for Social Choice.
360,360,Adrian Weller,"Cambridge, Alan Turing Institute",Tony Jebara,Spotify,Clamping Variables and Approximate Inference.
361,361,Huining Hu,McGill University,Adrian R Vetta,McGill University,Randomized Experimental Design for Causal Graph Discovery.
362,362,Xu Sun,Peking University,Xu Sun,Peking University,Structure Regularization for Structured Prediction.
363,363,Tuo Zhao,Johns Hopkins University       Princeton University,Han Liu,Tencent AI Lab,Accelerated Mini-batch Randomized Block Coordinate Descent Method.
364,364,Shinichi Nakajima,Technische Universität Berlin,Hiroko Kobayashi,Nikon Corporation,Analysis of Variational Bayesian Latent Dirichlet Allocation: Weaker Sparsity Than MAP.
365,365,Kyle R Ulrich,Duke,Lawrence Carin,Duke University,Analysis of Brain States from Multi-Region LFP Time-Series.
366,366,Siamak Ravanbakhsh,Carnegie Mellon University,Russell Greiner,University of Alberta,Augmentative Message Passing for Traveling Salesman Problem and Graph Partitioning.
367,367,Robert Lindsey,Imagen Technologies,Mike Mozer,Google Research and U. Colorado Boulder,Automatic Discovery of Cognitive Skills to Improve the Prediction of Student Learning.
368,368,Luke O'Connor,Harvard University,Soheil Feizi,Massachusetts Institute of Technology,Biclustering Using Message Passing.
369,369,Hau Chan,Stony Brook University,Luis E Ortiz,University of Michigan - Dearborn,Computing Nash Equilibria in Generalized Interdependent Security Games.
370,370,Yash Deshpande,Massachusetts Institute of Technology,Emile Richard,Amazon,Cone-Constrained Principal Component Analysis.
371,371,Yarin Gal,University of Oxford,Carl Edward Rasmussen,University of Cambridge,Distributed Variational Inference in Sparse Gaussian Process Regression and Latent Variable Models.
372,372,Tianyi Zhou,"University of Washington, Seattle",Carlos Guestrin,University of Washington,Divide-and-Conquer Learning by Anchoring a Conical Hull.
373,373,Albert Jiang,USC,Milind Tambe,USC,Diverse Randomized Agents Vote to Win.
374,374,Shenlong Wang,University of Toronto,Raquel Urtasun,University of Toronto,Efficient Inference of Continuous Markov Random Fields with Polynomial Potentials.
375,375,Chongjie Zhang,Massachusetts Institute of Technology,Julie A Shah,MIT,Fairness in Multi-Agent Sequential Decision-Making.
376,376,Xuezhi Wang,Google AI,Jeff Schneider,CMU,Flexible Transfer Learning under Support and Model Shift.
377,377,Zhen Cui,Vi­sion and Ma­chine Learn­ing Lab,Xilin Chen,"Institute of Computing Technology, Chinese Academy of Sciences",Generalized Unsupervised Manifold Alignment.
378,378,Karthika Mohan,UC Berkeley,Judea Pearl,UCLA,Graphical Models for Recovering Probabilistic and Causal Queries from Missing Data.
