19,19,Emile Richard,Stanford University,chichilnisky Chichilnisky,Stanford,Recognizing retinal ganglion cells in the dark.
20,20,Junyoung Chung,University of Montreal,Yoshua Bengio,U. Montreal,A Recurrent Latent Variable Model for Sequential Data.
21,21,Chris Piech,Stanford,Jascha Sohl-Dickstein,stanford.edu,Deep Knowledge Tracing.
22,22,Zhe Gan,Duke University,Lawrence Carin,Duke University,Deep Temporal Sigmoid Belief Networks for Sequence Modeling.
23,23,D. Sculley,Google Research,Dan Dennison,"Google, Inc.",Hidden Technical Debt in Machine Learning Systems.
24,24,James R Lloyd,University of Cambridge,Zoubin Ghahramani,University of Cambridge,Statistical Model Criticism using Kernel Two Sample Tests.
25,25,Volodymyr Kuleshov,Stanford University,Percy Liang,Stanford University,Calibrated Structured Prediction.
26,26,Koosha Khalvati,University of Washington,Rajesh PN Rao,University of Washington,A Bayesian Framework for Modeling Confidence in Perceptual Decision Making.
27,27,Scott Linderman,Harvard University,Ryan Adams,Harvard,Dependent Multinomial Models Made Easy: Stick-Breaking with the Polya-gamma Augmentation.
28,28,Mike Hughes,Brown University,Erik Sudderth,Brown University,Scalable Adaptation of State Complexity for Nonparametric Hidden Markov Models.
29,29,Ehsan Adeli-Mosabbeb,UNC-Chapel Hill,Dinggang Shen,UNC-Chapel Hill,Robust Feature-Sample Linear Discriminant Analysis for Brain Disorders Diagnosis.
30,30,Jean-Baptiste SCHIRATTI,Ecole Polytechnique,Stanley DURRLEMAN,INRIA,Learning spatiotemporal trajectories from manifold-valued longitudinal data.
31,31,Minhyung Cho,Gracenote,Jaehyung Lee,Gracenote,Hessian-free Optimization for Learning Deep Multidimensional Recurrent Neural Networks.
32,32,Amir Dezfouli,The University of New South Wales,Edwin Bonilla,University of New South Wales,Scalable Inference for Gaussian Process Models with Black-Box Likelihoods.
33,33,Diederik Kingma,U. Amsterdam,Max Welling,University of Amsterdam,Variational Dropout and the Local Reparameterization Trick.
34,34,Isabel Valera,MPI-SWS,Fernando Perez-Cruz,,Infinite Factorial Dynamical Model.
35,35,Shakir Mohamed,Google DeepMind,Danilo Jimenez Rezende,Google DeepMind,Variational Information Maximisation for Intrinsically Motivated Reinforcement Learning.
36,36,Dustin Tran,Columbia University,Edo M Airoldi,Harvard University,Copula variational inference.
37,37,Kai Fan,Duke University,Katherine Heller,Duke,Fast Second Order Stochastic Backpropagation for Variational Inference.
38,38,Anastasia Podosinnikova,ENS - Inria,Simon Lacoste-Julien,INRIA,Rethinking LDA: Moment Matching for Discrete ICA.
