79,79,Rakesh Shivanna,Google Inc.,Francis Bach,INRIA - ENS,Spectral Norm Regularization of Orthonormal Representations for Graph Transduction.
80,80,Ilias Diakonikolas,University of Edinburgh,Ludwig Schmidt,MIT,Differentially Private Learning of Structured Discrete Distributions.
81,81,Huitong Qiu,Johns Hopkins University,Brian Caffo,,Robust Portfolio Optimization.
82,82,Kenji Kawaguchi,MIT,Tomás Lozano-Pérez,MIT,Bayesian Optimization with Exponential Convergence.
83,83,Ahmed Alaoui,UC Berkeley,Michael W Mahoney,UC Berkeley,Fast Randomized Kernel Ridge Regression with Statistical Guarantees.
84,84,Christopher M De Sa,Stanford,Chris Ré,Stanford,Taming the Wild: A Unified Analysis of Hogwild-Style Algorithms.
85,85,Elad Hazan,Princeton University,Shai Shalev-Shwartz,Hebrew University,Beyond Convexity: Stochastic Quasi-Convex Optimization.
86,86,Andrea Montanari,Stanford,Ofer Zeitouni,Weizmann Institute and Courant Institute,On the Limitation of Spectral Methods: From the Gaussian Hidden Clique Problem to Rank-One Perturbations of Gaussian Tensors.
87,87,Xinyang Yi,Utaustin,Constantine Caramanis,UT Austin,Regularized EM Algorithms: A Unified Framework and Statistical Guarantees.
88,88,Jean-Bastien Grill,INRIA Lille - Nord Europe,Remi Munos,Google DeepMind,Black-box optimization of noisy functions with unknown smoothness.
89,89,Branislav Kveton,Adobe Research,Csaba Szepesvari,University of Alberta,Combinatorial Cascading Bandits.
90,90,Tom Goldstein,University of Maryland,Xiaoming Yuan,Hong Kong Baptist University,Adaptive Primal-Dual Splitting Methods for Statistical Learning and Image Processing.
91,91,Tengyu Ma,Princeton University,Avi Wigderson,Institute for Advanced Study,Sum-of-Squares Lower Bounds for Sparse PCA.
92,92,Alina Beygelzimer,Yahoo Labs,Haipeng Luo,Princeton University,Online Gradient Boosting.
93,93,Martin Slawski,Rutgers University,Matthias Hein,Saarland University,Regularization-Free Estimation in Trace Regression with Symmetric Positive Semidefinite Matrices.
94,94,Rafael Frongillo,CU Boulder,Mark Reid,Australia National University,Convergence Analysis of Prediction Markets via Randomized Subspace Descent.
95,95,Huan Li,Peking University,Zhouchen Lin,Peking University,Accelerated Proximal Gradient Methods for Nonconvex Programming.
96,96,Kunal Talwar,Google,Li Zhang,Google,Nearly Optimal Private LASSO.
97,97,Wouter Koolen,Centrum Wiskunde & Informatica,Yasin Abbasi Yadkori,Queensland University of Technology,Minimax Time Series Prediction.
98,98,Yossi Arjevani,The Weizmann Institute,Ohad Shamir,Weizmann Institute of Science,Communication Complexity of Distributed Convex Learning and Optimization.
