,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
179,179,Chao Qian,Nanjing University,Zhi-Hua Zhou,Nanjing University,Subset Selection by Pareto Optimization.
180,180,Qinqing Zheng,University of Chicago,Ryota Tomioka,Microsoft Research Cambridge,Interpolating Convex and Non-Convex Tensor Decompositions via the Subspace Norm.
181,181,Sungsoo Ahn,KAIST,Jinwoo Shin,KAIST,Minimum Weight Perfect Matching via Blossom Belief Propagation.
182,182,Martin Slawski,Rutgers University,Ping Li,Rugters University,b-bit Marginal Regression.
183,183,CHRISTOS THRAMPOULIDIS,Caltech,Babak Hassibi,Caltech,LASSO with Non-linear Measurements is Equivalent to One With Linear Measurements.
184,184,Cameron Musco,Massachusetts Institute of Technology,Christopher Musco,Mass. Institute of Technology,Randomized Block Krylov Methods for Stronger and Faster Approximate Singular Value Decomposition.
185,185,Jamie Morgenstern,University of Pennsylvania,Tim Roughgarden,Stanford University,On the Pseudo-Dimension of Nearly Optimal Auctions.
186,186,Eunho Yang,IBM Thomas J. Watson Research Center,Pradeep Ravikumar,University of Texas at Austin,Closed-form Estimators for High-dimensional Generalized Linear Models.
187,187,Rasmus Kyng,Yale University,Sushant Sachdeva,Yale University,"Fast, Provable Algorithms for Isotonic Regression in all L_p-norms."
188,188,Niao He,Georgia Institute of Technology,Zaid Harchaoui,Inria,Semi-Proximal Mirror-Prox for Nonsmooth Composite Minimization.
189,189,Alon Orlitsky,"University of California, San Diego",Ananda Theertha Suresh,UCSD,Competitive Distribution Estimation: Why is Good-Turing Good.
190,190,Alp Yurtsever,"LIONS, EPFL, Lausanne",Volkan Cevher,EPFL,A Universal Primal-Dual Convex Optimization Framework.
191,191,Christoph Dann,Carnegie Mellon University,Emma Brunskill,CMU,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning.
192,192,Christian Borgs,Microsoft Research,Adam Smith,Pennsylvania State University,Private Graphon Estimation for Sparse Graphs.
193,193,Pinghua Gong,University of Michigan-Ann Arbor,Jieping Ye,University of Michigan,HONOR: Hybrid Optimization for NOn-convex Regularized problems.
194,194,Qinqing Zheng,University of Chicago,John Lafferty,University of Chicago,A Convergent Gradient Descent Algorithm for Rank Minimization and Semidefinite Programming from Random Linear Measurements.
195,195,Qingqing Huang,MIT,Sham Kakade,University of Washington,Super-Resolution Off the Grid.
196,196,Bharath Sriperumbudur,The Pennsylvania State University,Zoltan Szabo,"Gatsby Unit, UCL",Optimal Rates for Random Fourier Features.
197,197,Richard Combes,Supelec,marc lelarge,INRIA - ENS,Combinatorial Bandits Revisited.
198,198,Vasilis Syrgkanis,Microsoft Research,Robert Schapire,MIcrosoft Research,Fast Convergence of Regularized Learning in Games.
