359,359,Yen-Chi Chen,Carnegie Mellon University,Larry Wasserman,Carnegie Mellon University,Optimal Ridge Detection using Coverage Risk.
360,360,Gustavo Malkomes,Washington University in St. Louis,Benjamin Moseley,Washington University in St Lo,Fast Distributed k-Center Clustering with Outliers on Massive Data.
361,361,Megasthenis Asteris,University of Texas at Austin,Alex Dimakis,"University of Texas, Austin",Orthogonal NMF through Subspace Exploration.
362,362,Tianyang Li,UT Austin,Pradeep Ravikumar,University of Texas at Austin,Fast Classification Rates for High-dimensional Gaussian Generative Models.
363,363,T.-K. Huang,Microsoft,Robert Schapire,MIcrosoft Research,Efficient and Parsimonious Agnostic Active Learning.
364,364,Nikhil Rao,University of Texas at Austin,Inderjit Dhillon,University of Texas at Austin,Collaborative Filtering with Graph Information: Consistency and Scalable Methods.
365,365,Alessandro Rudi,University of Genova,Lorenzo Rosasco,University of Genova,Less is More: Nyström Computational Regularization.
366,366,Prateek Jain,Microsoft Research,Ambuj Tewari,University of Michigan,Predtron: A Family of Online Algorithms for General Prediction Problems.
367,367,Weiwei Liu,UTS,Ivor Tsang,"University of Technology, Sydney",On the Optimality of Classifier Chain for Multi-label Classification.
368,368,Bryan He,Stanford University,Yisong Yue,Caltech,Smooth Interactive Submodular Set Cover.
369,369,Janne H Korhonen,University of Helsinki,Pekka Parviainen,Aalto University,Tractable Bayesian Network Structure Learning with Bounded Vertex Cover Number.
370,370,Peter Kairouz,UIUC,Pramod Viswanath,UIUC,Secure Multi-party Differential Privacy.
371,371,Zhan Wei Lim,NUS,Wee Sun Lee,National University of Singapore,Adaptive Stochastic Optimization: From Sets to Paths.
372,372,Siqi Sun,TTIC,Jinbo Xu,Toyota Technological Institute at Chicago,Learning structured densities via infinite dimensional exponential families.
373,373,Anastasia Pentina,IST Austria,Christoph Lampert,IST Austria,Lifelong Learning with Non-i.i.d. Tasks.
374,374,Brendan van Rooyen,NICTA,Robert Williamson,NICTA,Learning with Symmetric Label Noise: The Importance of Being Unhinged.
375,375,Huasen Wu,University of California at Davis,Chong Jiang,University of Illinois at Urbana-Champaign,Algorithms with Logarithmic or Sublinear Regret for  Constrained Contextual Bandits.
376,376,Tatsunori Hashimoto,MIT CSAIL,Tommi Jaakkola,MIT,From random walks to distances on unweighted graphs.
377,377,Kush Bhatia,Microsoft Research,Puru Kar,Indian Institute of Technology Kanpur,Robust Regression via Hard Thresholding.
378,378,Saurabh Paul,Paypal Inc,Petros Drineas,Rensselaer Polytechnic Institute,Column Selection via Adaptive Sampling.
