139,139,Youssef Mroueh,IBM,Tomaso Poggio,MIT,Learning with Group Invariant Features: A Kernel Perspective..
140,140,Ryan Giordano,UC Berkeley,Michael Jordan,UC Berkeley,Linear Response Methods for Accurate Covariance Estimates from Mean Field Variational Bayes.
141,141,Maren Mahsereci,MPI for Intelligent Systems Tübingen,Philipp Hennig,"MPI for Intelligent Systems, Tübingen",Probabilistic Line Searches for Stochastic Optimization.
142,142,Maria Lomeli,"Gatsby Unit, University College London",Yee Whye Teh,University of Oxford,A hybrid sampler for Poisson-Kingman mixture models.
143,143,Juho Lee,POSTECH,Seungjin Choi,POSTECH,Tree-Guided MCMC Inference for Normalized Random Measure Mixture Models.
144,144,Hadi Mohasel Afshar,Australian National University,Justin Domke,NICTA,"Reflection, Refraction, and Hamiltonian Monte Carlo."
145,145,Julian E Yarkony,Experian Data Lab,Charless Fowlkes,UC Irvine,Planar Ultrametrics for Image Segmentation.
146,146,Mauro Scanagatta,IDSIA,Marco Zaffalon,IDSIA,Learning Bayesian Networks with Thousands of Variables.
147,147,Amar Shah,Cambridge,Zoubin Ghahramani,University of Cambridge,Parallel Predictive Entropy Search for Batch Global Optimization of Expensive Objective Functions.
148,148,Christopher M De Sa,Stanford,Chris Ré,Stanford,Rapidly Mixing Gibbs Sampling for a Class of Factor Graphs Using Hierarchy Width.
149,149,Pranjal Awasthi,Princeton,Andrej Risteski,Princeton,On some provably correct cases of variational inference for topic models.
150,150,Vladimir Vovk,"Royal Holloway, Univ of London",Valentina Fedorova,Yandex,Large-scale probabilistic predictors with and without guarantees of validity.
151,151,Jacob Andreas,UC Berkeley,Dan Klein,UC Berkeley,On the Accuracy of Self-Normalized Log-Linear Models.
152,152,Philip Thomas,"University of Massachusetts Amherst, Carnegie Mellon University",George Konidaris,Duke,Policy Evaluation Using the Ω-Return.
153,153,Mark Kozdoba,Technion,Shie Mannor,Technion,Community Detection via Measure Space Embedding.
154,154,Purnamrita Sarkar,UT Austin,peter j bickel,U C Berkeley,The Consistency of Common Neighbors for Link Prediction in Stochastic Blockmodels.
155,155,Rémi Bardenet,University of Lille,Michalis Titsias,Athens University of Economics and Business,Inference for determinantal point processes without spectral knowledge.
156,156,Nakul Verma,Janelia Research Campus HHMI,Kristin Branson,"Janelia Research Campus, HHMI",Sample Complexity of Learning Mahalanobis Distance Metrics.
157,157,Reshad Hosseini,University of Tehran,Suvrit Sra,MIT,Matrix Manifold Optimization for Gaussian Mixtures.
158,158,François-Xavier Briol,University of Warwick,Michael A Osborne,U Oxford,Frank-Wolfe Bayesian Quadrature: Probabilistic Integration with Theoretical Guarantees.
