159,159,Bo Xie,Georgia Tech,Le Song,Georgia Institute of Technology,Scale Up Nonlinear Component Analysis with Doubly Stochastic Gradients.
160,160,Adith Swaminathan,Cornell University,Thorsten Joachims,Cornell,The Self-Normalized Estimator for Counterfactual Learning.
161,161,Soroosh Shafieezadeh Abadeh,EPFL,Daniel Kuhn,EPFL,Distributionally Robust Logistic Regression.
162,162,Maksim Lapin,Max Planck Institute for Informatics,Bernt Schiele,Max Planck Institute for Informatics,Top-k Multiclass SVM.
163,163,Jack Gorham,Stanford University,Lester Mackey,Stanford,Measuring Sample Quality with Stein's Method.
164,164,Xiangru Lian,University of Rochester,Ji Liu,University of Rochester,Asynchronous Parallel Stochastic Gradient for Nonconvex Optimization.
165,165,Yuxin Chen,Stanford University,Emmanuel Candes,Stanford University,Solving Random Quadratic Systems of Equations Is Nearly as Easy as Solving Linear Systems.
166,166,Baharan Mirzasoleiman,ETHZ,Andreas Krause,ETHZ,Distributed Submodular Cover: Succinctly Summarizing Massive Data.
167,167,Xinghao Pan,UC Berkeley,Michael Jordan,UC Berkeley,Parallel Correlation Clustering on Big Graphs.
168,168,Sid Banerjee,Cornell University,Peter Lofgren,Stanford University,Fast Bidirectional Probability Estimation in Markov Models.
169,169,Jason D Lee,Stanford,Jonathan E Taylor,Stanford University,Evaluating the statistical significance of biclusters.
170,170,Atsushi Shibagaki,Nagoya Institute of Technology,Ichiro Takeuchi,Nagoya Institute of Technology,Regularization Path of Cross-Validation Error Lower Bounds.
171,171,Alkis Gotovos,ETH Zurich,Andreas Krause,ETHZ,Sampling from Probabilistic Submodular Models.
172,172,Jennifer Gillenwater,University of Washington,Jeff A Bilmes,"University of Washington, Seattle",Submodular Hamming Metrics.
173,173,Igor Colin,Télécom ParisTech,Stéphan Clémençon,Telecom ParisTech,Extending Gossip Algorithms to Distributed Estimation of U-statistics.
174,174,Murat Erdogdu,Stanford University,Murat Erdogdu,Stanford University,Newton-Stein Method: A Second Order Method for GLMs via Stein's Lemma.
175,175,Sewoong Oh,UIUC,Jiaming Xu,,Collaboratively Learning Preferences from Ordinal Data.
176,176,Guillaume Papa,Telecom paristech,Aurélien Bellet,Telecom ParisTech,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk.
177,177,Prateek Jain,Microsoft Research,Ambuj Tewari,University of Michigan,Alternating Minimization for Regression Problems with Vector-valued Outputs.
178,178,Sashank J. Reddi,Carnegie Mellon University,Alex Smola,Carnegie Mellon University,On Variance Reduction in Stochastic Gradient Descent and its Asynchronous Variants.
