319,319,Shixiang (Shane) Gu,University of Cambridge and Max Planck Institute for Intelligent Systems ,Richard Turner,University of Cambridge,Neural Adaptive Sequential Monte Carlo.
320,320,Anqi Wu,Princeton University,Jonathan Pillow,Princeton University,Convolutional spike-triggered covariance analysis for neural subunit models.
321,321,Okko Clevert,Johannes Kepler University,Sepp Hochreiter,Johannes Kepler University Linz,Rectified Factor Networks.
322,322,Manuel Watter,University of Freiburg,Martin Riedmiller,Google DeepMind,Embed to Control: A Locally Linear Latent Dynamics Model for Control from Raw Images.
323,323,Anoop Korattikara Balan,Google,Max Welling,University of Amsterdam and University of California Irvine and CIFAR,Bayesian dark knowledge.
324,324,Kyle R Ulrich,Duke,Lawrence Carin,Duke University,GP Kernels for Cross-Spectrum Analysis.
325,325,Jianshu Chen,"Microsoft Research, Redmond, W",Li Deng,MSR,End-to-end Learning of LDA by Mirror-Descent Back Propagation over a Deep Architecture.
326,326,Nilesh Tripuraneni,Cambridge University,Zoubin Ghahramani,University of Cambridge,Particle Gibbs for Infinite Hidden Markov Models.
327,327,Kush Bhatia,Microsoft Research,Prateek Jain,Microsoft Research,Sparse Local Embeddings for Extreme Multi-label Classification.
328,328,Moontae Lee,Cornell University,David Mimno,Cornell University,Robust Spectral Inference for Joint Stochastic Matrix Factorization.
329,329,Ke Sun,University of Geneva,Stephane Marchand-Maillet,University of Geneva,Space-Time Local Embeddings.
330,330,Miguel A. Carreira-Perpinan,UC Merced,Max Vladymyrov,Yahoo,"A fast, universal algorithm to learn parametric nonlinear embeddings."
331,331,Mijung Park,UCL,Maneesh Sahani,"Gatsby Unit, UCL",Bayesian Manifold Learning: The Locally Linear Latent Variable Model (LL-LVM).
332,332,Tian Gao,Rensselaer Polytechnic Institute,Qiang Ji,Rensselaer Polytechnic Institute,Local Causal Discovery of Direct Causes and Effects.
333,333,Jiaji Huang,Duke University,Robert Calderbank,Duke University,Discriminative Robust Transformation Learning.
334,334,TIAN TIAN,Tsinghua University,Jun Zhu,Tsinghua University,Max-Margin Majority Voting for Learning from Crowds.
335,335,Alexander Kirillov,TU Dresden,Bogdan Savchynskyy,TU Dresden,M-Best-Diverse Labelings for Submodular Energies and Beyond.
336,336,Xiaocheng Shang,University of Edinburgh,Amos Storkey,University of Edinburgh,Covariance-Controlled Adaptive Langevin Thermostat for Large-Scale Bayesian Sampling.
337,337,Nan Du,Georgia Tech,Le Song,Georgia Institute of Technology,Time-Sensitive Recommendation From Recurrent User Activities.
338,338,Akihiro Kishimoto,IBM Research,Adi Botea,IBM Research,Parallel Recursive Best-First AND/OR Search for Exact MAP Inference in Graphical Models.
