179,179,Jiasen Lu,Virginia Tech,Devi Parikh,Virginia Tech,Hierarchical Question-Image Co-Attention for Visual Question Answering.
180,180,Remi Lam,MIT,David Wolpert,NASA Ames Research  Center,Bayesian Optimization with a Finite Budget: An Approximate Dynamic Programming Approach.
181,181,Marcin Andrychowicz,Google Deepmind,Nando de Freitas,Google,Learning to learn by gradient descent by gradient descent.
182,182,Ashish Khetan,University of Illinois Urbana-,Sewoong Oh,UIUC,Computational and Statistical Tradeoffs in Learning to Rank.
183,183,Stephen Ragain,Stanford University,Johan Ugander,Stanford University,Pairwise Choice Markov Chains.
184,184,Ching-An Cheng,Georgia Institute of Technolog,Byron Boots,Georgia Tech / Google Brain,Incremental Variational Sparse Gaussian Process Regression.
185,185,Wei Chen,Microsoft Research,Pinyan Lu,Shanghai University of Finance and Economics,Combinatorial Multi-Armed Bandit with General Reward Functions.
186,186,Ricardo Silva,University College London,Ricardo Silva,University College London,Observational-Interventional Priors for Dose-Response Learning.
187,187,Guillaume Papa,Télécom ParisTech,Stephan Clémençon,Telecom ParisTech,On Graph Reconstruction via Empirical Risk Minimization: Fast Learning Rates and Scalability.
188,188,Geoffrey Irving,Google,Josef Urban,Czech Technical University in Prague,DeepMath - Deep Sequence Models for Premise Selection.
189,189,Haipeng Luo,Princeton University,John Langford,Microsoft Research New York,Efficient Second Order Online Learning by Sketching.
190,190,Tamara Fernandez,Oxford,Yee Whye Teh,"University of Oxford, DeepMind",Gaussian Processes for Survival Analysis.
191,191,Eric Balkanski,Harvard University,Yaron Singer,Harvard University,The Power of Optimization from Samples.
192,192,Srinadh Bhojanapalli,TTI Chicago,Nati Srebro,TTI-Chicago,Global Optimality of Local Search for Low Rank Matrix Recovery.
193,193,Ying Yang,Carnegie Mellon University,Rob E Robert,Carnegie Mellon University,A state-space model of cross-region dynamic connectivity in MEG/EEG.
194,194,Hao Zhou,University of Wisconsin Madiso,Sterling C Johnson,University of Wisconsin Madison,Hypothesis Testing in Unsupervised Domain Adaptation with Applications in Alzheimer's Disease.
195,195,Hossein Esfandiari,University of Maryland,Vahab Mirrokni,Google,Bi-Objective Online Matching and Submodular  Allocations.
196,196,Dennis Wei,IBM Research,Dennis Wei,IBM Research,A Constant-Factor Bi-Criteria Approximation Guarantee for k-means++.
197,197,Finnian Lattimore,Australian National University,Mark Reid,Apple,Causal Bandits: Learning Good Interventions via Causal Inference.
198,198,Mingsheng Long,Tsinghua University,Michael Jordan,UC Berkeley,Unsupervised Domain Adaptation with Residual Transfer Networks.
