239,239,Arild Nøkland,None,Arild Nøkland,None,Direct Feedback Alignment Provides Learning in Deep Neural Networks.
240,240,Aditya Grover,Stanford University,Stefano Ermon,Stanford,Variational Bayes on Monte Carlo Steroids.
241,241,Matey Neykov,Princeton University,Han Liu,Tencent AI Lab,Agnostic Estimation for Misspecified Phase Retrieval Models.
242,242,Ruitong Huang,University of Alberta,Csaba Szepesvari,U. Alberta,Following the Leader and Fast Rates in Linear Prediction: Curved Constraint Sets and Other Regularities.
243,243,Jianxu Chen,University of Notre Dame,Danny Z Chen,University of Notre Dame,Combining Fully Convolutional and Recurrent Neural Networks for 3D Biomedical Image Segmentation.
244,244,Thomas Laurent,Loyola Marymount University,arthur szlam,Facebook,The Product Cut.
245,245,Hong Namkoong,Stanford University,John Duchi,Stanford,Stochastic Gradient Methods for Distributionally Robust Optimization with f-divergences.
246,246,Tolga Bolukbasi,Boston University,Adam T Kalai,Microsoft Research,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings.
247,247,Rémi Flamary,École Polytechnique,Valentin Emiya,Aix-Marseille University,Optimal spectral transportation with application to music transcription.
248,248,Wouter Koolen,"Centrum Wiskunde & Informatica, Amsterdam",Tim van Erven,University of Amsterdam,Combining Adversarial Guarantees and Stochastic Fast Rates in Online Learning.
249,249,Karol Gregor,Google DeepMind,Daan Wierstra,Google DeepMind,Towards Conceptual Compression.
250,250,Arturo Deza,UCSB,Miguel Eckstein,UCSB,Can Peripheral Representations Improve Clutter Metrics on Complex Scenes?.
251,251,Eugene Ndiaye,Télécom ParisTech,Joseph Salmon,Télécom ParisTech,GAP Safe Screening Rules for Sparse-Group Lasso.
252,252,Mauro Scanagatta,Idsia,Marco Zaffalon,IDSIA,Learning Treewidth-Bounded Bayesian Networks with Thousands of Variables.
253,253,Sara Magliacane,VU University Amsterdam,Joris M Mooij,Radboud University Nijmegen,Ancestral Causal Inference.
254,254,Ruiyu Li,CUHK,Jiaya Jia,CUHK,Visual Question Answering with Question Representation Update (QRU).
255,255,Bryant Chen,UCLA,Bryant Chen,UCLA,Identification and Overidentification of Linear Structural Equation Models.
256,256,Nils Kriege,TU Dortmund,Richard Wilson,University of York,On Valid Optimal Assignment Kernels and Applications to Graph Classification.
257,257,Yaniv Tenzer,The Hebrew University,Tamir Hazan,Technion,Constraints Based Convex Belief Propagation.
258,258,Jeremy Maitin-Shepard,Google,Pieter Abbeel,OpenAI / UC Berkeley / Gradescope,Combinatorial Energy Learning for Image Segmentation.
