259,259,Steve Li,UMass Amherst,Benjamin Marlin,University of Massachusetts Amherst,A scalable end-to-end Gaussian process adapter for irregularly sampled time series classification.
260,260,Balamurugan Palaniappan,INRIA,Francis Bach,INRIA - Ecole Normale Superieure,Stochastic Variance Reduction Methods for Saddle-Point Problems.
261,261,Dan Feldman,University of Haifa,Daniela Rus,MIT,Dimensionality Reduction of Massive Sparse Datasets Using Coresets.
262,262,Daniel McNamee,University of Cambridge,Mate Lengyel,University of Cambridge,"Efficient state-space modularization for planning: theory, behavioral and neural signatures."
263,263,Aryan Mokhtari,University of Pennsylvania,Alejandro Ribeiro,University of Pennsylvania,Adaptive Newton Method for Empirical Risk Minimization to Statistical Accuracy.
264,264,Edward Choi,Georgia Institute of Technolog,Walter Stewart,Sutter Health,RETAIN: An Interpretable Predictive Model for Healthcare using Reverse Time Attention Mechanism.
265,265,Maxime Sangnier,LTCI,Florence d'Alché-Buc,"Télécom Paris, Institut Polytechnique de Paris, France",Joint quantile regression in vector-valued RKHSs.
266,266,Oleg Grinchuk,Skolkovo Institute of Science and Technology,Victor Lempitsky,Samsung,Learnable Visual Markers.
267,267,Ben Poole,Stanford University,Surya Ganguli,Stanford,Exponential expressivity in deep neural networks through transient chaos.
268,268,Yuhuai Wu,University of Toronto,Russ Salakhutdinov,University of Toronto,On Multiplicative Integration with Recurrent Neural Networks.
269,269,Yuan Zhao,Stony Brook University,Memming Park,Stony Brook University,Interpretable Nonlinear Dynamic Modeling of Neural Trajectories.
270,270,Antoine Gautier,Saarland University,Matthias Hein,Saarland University,Globally Optimal Training of Generalized Polynomial Neural Networks with Nonlinear Spectral Methods.
271,271,Zhao Song,Duke University,Lawrence Carin,Duke University,Linear Feature Encoding for Reinforcement Learning.
272,272,Yizhi Wang,Virginia Tech,Guoqiang Yu,Virginia Tech,Graphical Time Warping for Joint Alignment of Multiple Curves.
273,273,Kai Zhong,UT AUSTIN,Inderjit Dhillon,UT Austin & Amazon,Mixed Linear Regression with Multiple Components.
274,274,Ming Yu,The University of Chicago,Varun Gupta,University of Chicago,Statistical Inference for Pairwise Graphical Models Using Score Matching.
275,275,Satyen Kale,Google,David Pal,Google,Hardness of Online Sleeping Combinatorial Optimization Problems.
276,276,Xinan Wang,UCSD,Sanjoy Dasgupta,UC San Diego,An algorithm for L1 nearest neighbor search via monotonic embedding.
277,277,Chi Jin,UC Berkeley,Michael Jordan,UC Berkeley,Local Maxima in the Likelihood of Gaussian Mixture Models: Structural Results and Algorithmic Consequences.
278,278,Ting-Yu Cheng,,Shan-Hung (Brandon) Wu,National Tsing Hua University,Learning User Perceived Clusters with Feature-Level Supervision.
