399,399,Victor Picheny,Institut National de la Recherche Agronomique,Sebastien Le Digabel,École Polytechnique de Montréal,Bayesian optimization under mixed constraints  with a slack-variable augmented Lagrangian.
400,400,Ryan Rogers,University of Pennsylvania,Jonathan Ullman,Northeastern University,Privacy Odometers and Filters: Pay-as-you-Go Composition.
401,401,Ehsan Saberian,Netflix,Can Xu,Google,Large Margin Discriminant Dimensionality Reduction in Prediction Space.
402,402,Blake Woodworth,Toyota Technological Institute,Nati Srebro,TTI-Chicago,Tight Complexity Bounds for Optimizing Composite Objectives.
403,403,Noah Apthorpe,Princeton University,H. Sebastian Seung,Princeton University,Automatic Neuron Detection in Calcium Imaging Data Using Convolutional Networks.
404,404,Tejas Kulkarni,MIT,Josh Tenenbaum,MIT,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation.
405,405,Aaron van den Oord,Google Deepmind,Alex Graves,Google DeepMind,Conditional Image Generation with PixelCNN Decoders.
406,406,Hao Wang,HKUST,Dit-Yan Yeung,Hong Kong University of Science and Technology,Natural-Parameter Networks: A Class of Probabilistic Neural Networks.
407,407,Panos Toulis,University of Chicago,David Parkes,Harvard University,Long-term Causal Effects via Behavioral Game Theory.
408,408,Michael Figurnov,Skolkovo Inst. of Sc and Tech,Pushmeet Kohli,Microsoft Research,PerforatedCNNs: Acceleration through Elimination of Redundant Convolutions.
409,409,Feras Saad,MIT,Vikash Mansinghka,MIT,A Probabilistic Programming Approach To Probabilistic Data Analysis.
410,410,Eunice Yuh-Jie Chen,UCLA,Adnan Darwiche,UCLA,Learning Bayesian networks with ancestral constraints.
411,411,Gang Wang,University of Minnesota,Georgios Giannakis,University of Minnesota,Solving Random Systems of Quadratic Equations via Truncated Generalized Gradient Flow.
412,412,Ahmed M. Alaa,UCLA,Mihaela van der Schaar,"University of California, Los Angeles",Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition.
413,413,Dmitry Ostrovsky,Univ. Grenoble Alpes,Arkadi S Nemirovski,Gerogia Institute of Technology,Structure-Blind Signal Recovery.
414,414,Christoph Feichtenhofer,Graz University of Technology,Richard Wildes,York University Toronto,Spatiotemporal Residual Networks for Video Action Recognition.
415,415,Oswin Krause,University of Copenhagen,Christian Igel,University of Copenhagen,CMA-ES with Optimal Covariance Update and Storage Complexity.
416,416,Chang Liu,University of Maryland,Dawn Song,UC Berkeley,Latent Attention For If-Then Program Synthesis.
417,417,damekdavis Davis,Cornell University,Madeleine Udell,Cornell University,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM.
418,418,Ashkan Norouzi-Fard,EPFL,Volkan Cevher,EPFL,An Efficient Streaming Algorithm for the Submodular Cover Problem.
